 " alcohol and drugs = bad . 	Translation	Positive	Negative	EmotionRationale
not alcohol and drugs   good . 	not alcohol and drugs   good .	2	-1	 not[0] alcohol[0] and[0] drugs[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
got it ? " 	got it ?<br> "	1	-1	 got[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just when you though you've seen enough of brave young women dealing with their personal problems on screen , be that insanity or alcoholism , hollywood releases yet another one of those 'deep , emotional stories about finding yourself' . . 	just when you though you've seen enough of brave young women dealing with their personal problems on screen , be that insanity or alcoholism , hollywood releases yet another one of those 'deep , emotional stories about finding yourself' .<br> .	3	-2	 just[0] when[0] you[0] though[0] you've[0] seen[0] enough[0] of[0] brave[2] young[0] women[0] dealing[0] with[0] their[0] personal[0] problems[-1] on[0] screen[0] be[0] that[0] insanity[0] or[0] alcoholism[0] hollywood[0] releases[0] yet[0] another[0] one[0] of[0] those[0] 'deep[0] emotional[-1] stories[0] about[0] finding[0] yourself'[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
'28 days' is practically a visualization of the usual 'meaningful' true stories that people are so proudly retelling at aa-meetings . 	'28 days' is practically a visualization of the usual 'meaningful' true stories that people are so proudly retelling at a-meetings .	2	-1	 '28[0] days'[0] is[0] practically[0] a[0] visualization[0] of[0] the[0] usual[0] 'meaningful'[0] true[1] stories[0] that[0] people[0] are[0] so[0] proudly[1] retelling[0] at[0] aa/a[0] meetings[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
gwennie ( sandra bullock ) is a young woman who drowned her problems in alcohol . 	gwennie ( sandra bullock ) is a young woman who drowned her problems in alcohol .	1	-2	 gwennie[0] sandra[0] bullock[0] is[0] a[0] young[0] woman[0] who[0] drowned[-1] her[0] problems[-1] in[0] alcohol[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for her life was a big party , with no beginning and no end . 	for her life was a big party , with no beginning and no end .	1	-1	 for[0] her[0] life[0] was[0] a[0] big[0] party[0] with[0] no[0] beginning[0] and[0] no[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this behavior has of course estranged her from her only sister and from life itself . 	this behavior has of course estranged her from her only sister and from life itself .	1	-2	 this[0] behavior[0] has[0] of[0] course[0] estranged[-1] her[0] from[0] her[0] only[0] sister[0] and[0] from[0] life[0] itself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her existence is filled with endless parties and comic episodes . 	her existence is filled with endless parties and comic episodes .	1	-1	 her[0] existence[0] is[0] filled[0] with[0] endless[0] parties[0] and[0] comic[0] episodes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
such as when she got drunk with boyfriend jasper ( dominic west ) , borrowed her sister's ( elizabeth perkins ) wedding limo and crashed it into someone's house . 	such as when she got drunk with boyfriend jasper ( dominic west ) , borrowed her sister's ( elizabeth perkins ) wedding limo and crashed it into someone's house .	1	-2	 such[0] as[0] when[0] she[0] got[0] drunk[-1] with[0] boyfriend[0] jasper[0] dominic[0] west[0] borrowed[0] her[0] sister's[0] elizabeth[0] perkins[0] wedding[0] limo[0] and[0] crashed[0] it[0] into[0] someone's[0] house[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this time she had to pay with a 28 day stay in court-ordered rehab . 	this time she had to pay with a 28 day stay in court-ordered rehab .	1	-1	 this[0] time[0] she[0] had[0] to[0] pay[0] with[0] a[0] 28[0] day[0] stay[0] in[0] court[0] ordered[0] rehab[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
