if you're into watching near on two hours of bored , foul-mouthed florida teens having sex , doing drugs , having sex , listening to eminem , having sex , playing video games , having sex , and killing one of their peers , then " bully " 's for you . 	Translation	Positive	Negative	EmotionRationale
based on jim schutze's novelization of a true-life event , " bully " charts the story of a handful of disenchanted teenagers who , in 1993 , murdered their high school bully in cold , calculated blood . 	based on jim schutze's novelization of a true-life event , " bully " charts the story of a handful of disenchanted teenagers who , in 1993 , murdered their high school bully in cold , calculated blood .	2	-4	 based[0] on[0] jim[0] schutze's[0] novelization[0] of[0] a[0] true[1] life[0] event[0] bully[0] charts[0] the[0] story[0] of[0] a[0] handful[0] of[0] disenchanted[0] teenagers[0] who[0] in[0] 1993[0] murdered[-3] their[0] high[0] school[0] bully[0] in[0] cold[-1] calculated[0] blood[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the film could have provided fascinating insights into what turned these aimless kids into premeditated killers . 	the film could have provided fascinating insights into what turned these aimless kids into premeditated killers .	1	-2	 the[0] film[0] could[0] have[0] provided[0] fascinating[0] insights[0] into[0] what[0] turned[0] these[0] aimless[-1] kids[0] into[0] premeditated[0] killers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the hands of controversial director larry clark ( " kids " ) , however , it has less to say about its subject matter and more to say about the filmmaker's pornographic proclivities . 	in the hands of controversial director larry clark ( " kids " ) , however , it has less to say about its subject matter and more to say about the filmmaker's pornographic proclivities .	1	-2	 in[0] the[0] hands[0] of[0] controversial[-1] director[0] larry[0] clark[0] kids[0] however[0] it[0] has[0] less[0] to[0] say[0] about[0] its[0] subject[0] matter[0] and[0] more[0] to[0] say[0] about[0] the[0] filmmaker's[0] pornographic[0] proclivities[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in terms of the incident and what provoked it , " bully " stirs up nothing new . 	in terms of the incident and what provoked it , " bully " stirs up nothing new .	1	-1	 in[0] terms[0] of[0] the[0] incident[0] and[0] what[0] provoked[0] it[0] bully[0] stirs[0] up[0] nothing[0] new[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the high schoolers are presented as a uniformly screwed up lot--bored with life , not much ambition , promiscuous , profane . 	the high schoolers are presented as a uniformly screwed up lot-bored with life , not much ambition , promiscuous , profane .	1	-2	 the[0] high[0] schoolers[0] are[0] presented[0] as[0] a[0] uniformly[0] screwed[0] up[0] lot[0] bored[-1] with[0] life[0] not[0] much[0] ambition[0] promiscuous[-1] profane[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the bully in question , bobby kent ( nick stahl ) , is certainly an unpleasant piece of work but he doesn't exactly tower over his colleagues in the pathological department . 	the bully in question , bobby kent ( nick stahl ) , is certainly an unpleasant piece of work but he doesn't exactly tower over his colleagues in the pathological department .	1	-3	 the[0] bully[0] in[0] question[0] bobby[0] kent[0] nick[0] stahl[0] is[0] certainly[0] an[0] unpleasant[-2] piece[0] of[0] work[0] but[0] he[0] doesn't[0] exactly[0] tower[0] over[0] his[0] colleagues[0] in[0] the[0] pathological[0] department[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he hounds and harries and humiliates his " best friend " marty ( played by brad renfro ) and marty's girlfriend lisa ( rachel miner ) doesn't care for it at all and comes up with the idea of killing bobby . 	he hounds and harries and humiliates his " best friend " marty ( played by brad renfro ) and marty's girlfriend lisa ( rachel miner ) doesn't care for it at all and comes up with the idea of killing bobby .	2	-4	 he[0] hounds[0] and[0] harries[0] and[0] humiliates[-3] his[0] best[1] friend[1] marty[0] played[0] by[0] brad[0] renfro[0] and[0] marty's[0] girlfriend[0] lisa[0] rachel[0] miner[0] doesn't[0] care[1] for[0] it[0] at[0] all[0] and[0] comes[0] up[0] with[0] the[0] idea[0] of[0] killing[-1] bobby[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
simply remove him from the equation . 	simply remove him from the equation .	1	-1	 simply[0] remove[0] him[0] from[0] the[0] equation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
marty and lisa and a handful of their promiscuous , profane , and stoner friends , plus a recruited hit man ( ? ) , lure bobby to a swamp one night , stab him , beat him over the head with a baseball bat , and dump him into the canal where the sand crabs and the gators , presumably , finish him off . 	marty and lisa and a handful of their promiscuous , profane , and stoner friends , plus a recruited hit man ( ?<br> ) , lure bobby to a swamp one night , stab him , beat him over the head with a baseball bat , and dump him into the canal where the sand crabs and the gators , presumably , finish him off .	2	-2	 marty[0] and[0] lisa[0] and[0] a[0] handful[0] of[0] their[0] promiscuous[-1] profane[0] and[0] stoner[0] friends[1] plus[0] a[0] recruited[0] hit[0] man[0] [[Sentence=-2,2=word max, 1-5]] lure[-1] bobby[0] to[0] a[0] swamp[0] one[0] night[0] stab[-1] him[0] beat[0] him[0] over[0] the[0] head[0] with[0] a[0] baseball[0] bat[0] and[0] dump[-1] him[0] into[0] the[0] canal[0] where[0] the[0] sand[0] crabs[0] and[0] the[0] gators[0] presumably[0] finish[0] him[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
there's no remorse--the next day they're talking about it as openly as a homework assignment . 	there's no remorse-the next day they're talking about it as openly as a homework assignment .	1	-3	 there's[0] no[0] remorse[-2] the[0] next[0] day[0] they're[0] talking[0] about[0] it[0] as[0] openly[0] as[0] a[0] homework[0] assignment[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
