mighty joe young blunders about for nearly twenty minutes before we actually get to see a great big gorilla . 	Translation	Positive	Negative	EmotionRationale
his entrance , however , is a grand one : out from the trees he leaps , gargantuan and imposing , sporting hands big enough to crush a volkswagen bug , and a pair of feet much larger than any pro basketball player will ever have . 	his entrance , however , is a grand one : out from the trees he leaps , gargantuan and imposing , sporting hands big enough to crush a volkswagen bug , and a pair of feet much larger than any pro basketball player will ever have .	2	-2	 his[0] entrance[0] however[0] is[0] a[0] grand[1] one[0] out[0] from[0] the[0] trees[0] he[0] leaps[0] gargantuan[0] and[0] imposing[0] sporting[0] hands[0] big[0] enough[0] to[0] crush[-1] a[0] volkswagen[0] bug[-1] and[0] a[0] pair[0] of[0] feet[0] much[0] larger[0] than[0] any[0] pro[0] basketball[0] player[0] will[0] ever[0] have[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
joe bellows at the poachers before him , angry that they would like to kill him and sell him for millions of dollars . 	joe bellows at the poachers before him , angry that they would like to kill him and sell him for millions of dollars .	1	-4	 joe[0] bellows[0] at[0] the[0] poachers[0] before[0] him[0] angry[-3] that[0] they[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] kill[-1] him[0] and[0] sell[0] him[0] for[0] millions[0] of[0] dollars[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
during this scene , i turned to my friend and said , " wow . 	during this scene , i turned to my friend and said , " wow .	3	-1	 during[0] this[0] scene[0] i[0] turned[0] to[0] my[0] friend[1] and[0] said[0] wow[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that's some ape . " 	that's some ape .<br> "	1	-1	 that's[0] some[0] ape[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joe is quite a gorilla -- a big , digital gorilla . 	joe is quite a gorilla - a big , digital gorilla .	1	-1	 joe[0] is[0] quite[0] a[0] gorilla[0] a[0] big[0] digital[0] gorilla[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he runs around the fields , chasing cars and people . 	he runs around the fields , chasing cars and people .	1	-1	 he[0] runs[0] around[0] the[0] fields[0] chasing[0] cars[0] and[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he picks things up and stares at them pensively . 	he picks things up and stares at them pensively .	1	-1	 he[0] picks[0] things[0] up[0] and[0] stares[0] at[0] them[0] pensively[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he breaks things on accident , because he's just too big to avoid clumsiness . 	he breaks things on accident , because he's just too big to avoid clumsiness .	1	-2	 he[0] breaks[0] things[0] on[0] accident[-1] because[0] he's[0] just[0] too[0] big[0] to[0] avoid[-1] clumsiness[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
joe , as a special effect , is an image that might hold your interest for five minutes . 	joe , as a special effect , is an image that might hold your interest for five minutes .	2	-1	 joe[0] as[0] a[0] special[1] effect[0] is[0] an[0] image[0] that[0] might[0] hold[0] your[0] interest[1] for[0] five[0] minutes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as a character , he doesn't quite register . 	as a character , he doesn't quite register .	1	-1	 as[0] a[0] character[0] he[0] doesn't[0] quite[0] register[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the story he's been put in is as limp as they come . 	and the story he's been put in is as limp as they come .	1	-2	 and[0] the[0] story[0] he's[0] been[0] put[0] in[0] is[0] as[0] limp[-1] as[0] they[0] come[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the words " family entertainment " have never been a stamp of quality , but might joe young is just a silly special effects movie pretending to have a heart . 	the words " family entertainment " have never been a stamp of quality , but might joe young is just a silly special effects movie pretending to have a heart .	2	-2	 the[0] words[0] family[0] entertainment[0] have[0] never[0] been[0] a[0] stamp[0] of[0] quality[0] but[0] might[0] joe[0] young[0] is[0] just[0] a[0] silly[-1] special[1] effects[0] movie[0] pretending[0] to[0] have[0] a[0] heart[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the picture is a remake of the 1949 film . 	the picture is a remake of the 1949 film .	1	-1	 the[0] picture[0] is[0] a[0] remake[0] of[0] the[0] 1949[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's mostly just about the big gorilla , but , strictly as a formality , the movie also has a few human characters . 	it's mostly just about the big gorilla , but , strictly as a formality , the movie also has a few human characters .	1	-2	 it's[0] mostly[0] just[0] about[0] the[0] big[0] gorilla[0] but[0] strictly[-1] as[0] a[0] formality[0] the[0] movie[0] also[0] has[0] a[0] few[0] human[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the main one is jill young ( poor charlize theron , forced to waste her talent ) , a lover of gorillas . 	the main one is jill young ( poor charlize theron , forced to waste her talent ) , a lover of gorillas .	4	-2	 the[0] main[0] one[0] is[0] jill[0] young[0] poor[-1] charlize[0] theron[0] forced[0] to[0] waste[-1] her[0] talent[1] a[0] lover[3] of[0] gorillas[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
as a child , she witnessed a group of poachers murder her mother ; now , she lives in the jungle to protect the wildlife . 	as a child , she witnessed a group of poachers murder her mother ; now , she lives in the jungle to protect the wildlife .	1	-4	 as[0] a[0] child[0] she[0] witnessed[0] a[0] group[0] of[0] poachers[0] murder[-3] her[0] mother[0] now[0] she[0] lives[0] in[0] the[0] jungle[0] to[0] protect[0] the[0] wildlife[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
specifically , she's out to protect joe , a giant gorilla who has been her friend since her childhood . 	specifically , she's out to protect joe , a giant gorilla who has been her friend since her childhood .	2	-1	 specifically[0] she's[0] out[0] to[0] protect[0] joe[0] a[0] giant[0] gorilla[0] who[0] has[0] been[0] her[0] friend[1] since[0] her[0] childhood[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
soon , zoologist gregg o'hara ( bill paxton ) discovers joe ; he quickly realizes that poachers want to get joe and sell him to a big game hunter named strasser ( rade sherbedgia ) , who just happens to be the same guy who killed jill's mother . 	soon , zoologist gregg o'hara ( bill paxton ) discovers joe ; he quickly realizes that poachers want to get joe and sell him to a big game hunter named strasser ( rade sherbedgia ) , who just happens to be the same guy who killed jill's mother .	1	-4	 soon[0] zoologist[0] gregg[0] o'hara[0] bill[0] paxton[0] discovers[0] joe[0] he[0] quickly[0] realizes[0] that[0] poachers[0] want[0] to[0] get[0] joe[0] and[0] sell[0] him[0] to[0] a[0] big[0] game[0] hunter[-1] named[0] strasser[0] rade[0] sherbedgia[0] who[0] just[0] happens[0] to[0] be[0] the[0] same[0] guy[0] who[0] killed[-3] jill's[0] mother[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
so , in an effort to save joe , jill and gregg take the big gorilla to a preserve , where it is instantly clear that he is not safe from poachers . 	so , in an effort to save joe , jill and gregg take the big gorilla to a preserve , where it is instantly clear that he is not safe from poachers .	2	-2	 so[0] in[0] an[0] effort[0] to[0] save[1] joe[0] jill[0] and[0] gregg[0] take[0] the[0] big[0] gorilla[0] to[0] a[0] preserve[0] where[0] it[0] is[0] instantly[0] clear[0] that[0] he[0] is[0] not[0] safe[1][NegatedDueToPreviousWord] from[0] poachers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in addition , the space is way too small for him ( after all , he is a really big gorilla ) . 	in addition , the space is way too small for him ( after all , he is a really big gorilla ) .	1	-1	 in[0] addition[0] the[0] space[0] is[0] way[0] too[0] small[0] for[0] him[0] after[0] all[0] he[0] is[0] a[0] really[0] big[0] gorilla[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , to add to the complications , strasser shows up under a benevolent pretext ( he tells jill that he has a preserve big enough for joe ) , and joe recognizes strasser as the guy who killed jill's mother . 	and , to add to the complications , strasser shows up under a benevolent pretext ( he tells jill that he has a preserve big enough for joe ) , and joe recognizes strasser as the guy who killed jill's mother .	2	-4	 and[0] to[0] add[0] to[0] the[0] complications[-1] strasser[0] shows[0] up[0] under[0] a[0] benevolent[1] pretext[0] he[0] tells[0] jill[0] that[0] he[0] has[0] a[0] preserve[0] big[0] enough[0] for[0] joe[0] and[0] joe[0] recognizes[0] strasser[0] as[0] the[0] guy[0] who[0] killed[-3] jill's[0] mother[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
jill , of course , doesn't recognize strasser , even though he did kill her mother . 	jill , of course , doesn't recognize strasser , even though he did kill her mother .	1	-1	 jill[0] of[0] course[0] doesn't[0] recognize[0] strasser[0] even[0] though[0] he[0] did[0] kill[-1][--1 LastWordBoosterStrength] her[0] mother[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
