in the finale of disney's " mighty joe young , " a 15-foot tall , 2000-pound gorilla holds a frightened young boy in its clutches as it topples from a crippled ferris wheel and plummets to the ground . 	Translation	Positive	Negative	EmotionRationale
upon impact , rugged everyman and perennial do-gooder bill paxton rushes in , containing the emotional crowd with an earnest " move along now folks , there's nothing to see here . " 	upon impact , rugged everyman and perennial do-gooder bill paxton rushes in , containing the emotional crowd with an earnest " move along now folks , there's nothing to see here .<br> "	1	-2	 upon[0] impact[0] rugged[0] everyman[0] and[0] perennial[0] do[0] gooder[0] bill[0] paxton[0] rushes[0] in[0] containing[0] the[0] emotional[-1] crowd[0] with[0] an[0] earnest[0] move[0] along[0] now[0] folks[0] there's[0] nothing[0] to[0] see[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ok , so those aren't exactly the words he uses , but it's probably one of the few clich ? s not uttered in this unnecessary remake of an unnecessary remake of that mother of all monster movies , " king kong . " 	ok , so those aren't exactly the words he uses , but it's probably one of the few clich ?<br> s not uttered in this unnecessary remake of an unnecessary remake of that mother of all monster movies , " king kong .<br> "	1	-2	 ok[0] so[0] those[0] aren't[0] exactly[0] the[0] words[0] he[0] uses[0] but[0] it's[0] probably[0] one[0] of[0] the[0] few[0] clich[0] [[Sentence=-1,1=word max, 1-5]] s[0] not[0] uttered[0] in[0] this[0] unnecessary[-1] remake[0] of[0] an[0] unnecessary[-1] remake[0] of[0] that[0] mother[0] of[0] all[0] monster[-1] movies[0] king[0] kong[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
1949's " mighty joe young " was an update of that classic creature feature , also based on merian c . cooper's original story ( 16 years after " 'kong " it appeared the world was ready for a new take on the beauty and the beast fable ) . 	1949's " mighty joe young " was an update of that classic creature feature , also based on merian c .<br> cooper's original story ( 16 years after " 'kong " it appeared the world was ready for a new take on the beauty and the beast fable ) .	3	-1	 1949's[0] mighty[0] joe[0] young[0] was[0] an[0] update[0] of[0] that[0] classic[0] creature[0] feature[0] also[0] based[0] on[0] merian[0] c[0] [[Sentence=-1,1=word max, 1-5]] cooper's[0] original[0] story[0] 16[0] years[0] after[0] 'kong[0] it[0] appeared[0] the[0] world[0] was[0] ready[0] for[0] a[0] new[0] take[0] on[0] the[0] beauty[2] and[0] the[0] beast[0] fable[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now some 49 years later , at least according to disney's way of thinking , the world is ready for one more . 	now some 49 years later , at least according to disney's way of thinking , the world is ready for one more .	1	-1	 now[0] some[0] 49[0] years[0] later[0] at[0] least[0] according[0] to[0] disney's[0] way[0] of[0] thinking[0] the[0] world[0] is[0] ready[0] for[0] one[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not so . 	not so .	1	-1	 not[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only--and i mean only--reason to see the 1998 version is for the special effects . 	the only-and i mean only-reason to see the 1998 version is for the special effects .	2	-1	 the[0] only[0] and[0] i[0] mean[0] only[0] reason[0] to[0] see[0] the[0] 1998[0] version[0] is[0] for[0] the[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and these , unfortunately , run hot and cold . 	and these , unfortunately , run hot and cold .	1	-2	 and[0] these[0] unfortunately[-1] run[0] hot[0] and[0] cold[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
today's joe young is designed and produced by special-effects whiz rick baker , who has been wowing audiences with his state-of-the-art make-up effects since 1971's " schlock " ( which , incidentally , featured a baker-enhanced " gorilla " ) . 	today's joe young is designed and produced by special-effects whiz rick baker , who has been wowing audiences with his state-of-the-art make-up effects since 1971's " schlock " ( which , incidentally , featured a baker-enhanced " gorilla " ) .	3	-1	 today's[0] joe[0] young[0] is[0] designed[0] and[0] produced[0] by[0] special[1] effects[0] whiz[0] rick[0] baker[0] who[0] has[0] been[0] wowing[2] audiences[0] with[0] his[0] state[0] of[0] the[0] art[0] make[0] up[0] effects[0] since[0] 1971's[0] schlock[0] which[0] incidentally[0] featured[0] a[0] baker[0] enhanced[0] gorilla[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
joe is a combination of animatronic effects , computer graphics , and that old standard , a man in a monkey suit . 	joe is a combination of animatronic effects , computer graphics , and that old standard , a man in a monkey suit .	1	-1	 joe[0] is[0] a[0] combination[0] of[0] animatronic[0] effects[0] computer[0] graphics[0] and[0] that[0] old[0] standard[0] a[0] man[0] in[0] a[0] monkey[0] suit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while there are occasional flashes of brilliance--baker's had a lot of practice with simian effects , after all , including " gorillas in the mist , " " greystoke : the legend of tarzan , lord of the apes , " and the 1976 remake of " king kong " --there's also some surprising cheesiness . 	while there are occasional flashes of brilliance-baker's had a lot of practice with simian effects , after all , including " gorillas in the mist , " " greystoke : the legend of tarzan , lord of the apes , " and the 1976 remake of " king kong " -there's also some surprising cheesiness .	2	-1	 while[0] there[0] are[0] occasional[0] flashes[0] of[0] brilliance[1] baker's[0] had[0] a[0] lot[0] of[0] practice[0] with[0] simian[0] effects[0] after[0] all[0] including[0] gorillas[0] in[0] the[0] mist[0] greystoke[0] the[0] legend[0] of[0] tarzan[0] lord[0] of[0] the[0] apes[0] and[0] the[0] 1976[0] remake[0] of[0] king[0] kong[0] there's[0] also[0] some[0] surprising[0] cheesiness[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
