when a pair of films from the same director gets released just three weeks apart , it could mean one of two things : that the recently overworked individual is due for a well-deserved rest , or that either of these movies has been sitting in a studio safe for a while and the timing is merely a coincidence . 	Translation	Positive	Negative	EmotionRationale
the latter's the case with john mctiernan and " the thirteenth warrior , " which finally hits theatres a year and counting after its original spring '98 opening - and fast on the heels of mctiernan's " the thomas crown affair " remake , a flick that got good reviews . 	the latter's the case with john mctiernan and " the thirteenth warrior , " which finally hits theatres a year and counting after its original spring '98 opening - and fast on the heels of mctiernan's " the thomas crown affair " remake , a flick that got good reviews .	2	-1	 the[0] latter's[0] the[0] case[0] with[0] john[0] mctiernan[0] and[0] the[0] thirteenth[0] warrior[0] which[0] finally[0] hits[0] theatres[0] a[0] year[0] and[0] counting[0] after[0] its[0] original[0] spring[0] '98[0] opening[0] and[0] fast[0] on[0] the[0] heels[0] of[0] mctiernan's[0] the[0] thomas[0] crown[0] affair[0] remake[0] a[0] flick[0] that[0] got[0] good[1] reviews[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you don't have to believe superstitions to wager a guess that " thirteenth " won't be so lucky . 	you don't have to believe superstitions to wager a guess that " thirteenth " won't be so lucky .	2	-2	 you[0] don't[0] have[0] to[0] believe[0] superstitions[-1] to[0] wager[0] a[0] guess[0] that[0] thirteenth[0] won't[0] be[0] so[0] lucky[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
reportedly shelved following skirmishes between mctiernan and producer michael crichton , whose " eaters of the dead " novel provides " warrior " 's source ( and its initial title ) , this messy melange of culture-clash drama and brutal warfare feels empty and sluggish - sorta like " braveheart " without any of the passion . 	reportedly shelved following skirmishes between mctiernan and producer michael crichton , whose " eaters of the dead " novel provides " warrior " 's source ( and its initial title ) , this messy melange of culture-clash drama and brutal warfare feels empty and sluggish - sorta like " braveheart " without any of the passion .	3	-4	 reportedly[0] shelved[0] following[0] skirmishes[-1] between[0] mctiernan[0] and[0] producer[0] michael[0] crichton[0] whose[0] eaters[0] of[0] the[0] dead[-2] novel[0] provides[0] warrior[0] 's[0] source[-1] and[0] its[0] initial[0] title[0] this[0] messy[0] melange[0] of[0] culture[0] clash[-1] drama[0] and[0] brutal[-2] warfare[-2][-1 MultiplePositiveWords] feels[0] empty[0] and[0] sluggish[-1] sorta[0] like[1] braveheart[2] without[0] any[0] of[0] the[0] passion[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but the bloodshed certainly remains : there's enough carnage on display here to satisfy those in search of purely visceral thrills , though please note that the admittedly pungent battle sequences containing all this death and dismemberment alternate with talky passages interminable in their dullness . 	but the bloodshed certainly remains : there's enough carnage on display here to satisfy those in search of purely visceral thrills , though please note that the admittedly pungent battle sequences containing all this death and dismemberment alternate with talky passages interminable in their dullness .	4	-3	 but[0] the[0] bloodshed[-1] certainly[0] remains[0] there's[0] enough[0] carnage[0] on[0] display[0] here[0] to[0] satisfy[1] those[0] in[0] search[0] of[0] purely[0] visceral[0] thrills[3] though[0] please[1] note[0] that[0] the[0] admittedly[0] pungent[0] battle[-1] sequences[0] containing[0] all[0] this[0] death[-2] and[0] dismemberment[0] alternate[0] with[0] talky[0] passages[0] interminable[0] in[0] their[0] dullness[-1] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
these circa-10th century clashes involve a roving band of cannibalistic creatures capable of decapitating opponents with their bare hands and a dozen norse soldiers out to stop them from terrorizing the viking countryside . 	these circa-10th century clashes involve a roving band of cannibalistic creatures capable of decapitating opponents with their bare hands and a dozen norse soldiers out to stop them from terrorizing the viking countryside .	1	-3	 these[0] circa[0] -10th[0] century[0] clashes[0] involve[0] a[0] roving[0] band[0] of[0] cannibalistic[-1] creatures[0] capable[0] of[0] decapitating[0] opponents[0] with[0] their[0] bare[0] hands[0] and[0] a[0] dozen[0] norse[0] soldiers[0] out[0] to[0] stop[0] them[0] from[0] terrorizing[-2] the[0] viking[0] countryside[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the good guys are loud , crude , often unintelligible and - judging from their highly icky hygiene habits -- pretty smelly to boot , which makes them perfect foils for the dignified arab ambassador ( antonio banderas ) who tags along quite reluctantly . 	the good guys are loud , crude , often unintelligible and - judging from their highly icky hygiene habits - pretty smelly to boot , which makes them perfect foils for the dignified arab ambassador ( antonio banderas ) who tags along quite reluctantly .	3	-2	 the[0] good[1] guys[0] are[0] loud[0] crude[-1] often[0] unintelligible[0] and[0] judging[0] from[0] their[0] highly[0] icky[0] hygiene[0] habits[0] pretty[2] smelly[0] to[0] boot[0] which[0] makes[0] them[0] perfect[1] foils[0] for[0] the[0] dignified[1] arab[0] ambassador[0] antonio[0] banderas[0] who[0] tags[0] along[0] quite[0] reluctantly[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they're also so hard to tell apart that it hardly matters when a few of them meet violent demises . 	they're also so hard to tell apart that it hardly matters when a few of them meet violent demises .	1	-3	 they're[0] also[0] so[0] hard[0] to[0] tell[0] apart[0] that[0] it[0] hardly[0] matters[0] when[0] a[0] few[0] of[0] them[0] meet[0] violent[-2] demises[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you'll wince , you'll groan , you'll grouse , " haven't we seen this guy killed twice before ? " 	you'll wince , you'll groan , you'll grouse , " haven't we seen this guy killed twice before ?<br> "	1	-4	 you'll[0] wince[-1] you'll[0] groan[0] you'll[0] grouse[0] haven't[0] we[0] seen[0] this[0] guy[0] killed[-3] twice[0] before[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
banderas stands confused amidst the chaos , partaking mostly from a distance as savages in darth maul facepaint and draped in the latest animal-skin fashion run amok . 	banderas stands confused amidst the chaos , partaking mostly from a distance as savages in darth maul facepaint and draped in the latest animal-skin fashion run amok .	1	-3	 banderas[0] stands[0] confused[-1] amidst[0] the[0] chaos[-1] partaking[0] mostly[0] from[0] a[0] distance[0] as[0] savages[-2] in[0] darth[0] maul[0] facepaint[0] and[0] draped[0] in[0] the[0] latest[0] animal[0] skin[0] fashion[0] run[0] amok[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's not the hero - his soulful eyes and lean build don't exactly herald a champion of shwarzenegger proportions - and " the thirteenth warrior " wisely doesn't pretend he is , allowing his foreign and physically imposing co-stars to step into the spotlight when the going gets rough . 	he's not the hero - his soulful eyes and lean build don't exactly herald a champion of shwarzenegger proportions - and " the thirteenth warrior " wisely doesn't pretend he is , allowing his foreign and physically imposing co-stars to step into the spotlight when the going gets rough .	1	-3	 he's[0] not[0] the[0] hero[2][NegatedDueToPreviousWord] his[0] soulful[0] eyes[0] and[0] lean[0] build[0] don't[0] exactly[0] herald[0] a[0] champion[0] of[0] shwarzenegger[0] proportions[0] and[0] the[0] thirteenth[0] warrior[0] wisely[0] doesn't[0] pretend[-1] he[0] is[0] allowing[0] his[0] foreign[-1] and[0] physically[0] imposing[0] co[0] stars[0] to[0] step[0] into[0] the[0] spotlight[0] when[0] the[0] going[0] gets[0] rough[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
let the characters interaction sans swords and shields , however , and there's still a struggle - for the audience to follow or even care about the story . 	let the characters interaction sans swords and shields , however , and there's still a struggle - for the audience to follow or even care about the story .	2	-2	 let[0] the[0] characters[0] interaction[0] sans[0] swords[0] and[0] shields[0] however[0] and[0] there's[0] still[0] a[0] struggle[-1] for[0] the[0] audience[0] to[0] follow[0] or[0] even[0] care[1] about[0] the[0] story[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it isn't the end until audiences have witnessed a half-baked romance , murky political intrigue , veteran actor omar sharif ( " funny girl " ) dropping by in a cameo role and a climactic " indiana jones and the temple of doom " -esque chase through the villains' underground lair . 	it isn't the end until audiences have witnessed a half-baked romance , murky political intrigue , veteran actor omar sharif ( " funny girl " ) dropping by in a cameo role and a climactic " indiana jones and the temple of doom " -esque chase through the villains' underground lair .	4	-3	 it[0] isn't[0] the[0] end[0] until[0] audiences[0] have[0] witnessed[0] a[0] half[0] baked[0] romance[3] murky[-1] political[0] intrigue[0] veteran[0] actor[0] omar[0] sharif[0] funny[1] girl[0] dropping[0] by[0] in[0] a[0] cameo[0] role[0] and[0] a[0] climactic[0] indiana[0] jones[0] and[0] the[0] temple[0] of[0] doom[-1] esque[0] chase[-1] through[0] the[0] villains'[-2] underground[0] lair[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
all this clutter receives stunning visual treatment courtesy of cinematographer peter menzies jr . , but the collaboration between " die hard " -helmer mctiernan and " jurrasic park " -creator crichton should have yielded more than sumptuous sights , graphic action and unintentionally telling moments . 	all this clutter receives stunning visual treatment courtesy of cinematographer peter menzies jr .<br> , but the collaboration between " die hard " -helmer mctiernan and " jurrasic park " -creator crichton should have yielded more than sumptuous sights , graphic action and unintentionally telling moments .	1	-2	 all[0] this[0] clutter[-1] receives[0] stunning[0] visual[0] treatment[0] courtesy[0] of[0] cinematographer[0] peter[0] menzies[0] jr[0] [[Sentence=-2,1=word max, 1-5]] but[0] the[0] collaboration[0] between[0] die[0] hard[0] helmer[0] mctiernan[0] and[0] jurrasic[0] park[0] creator[0] crichton[0] should[0] have[0] yielded[0] more[0] than[0] sumptuous[0] sights[0] graphic[0] action[0] and[0] unintentionally[0] telling[0] moments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
heard during " the thirteenth warrior " 's final scene : a dog whimpering . 	heard during " the thirteenth warrior " 's final scene : a dog whimpering .	1	-1	 heard[0] during[0] the[0] thirteenth[0] warrior[0] 's[0] final[0] scene[0] a[0] dog[0] whimpering[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how appropriate . 	how appropriate .	1	-1	 how[0] appropriate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
