brian de palma's snake eyes stars nicolas cage's evil twin , who confusingly uses the same stage name as his talented brother . 	Translation	Positive	Negative	EmotionRationale
like a foreign tourist who screams his lines in english to ensure that he will be understood , cage yells with the ferocity of a man with a bad case of caffeine overload . 	like a foreign tourist who screams his lines in english to ensure that he will be understood , cage yells with the ferocity of a man with a bad case of caffeine overload .	2	-4	 like[1] a[0] foreign[-1] tourist[0] who[0] screams[-3] his[0] lines[0] in[0] english[0] to[0] ensure[0] that[0] he[0] will[0] be[0] understood[0] cage[0] yells[0] with[0] the[0] ferocity[-3] of[0] a[0] man[0] with[0] a[0] bad[-1] case[0] of[0] caffeine[0] overload[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
de palma , whose last great film , the untouchables , was crafted over a decade ago seems to have lost his magic . 	de palma , whose last great film , the untouchables , was crafted over a decade ago seems to have lost his magic .	3	-1	 de[0] palma[0] whose[0] last[0] great[2] film[0] the[0] untouchables[0] was[0] crafted[0] over[0] a[0] decade[0] ago[0] seems[0] to[0] have[0] lost[0] his[0] magic[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in snake eyes , he manages to elicit some of the worst performances possible out of a skilled cast . 	in snake eyes , he manages to elicit some of the worst performances possible out of a skilled cast .	1	-3	 in[0] snake[0] eyes[0] he[0] manages[0] to[0] elicit[0] some[0] of[0] the[0] worst[-2] performances[0] possible[0] out[0] of[0] a[0] skilled[0] cast[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
only gary sinise rises slightly above the hackneyed material . 	only gary sinise rises slightly above the hackneyed material .	1	-1	 only[0] gary[0] sinise[0] rises[0] slightly[0] above[0] the[0] hackneyed[0] material[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the rest of the actors become caricatures in this by-the-numbers thriller . 	the rest of the actors become caricatures in this by-the-numbers thriller .	2	-1	 the[0] rest[0] of[0] the[0] actors[0] become[0] caricatures[0] in[0] this[0] by[0] the[0] numbers[0] thriller[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ryuichi sakamoto's atmospheric and melodramatic music dominates almost every scene . 	ryuichi sakamoto's atmospheric and melodramatic music dominates almost every scene .	1	-2	 ryuichi[0] sakamoto's[0] atmospheric[0] and[0] melodramatic[-1] music[0] dominates[-1] almost[0] every[0] scene[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
heavy on the long violin notes , its rhythm is punctuated by thunder . 	heavy on the long violin notes , its rhythm is punctuated by thunder .	1	-1	 heavy[0] on[0] the[0] long[0] violin[0] notes[0] its[0] rhythm[0] is[0] punctuated[0] by[0] thunder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( the script by de palma and lost world's david koepp sets the action during a hurricane in an attempt to pump up the adrenaline level and the noise . 	 ( the script by de palma and lost world's david koep sets the action during a hurricane in an attempt to pump up the adrenaline level and the noise .	1	-1	 the[0] script[0] by[0] de[0] palma[0] and[0] lost[0] world's[0] david[0] koepp/koep[0] sets[0] the[0] action[0] during[0] a[0] hurricane[0] in[0] an[0] attempt[0] to[0] pump[0] up[0] the[0] adrenaline[0] level[0] and[0] the[0] noise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only the latter is achieved . ) 	only the latter is achieved .<br> )	1	-1	 only[0] the[0] latter[0] is[0] achieved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cage plays rick santoro , a corrupt atlantic city cop who shakes down criminals to get betting money . 	cage plays rick santoro , a corrupt atlantic city cop who shakes down criminals to get betting money .	2	-3	 cage[0] plays[1] rick[0] santoro[0] a[0] corrupt[-2] atlantic[0] city[0] cop[0] who[0] shakes[-1] down[0] criminals[-1] to[0] get[0] betting[0] money[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
