here's a concept -- jean-claude van damme gets killed within the first ten minutes of the movie . 	Translation	Positive	Negative	EmotionRationale
now if that isn't enough to get you to finally see a van damme movie , i don't know what is . 	now if that isn't enough to get you to finally see a van dame movie , i don't know what is .	1	-1	 now[0] if[0] that[0] isn't[0] enough[0] to[0] get[0] you[0] to[0] finally[0] see[0] a[0] van[0] damme/dame[0] movie[0] i[0] don't[0] know[0] what[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all sarcasm aside , it is certainly a different way to start a movie , of course a few minutes later we find out that the newly deceased had a twin brother -- so lucky us , we get to see more of jean-claude . 	all sarcasm aside , it is certainly a different way to start a movie , of course a few minutes later we find out that the newly deceased had a twin brother - so lucky us , we get to see more of jean-claude .	2	-3	 all[0] sarcasm[-2] aside[0] it[0] is[0] certainly[0] a[0] different[0] way[0] to[0] start[0] a[0] movie[0] of[0] course[0] a[0] few[0] minutes[0] later[0] we[0] find[0] out[0] that[0] the[0] newly[0] deceased[0] had[0] a[0] twin[0] brother[0] so[0] lucky[1] us[0] we[0] get[0] to[0] see[0] more[0] of[0] jean[0] claude[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
van damme #1 works for the russian mafia in the united states and is killed by some of their operatives . 	van dame #1 works for the russian mafia in the united states and is killed by some of their operatives .	1	-4	 van[0] damme/dame[0] #1[0] works[0] for[0] the[0] russian[0] mafia[0] in[0] the[0] united[0] states[0] and[0] is[0] killed[-3] by[0] some[0] of[0] their[0] operatives[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
van damme #2 is a police officer in france who finds out that he had a twin brother he never knew about after #1 gets killed in france . 	van dame #2 is a police officer in france who finds out that he had a twin brother he never knew about after #1 gets killed in france .	1	-4	 van[0] damme/dame[0] #2[0] is[0] a[0] police[0] officer[0] in[0] france[0] who[0] finds[0] out[0] that[0] he[0] had[0] a[0] twin[0] brother[0] he[0] never[0] knew[0] about[0] after[0] #1[0] gets[0] killed[-3] in[0] france[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the remaining twin ( the french cop ) goes to the united states to find out who killed his brother and avenge his death . 	the remaining twin ( the french cop ) goes to the united states to find out who killed his brother and avenge his death .	1	-4	 the[0] remaining[0] twin[0] the[0] french[0] cop[0] goes[0] to[0] the[0] united[0] states[0] to[0] find[0] out[0] who[0] killed[-3] his[0] brother[0] and[0] avenge[-1] his[0] death[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
once there , he hooks up with his deceased brother's girlfriend , played by natasha henstridge , and the two of them set out to discover who the murderers are . 	once there , he hooks up with his deceased brother's girlfriend , played by natasha henstridge , and the two of them set out to discover who the murderers are .	1	-4	 once[0] there[0] he[0] hooks[0] up[0] with[0] his[0] deceased[0] brother's[0] girlfriend[0] played[0] by[0] natasha[0] henstridge[0] and[0] the[0] two[0] of[0] them[0] set[0] out[0] to[0] discover[0] who[0] the[0] murderers[-3] are[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
jean-claude's acting abilities don't seem to be up to the usual lackluster standards in this movie . 	jean-claude's acting abilities don't seem to be up to the usual lackluster standards in this movie .	1	-1	 jean[0] claude's[0] acting[0] abilities[0] don't[0] seem[0] to[0] be[0] up[0] to[0] the[0] usual[0] lackluster[0] standards[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in other words , just in case you missed the sarcasm , his acting is worse than normal . 	in other words , just in case you missed the sarcasm , his acting is worse than normal .	1	-3	 in[0] other[0] words[0] just[0] in[0] case[0] you[0] missed[-1] the[0] sarcasm[-2] his[0] acting[0] is[0] worse[-2] than[0] normal[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
on the upside , natasha henstridge is in this film , and she does what she did best in species -- she gets naked . 	on the upside , natasha henstridge is in this film , and she does what she did best in species - she gets naked .	1	-1	 on[0] the[0] upside[0] natasha[0] henstridge[0] is[0] in[0] this[0] film[0] and[0] she[0] does[0] what[0] she[0] did[0] best[1][-1 LastWordBoosterStrength] in[0] species[0] she[0] gets[0] naked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sadly , this is probably the high point in the movie . 	sadly , this is probably the high point in the movie .	1	-2	 sadly[-1] this[0] is[0] probably[0] the[0] high[0] point[0] in[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she is actually a decent actress , but didn't improve as much as i thought she would after species . 	she is actually a decent actress , but didn't improve as much as i thought she would after species .	2	-1	 she[0] is[0] actually[0] a[0] decent[0] actress[0] but[0] didn't[0] improve[1] as[0] much[0] as[0] i[0] thought[0] she[0] would[0] after[0] species[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is the typical van damme movie , with jean-claude doing a variety of high end martial arts moves on his opponents . 	this is the typical van dame movie , with jean-claude doing a variety of high end martial arts moves on his opponents .	1	-1	 this[0] is[0] the[0] typical[0] van[0] damme/dame[0] movie[0] with[0] jean[0] claude[0] doing[0] a[0] variety[0] of[0] high[0] end[0] martial[0] arts[0] moves[0] on[0] his[0] opponents[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nothing new here , and certainly nothing we haven't seen in every other van damme movie . 	nothing new here , and certainly nothing we haven't seen in every other van dame movie .	1	-1	 nothing[0] new[0] here[0] and[0] certainly[0] nothing[0] we[0] haven't[0] seen[0] in[0] every[0] other[0] van[0] damme/dame[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simply put , there is absolutely nothing new about this movie . 	simply put , there is absolutely nothing new about this movie .	1	-1	 simply[0] put[0] there[0] is[0] absolutely[0] nothing[0] new[0] about[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it has a retread plot -- this isn't the first time jean-claude has played twins . 	it has a retread plot - this isn't the first time jean-claude has played twins .	1	-1	 it[0] has[0] a[0] retread[0] plot[0] this[0] isn't[0] the[0] first[0] time[0] jean[0] claude[0] has[0] played[0] twins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he still can't act . 	he still can't act .	1	-1	 he[0] still[0] can't[0] act[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we all saw natasha's breasts in species ( although this is one repeat performance i'm not complaining about ) . 	we all saw natasha's breasts in species ( although this is one repeat performance i'm not complaining about ) .	2	-1	 we[0] all[0] saw[0] natasha's[0] breasts[0] in[0] species[0] although[0] this[0] is[0] one[0] repeat[0] performance[0] i'm[0] not[0] complaining[-1][NegatedDueToPreviousWord] about[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is pretty much like every movie that van damme has ever been involved in -- sub par . 	this is pretty much like every movie that van dame has ever been involved in - sub par .	3	-1	 this[0] is[0] pretty[2] much[0] like[1] every[0] movie[0] that[0] van[0] damme/dame[0] has[0] ever[0] been[0] involved[0] in[0] sub[0] par[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
