54 is dull , perfunctory , uninspired , and boring . 	Translation	Positive	Negative	EmotionRationale
a greater writer might have created a lyrical sentence for each of those adjectives , flowing in lovely arangements with soaring metaphors . 	a greater writer might have created a lyrical sentence for each of those adjectives , flowing in lovely arangements with soaring metaphors .	3	-1	 a[0] greater[2] writer[0] might[0] have[0] created[0] a[0] lyrical[0] sentence[0] for[0] each[0] of[0] those[0] adjectives[0] flowing[0] in[0] lovely[1] arangements[0] with[0] soaring[0] metaphors[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i , however , would rather cut to the chase . 	i , however , would rather cut to the chase .	1	-2	 i[0] however[0] would[0] rather[0] cut[0] to[0] the[0] chase[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
54 is dull , perfunctory , uninspired , and boring . 	54 is dull , perfunctory , uninspired , and boring .	1	-2	 54[0] is[0] dull[-1] perfunctory[0] uninspired[0] and[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is nothing in it -- not a glimpse of depth , nor a shimmer of intelligence or insight . 	there is nothing in it - not a glimpse of depth , nor a shimmer of intelligence or insight .	1	-1	 there[0] is[0] nothing[0] in[0] it[0] not[0] a[0] glimpse[0] of[0] depth[0] nor[0] a[0] shimmer[0] of[0] intelligence[0] or[0] insight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no electricity in any of the scenes , or a moment of interest in the story or its subplots . 	there is no electricity in any of the scenes , or a moment of interest in the story or its subplots .	2	-1	 there[0] is[0] no[0] electricity[0] in[0] any[0] of[0] the[0] scenes[0] or[0] a[0] moment[0] of[0] interest[1] in[0] the[0] story[0] or[0] its[0] subplots[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and it's underdeveloped , and features an array of bland characters played by actors who think they're in this year's boogie nights . 	and it's underdeveloped , and features an array of bland characters played by actors who think they're in this year's boogie nights .	1	-2	 and[0] it's[0] underdeveloped[0] and[0] features[0] an[0] array[0] of[0] bland[-1] characters[0] played[0] by[0] actors[0] who[0] think[0] they're[0] in[0] this[0] year's[0] boogie[0] nights[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they are so wrong . 	they are so wrong .	1	-2	 they[0] are[0] so[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the picture has been assembled by mark christopher . 	the picture has been assembled by mark christopher .	1	-1	 the[0] picture[0] has[0] been[0] assembled[0] by[0] mark[0] christopher[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
based on this film , i don't know how he got a job in the business . 	based on this film , i don't know how he got a job in the business .	1	-1	 based[0] on[0] this[0] film[0] i[0] don't[0] know[0] how[0] he[0] got[0] a[0] job[0] in[0] the[0] business[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
54 is supposed to be an amazing insight into the world of the dance club of the same name , which originated in the 70s and closed down in the 80s . 	54 is supposed to be an amazing insight into the world of the dance club of the same name , which originated in the 70s and closed down in the 80s .	3	-1	 54[0] is[0] supposed[0] to[0] be[0] an[0] amazing[2] insight[0] into[0] the[0] world[0] of[0] the[0] dance[0] club[0] of[0] the[0] same[0] name[0] which[0] originated[0] in[0] the[0] 70s[0] and[0] closed[0] down[0] in[0] the[0] 80s[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i don't know if this film went into production after boogie nights was released , but christopher has managed to plagiarize paul thomas anderson's brilliant work in every possible way , from the framework of the plot down to the style of the cinematography . 	i don't know if this film went into production after boogie nights was released , but christopher has managed to plagiarize paul thomas anderson's brilliant work in every possible way , from the framework of the plot down to the style of the cinematography .	2	-1	 i[0] don't[0] know[0] if[0] this[0] film[0] went[0] into[0] production[0] after[0] boogie[0] nights[0] was[0] released[0] but[0] christopher[0] has[0] managed[0] to[0] plagiarize[0] paul[0] thomas[0] anderson's[0] brilliant[1] work[0] in[0] every[0] possible[0] way[0] from[0] the[0] framework[0] of[0] the[0] plot[0] down[0] to[0] the[0] style[0] of[0] the[0] cinematography[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what it lacks is everything that made boogie nights great : depth , intelligence , energy , fascinating characters , and challenging themes . 	what it lacks is everything that made boogie nights great : depth , intelligence , energy , fascinating characters , and challenging themes .	3	-1	 what[0] it[0] lacks[0] is[0] everything[0] that[0] made[0] boogie[0] nights[0] great[2] depth[0] intelligence[0] energy[0] fascinating[0] characters[0] and[0] challenging[0] themes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
54 can't even measure up to the last days of disco , which is flawed , but still smart and entertaining . 	54 can't even measure up to the last days of disco , which is flawed , but still smart and entertaining .	2	-1	 54[0] can't[0] even[0] measure[0] up[0] to[0] the[0] last[0] days[0] of[0] disco[0] which[0] is[0] flawed[0] but[0] still[0] smart[1] and[0] entertaining[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
