the army comedy genre has never turned out a truly good movie ( if you don't count neil simon's biloxi blues ) . 	Translation	Positive	Negative	EmotionRationale
year after year , more predictably cliched military movies come out -- most recently sgt . 	year after year , more predictably cliched military movies come out - most recently sgt .	1	-1	 year[0] after[0] year[0] more[0] predictably[0] cliched[0] military[0] movies[0] come[0] out[0] most[0] recently[0] sgt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bilko -- and none of them ever manage to be anything more than a rehash of the last . 	bilko - and none of them ever manage to be anything more than a rehash of the last .	1	-1	 bilko[0] and[0] none[0] of[0] them[0] ever[0] manage[0] to[0] be[0] anything[0] more[0] than[0] a[0] rehash[0] of[0] the[0] last[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i thought stripes would be different . 	i thought stripes would be different .	1	-1	 i[0] thought[0] stripes[0] would[0] be[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with ivan reitman as director , bill murray as star and harold ramis as co-star and co-screenwriter , it seemed like it would be ghostbusters in the army . 	with ivan reitman as director , bill murray as star and harold ramis as co-star and co-screenwriter , it seemed like it would be ghostbusters in the army .	2	-1	 with[0] ivan[0] reitman[0] as[0] director[0] bill[0] murray[0] as[0] star[0] and[0] harold[0] ramis[0] as[0] co[0] star[0] and[0] co[0] screenwriter[0] it[0] seemed[0] like[1] it[0] would[0] be[0] ghostbusters[0] in[0] the[0] army[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead , it was a bunch of unfunny crap in the army . 	instead , it was a bunch of unfunny crap in the army .	1	-3	 instead[0] it[0] was[0] a[0] bunch[0] of[0] unfunny[0] crap[-2] in[0] the[0] army[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
murray , about as funny and sophisticated here as he was in meatballs , plays a loser cab driver who sees the army as his only chance for success , and convinces his friend ramis to enlist with him . 	murray , about as funny and sophisticated here as he was in meatballs , plays a loser cab driver who sees the army as his only chance for success , and convinces his friend ramis to enlist with him .	3	-3	 murray[0] about[0] as[0] funny[1] and[0] sophisticated[0] here[0] as[0] he[0] was[0] in[0] meatballs[0] plays[1] a[0] loser[-2] cab[0] driver[0] who[0] sees[0] the[0] army[0] as[0] his[0] only[0] chance[0] for[0] success[2] and[0] convinces[0] his[0] friend[1] ramis[0] to[0] enlist[0] with[0] him[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
so he does , and we get the obligatory drill sergeant from hell , head-shaving and marching/singing sequences , more mind-numbingly stale here than ever . 	so he does , and we get the obligatory drill sergeant from hell , head-shaving and marching/singing sequences , more mind-numbingly stale here than ever .	1	-2	 so[0] he[0] does[0] and[0] we[0] get[0] the[0] obligatory[0] drill[0] sergeant[0] from[0] hell[-1] head[0] shaving[0] and[0] marching/singing[0] sequences[0] more[0] mind[0] numbingly[-1] stale[-1] here[0] than[0] ever[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the characters are even less original , ranging from underachieving slob john candy to incompetent captain john larroquette . 	the characters are even less original , ranging from underachieving slob john candy to incompetent captain john larroquette .	1	-3	 the[0] characters[0] are[0] even[0] less[0] original[0] ranging[0] from[0] underachieving[0] slob[0] john[0] candy[0] to[0] incompetent[-2] captain[0] john[0] larroquette[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all the big name stars in stripes ( and even larroquette ) fall victim to the lame , rehashed material and are never really likeable , murray in particular . 	all the big name stars in stripes ( and even larroquette ) fall victim to the lame , rehashed material and are never really likeable , murray in particular .	1	-4	 all[0] the[0] big[0] name[0] stars[0] in[0] stripes[0] and[0] even[0] larroquette[0] fall[0] victim[-2] to[0] the[0] lame[-2] rehashed[0] material[0] and[0] are[0] never[0] really[0] likeable[2][1 LastWordBoosterStrength][NegatedDueToPreviousWord] murray[0] in[0] particular[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he only gets a few decent lines in , although those barely-funny one liners pale in comparison to the hilarious peter venkman character he played three years later in ghostbusters . 	he only gets a few decent lines in , although those barely-funny one liners pale in comparison to the hilarious peter venkman character he played three years later in ghostbusters .	3	-1	 he[0] only[0] gets[0] a[0] few[0] decent[0] lines[0] in[0] although[0] those[0] barely[0] funny[1] one[0] liners[0] pale[0] in[0] comparison[0] to[0] the[0] hilarious[2] peter[0] venkman[0] character[0] he[0] played[0] three[0] years[0] later[0] in[0] ghostbusters[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he was even better in caddyshack , for crying out loud . 	he was even better in caddyshack , for crying out loud .	1	-4	 he[0] was[0] even[0] better[0] in[0] caddyshack[0] for[0] crying[-3] out[0] loud[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
