 " return to horror high , " wants to be a couple different types of movies at once . 	Translation	Positive	Negative	EmotionRationale
the film tells the story of a low-budget horror movie being filmed at the closed-down crippen high , a school where a group of serial murders took place five years before . 	the film tells the story of a low-budget horror movie being filmed at the closed-down crippen high , a school where a group of serial murders took place five years before .	1	-4	 the[0] film[0] tells[0] the[0] story[0] of[0] a[0] low[-1] budget[0] horror[-3] movie[0] being[0] filmed[0] at[0] the[0] closed[0] down[0] crippen[0] high[0] a[0] school[0] where[0] a[0] group[0] of[0] serial[0] murders[-3] took[0] place[0] five[0] years[0] before[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but what the cast and crew don't know is that a real killer , maybe the same one that was never apprehended , is going into action again . 	but what the cast and crew don't know is that a real killer , maybe the same one that was never apprehended , is going into action again .	1	-2	 but[0] what[0] the[0] cast[0] and[0] crew[0] don't[0] know[0] is[0] that[0] a[0] real[0] killer[-1] maybe[0] the[0] same[0] one[0] that[0] was[0] never[0] apprehended[0] is[0] going[0] into[0] action[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on one level , " return to horror high " is a slasher movie , and it is at this level that it works the best on . 	on one level , " return to horror high " is a slasher movie , and it is at this level that it works the best on .	2	-4	 on[0] one[0] level[0] return[0] to[0] horror[-3] high[0] is[0] a[0] slasher[-1] movie[0] and[0] it[0] is[0] at[0] this[0] level[0] that[0] it[0] works[0] the[0] best[1] on[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
watching the film , which was made in 1987 , i couldn't help but take notice that the killer's costume was almost identital to that of the ghostface in , " scream , " and " scream 2 . " 	watching the film , which was made in 1987 , i couldn't help but take notice that the killer's costume was almost identital to that of the ghostface in , " scream , " and " scream 2 .<br> "	1	-4	 watching[0] the[0] film[0] which[0] was[0] made[0] in[0] 1987[0] i[0] couldn't[0] help[0] but[0] take[0] notice[0] that[0] the[0] killer's[0] costume[0] was[0] almost[0] identital[0] to[0] that[0] of[0] the[0] ghostface[0] in[0] scream[-3] and[0] scream[-3] 2[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
on another level , the film wants to be a slapstick comedy , and there are many hints of this throughout . 	on another level , the film wants to be a slapstick comedy , and there are many hints of this throughout .	1	-2	 on[0] another[0] level[0] the[0] film[0] wants[0] to[0] be[0] a[0] slapstick[-1] comedy[0] and[0] there[0] are[0] many[0] hints[0] of[0] this[0] throughout[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , most of these jokes fall flat . 	unfortunately , most of these jokes fall flat .	2	-2	 unfortunately[-1] most[0] of[0] these[0] jokes[1] fall[0] flat[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and the last thing the film wants to be is a " behind-the-scenes " look at an exploitation film being made . 	and the last thing the film wants to be is a " behind-the-scenes " look at an exploitation film being made .	1	-1	 and[0] the[0] last[0] thing[0] the[0] film[0] wants[0] to[0] be[0] is[0] a[0] behind[0] the[0] scenes[0] look[0] at[0] an[0] exploitation[0] film[0] being[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only problem is that , while much of it is supposed to be from the movie itself being made , no cameras are shown filming it , thus making it far more confusing than it had to be . 	the only problem is that , while much of it is supposed to be from the movie itself being made , no cameras are shown filming it , thus making it far more confusing than it had to be .	1	-2	 the[0] only[0] problem[-1] is[0] that[0] while[0] much[0] of[0] it[0] is[0] supposed[0] to[0] be[0] from[0] the[0] movie[0] itself[0] being[0] made[0] no[0] cameras[0] are[0] shown[0] filming[0] it[0] thus[0] making[0] it[0] far[0] more[0] confusing[-1] than[0] it[0] had[0] to[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and to top it all off , the " twist " ending makes very little to no sense whatsoever , and so we are basically left with feeling as if we wasted our time . 	and to top it all off , the " twist " ending makes very little to no sense whatsoever , and so we are basically left with feeling as if we wasted our time .	1	-2	 and[0] to[0] top[0] it[0] all[0] off[0] the[0] twist[0] ending[0] makes[0] very[0] little[0] to[0] no[0] sense[0] whatsoever[0] and[0] so[0] we[0] are[0] basically[0] left[0] with[0] feeling[0] as[0] if[0] we[0] wasted[-1] our[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are story developments that are beyond ludicrous , and plot holes you could drive a winnebago through . 	there are story developments that are beyond ludicrous , and plot holes you could drive a winnebago through .	1	-3	 there[0] are[0] story[0] developments[0] that[0] are[0] beyond[0] ludicrous[-2] and[0] plot[0] holes[0] you[0] could[0] drive[0] a[0] winnebago[0] through[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
