i looked at the " internet movie database " 's awards section for this film , and found that this was nominated for a golden globe for " best picture ( drama ) . " 	Translation	Positive	Negative	EmotionRationale
anyone who's seen this film can back me up on this : this is the worst of the " great " disaster films , and that's not really saying a lot for this film . 	anyone who's seen this film can back me up on this : this is the worst of the " great " disaster films , and that's not really saying a lot for this film .	3	-3	 anyone[0] who's[0] seen[0] this[0] film[0] can[0] back[0] me[0] up[0] on[0] this[0] this[0] is[0] the[0] worst[-2] of[0] the[0] great[2] disaster[-1] films[0] and[0] that's[0] not[0] really[0] saying[0] a[0] lot[0] for[0] this[0] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 " earthquake " is basically notable because it originally included some theatre thing where the theatre shook when the big earthquake occured . 	 " earthquake " is basically notable because it originally included some theatre thing where the theatre shook when the big earthquake occured .	1	-2	 earthquake[0] is[0] basically[0] notable[0] because[0] it[0] originally[0] included[0] some[0] theatre[0] thing[0] where[0] the[0] theatre[0] shook[-1] when[0] the[0] big[0] earthquake[0] occured[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on video , it's a bland and slow-moving film which gives us a bunch of different characters ( the disaster film requisite ) , then brings them together in the struggle against the big disaster . 	on video , it's a bland and slow-moving film which gives us a bunch of different characters ( the disaster film requisite ) , then brings them together in the struggle against the big disaster .	1	-2	 on[0] video[0] it's[0] a[0] bland[-1] and[0] slow[0] moving[0] film[0] which[0] gives[0] us[0] a[0] bunch[0] of[0] different[0] characters[0] the[0] disaster[-1] film[0] requisite[0] then[0] brings[0] them[0] together[0] in[0] the[0] struggle[-1] against[-1] the[0] big[0] disaster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while this worked in , say , " the towering inferno , " it doesn't here for one single reason : we don't care about any of the characters . 	while this worked in , say , " the towering inferno , " it doesn't here for one single reason : we don't care about any of the characters .	1	-2	 while[0] this[0] worked[0] in[0] say[0] the[0] towering[0] inferno[0] it[0] doesn't[0] here[0] for[0] one[0] single[0] reason[0] we[0] don't[0] care[1][NegatedDueToPreviousWord] about[0] any[0] of[0] the[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film gives us charlton heston ( in one of many crap 70s films he made , including " skyjacked " and that classic , " soylent green " ) as a rich man married to ava gardner , who is having a little affair with a young single mom ( genieveve bujold ) ; a renegade police officer on suspension ( george kennedy , in his least humored performance ) ; in the second weirdest subplot , a motorcycle stuntman ( richard roundtree , right after his " shaft " thing ) whose big stunt is he goes on a little track that goes upside down ( yea , snore ) ; and the weirdest subplot : a military man/bag boy at a grocery store who has a little thing for buxom victoria principal , and eventually gets vengeance on those guys who made fun of his hair ( ! ! ! ) . 	the film gives us charlton heston ( in one of many crap 70s films he made , including " skyjacked " and that classic , " soylent green " ) as a rich man married to ava gardner , who is having a little affair with a young single mom ( genieveve bujold ) ; a renegade police officer on suspension ( george kennedy , in his least humored performance ) ; in the second weirdest subplot , a motorcycle stuntman ( richard roundtree , right after his " shaft " thing ) whose big stunt is he goes on a little track that goes upside down ( yea , snore ) ; and the weirdest subplot : a military man/bag boy at a grocery store who has a little thing for buxom victoria principal , and eventually gets vengeance on those guys who made fun of his hair ( !<br> !<br> !<br> ) .	3	-3	 the[0] film[0] gives[0] us[0] charlton[0] heston[0] in[0] one[0] of[0] many[0] crap[-2] 70s[0] films[0] he[0] made[0] including[0] skyjacked[0] and[0] that[0] classic[0] soylent[0] green[0] as[0] a[0] rich[0] man[0] married[0] to[0] ava[0] gardner[0] who[0] is[0] having[0] a[0] little[0] affair[0] with[0] a[0] young[0] single[0] mom[0] genieveve[0] bujold[0] a[0] renegade[0] police[0] officer[0] on[0] suspension[-1] george[0] kennedy[0] in[0] his[0] least[0] humored[2] performance[0] in[0] the[0] second[0] weirdest[-1] subplot[0] a[0] motorcycle[0] stuntman[0] richard[0] roundtree[0] right[0] after[0] his[0] shaft[0] thing[0] whose[0] big[0] stunt[-1] is[0] he[0] goes[0] on[0] a[0] little[0] track[0] that[0] goes[0] upside[0] down[0] yea[0] snore[-1] and[0] the[0] weirdest[-1] subplot[0] a[0] military[0] man/bag[0] boy[0] at[0] a[0] grocery[0] store[0] who[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in smaller subplots , there's a pointless bit about people who are flying over l . a . ( the city in the film , by the way ) , one who's playing cards and married to a boring non-acting husband ( you think this one can go nowhere ? 	in smaller subplots , there's a pointless bit about people who are flying over l .<br> a .<br> ( the city in the film , by the way ) , one who's playing cards and married to a boring non-acting husband ( you think this one can go nowhere ?	2	-2	 in[0] smaller[0] subplots[0] there's[0] a[0] pointless[-1] bit[0] about[0] people[0] who[0] are[0] flying[0] over[0] l[0] [[Sentence=-2,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] the[0] city[0] in[0] the[0] film[0] by[0] the[0] way[0] one[0] who's[0] playing[1] cards[0] and[0] married[0] to[0] a[0] boring[-1] non[0] acting[0] husband[0] you[0] think[0] this[0] one[0] can[0] go[0] nowhere[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
guess again . he gets interested in the final frames ) ; there's genieveve bujold's moron son , who has a little adventure with wires ; and for some much-needed comedy , there's walter matthau ( billed as walter mutha . . . . 	guess again .<br> he gets interested in the final frames ) ; there's genieveve bujold's moron son , who has a little adventure with wires ; and for some much-needed comedy , there's walter matthau ( billed as walter mutha .<br> .<br> .<br> .	2	-3	 guess[0] again[0] [[Sentence=-1,1=word max, 1-5]] he[0] gets[0] interested[1] in[0] the[0] final[0] frames[0] there's[0] genieveve[0] bujold's[0] moron[-2] son[0] who[0] has[0] a[0] little[0] adventure[0] with[0] wires[0] and[0] for[0] some[0] much[0] needed[0] comedy[0] there's[0] walter[0] matthau[0] billed[0] as[0] walter[0] mutha[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
- the only laugh in the film ) , as a wild drunkard , who's big moment is a dance he does at a critical time . 	- the only laugh in the film ) , as a wild drunkard , who's big moment is a dance he does at a critical time .	2	-2	 the[0] only[0] laugh[1] in[0] the[0] film[0] as[0] a[0] wild[0] drunkard[-1] who's[0] big[0] moment[0] is[0] a[0] dance[0] he[0] does[0] at[0] a[0] critical[-1] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as for the actual " earthquake , " it's rather a let-down . 	as for the actual " earthquake , " it's rather a let-down .	1	-1	 as[0] for[0] the[0] actual[0] earthquake[0] it's[0] rather[0] a[0] let[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a full hour of character-setups , none of which is interesting , then about 10 minutes of shaking , crumbling , and a bit where a house almost falls on bujold ( narrowly missing ) . 	there's a full hour of character-setups , none of which is interesting , then about 10 minutes of shaking , crumbling , and a bit where a house almost falls on bujold ( narrowly missing ) .	2	-2	 there's[0] a[0] full[0] hour[0] of[0] character[0] setups[0] none[0] of[0] which[0] is[0] interesting[1] then[0] about[0] 10[0] minutes[0] of[0] shaking[-1] crumbling[0] and[0] a[0] bit[0] where[0] a[0] house[0] almost[0] falls[0] on[0] bujold[0] narrowly[0] missing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
