in 1989 , director edward zwick began his career with the powerful civil war drama , " glory , " but since then , he has made continuous disappointments , to me at least , with 1994's " legends of the fall , " and 1996's " courage under fire . " 	Translation	Positive	Negative	EmotionRationale
those two films weren't bad , just not very good , but with zwick's latest film , " the siege , " he has finally made one . 	those two films weren't bad , just not very good , but with zwick's latest film , " the siege , " he has finally made one .	1	-3	 those[0] two[0] films[0] weren't[0] bad[-1] just[0] not[0] very[0] good[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] but[0] with[0] zwick's[0] latest[0] film[0] the[0] siege[-1] he[0] has[0] finally[0] made[0] one[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " the siege , " is a modern-day action-thriller that focuses on terrorism that is sweeping through new york city . 	 " the siege , " is a modern-day action-thriller that focuses on terrorism that is sweeping through new york city .	2	-3	 the[0] siege[-1] is[0] a[0] modern[0] day[0] action[0] thriller[1] that[0] focuses[0] on[0] terrorism[-2] that[0] is[0] sweeping[0] through[0] new[0] york[0] city[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
investigating the matter is fbi agents anthony hubbard ( denzel washington ) and frank haddad ( tony shalhoub ) , who are first hit by the ordeal when a city bus explodes with several innocent people on it . 	investigating the matter is fbi agents anthony hubbard ( denzel washington ) and frank haddad ( tony shalhoub ) , who are first hit by the ordeal when a city bus explodes with several innocent people on it .	2	-3	 investigating[0] the[0] matter[0] is[0] fbi[0] agents[0] anthony[0] hubbard[0] denzel[0] washington[0] and[0] frank[0] haddad[0] tony[0] shalhoub[0] who[0] are[0] first[0] hit[0] by[0] the[0] ordeal[-2] when[0] a[0] city[0] bus[0] explodes[-1] with[0] several[0] innocent[1] people[0] on[0] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
later , a bomb goes off in a broadway theater , killing even more . 	later , a bomb goes off in a broadway theater , killing even more .	1	-2	 later[0] a[0] bomb[-1] goes[0] off[0] in[0] a[0] broadway[0] theater[0] killing[-1] even[0] more[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they soon meet cia operative elise kraft ( annette bening ) , who may very well hold the key to the identity of the arab terrorist . 	they soon meet cia operative elise kraft ( annette bening ) , who may very well hold the key to the identity of the arab terrorist .	1	-3	 they[0] soon[0] meet[0] cia[0] operative[0] elise[0] kraft[0] annette[0] bening[0] who[0] may[0] very[0] well[0] hold[0] the[0] key[0] to[0] the[0] identity[0] of[0] the[0] arab[0] terrorist[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are some movies that simply don't need to be made , and , " the siege " may very well be one of them . 	there are some movies that simply don't need to be made , and , " the siege " may very well be one of them .	1	-2	 there[0] are[0] some[0] movies[0] that[0] simply[0] don't[0] need[0] to[0] be[0] made[0] and[0] the[0] siege[-1] may[0] very[0] well[0] be[0] one[0] of[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
oh , sure , zwick thinks he is making a " meaningful " action film , since he has added lots of exposition scenes in which the audience is basically lectured on the horrors of terrorism , but what he really has made is actually no more substantial than , say , " die hard , " which also starred bruce willis . 	oh , sure , zwick thinks he is making a " meaningful " action film , since he has added lots of exposition scenes in which the audience is basically lectured on the horrors of terrorism , but what he really has made is actually no more substantial than , say , " die hard , " which also starred bruce willis .	1	-4	 oh[0] sure[0] zwick[0] thinks[0] he[0] is[0] making[0] a[0] meaningful[0] action[0] film[0] since[0] he[0] has[0] added[0] lots[0] of[0] exposition[0] scenes[0] in[0] which[0] the[0] audience[0] is[0] basically[0] lectured[0] on[0] the[0] horrors[-3] of[0] terrorism[-2] but[0] what[0] he[0] really[0] has[0] made[0] is[0] actually[0] no[0] more[0] substantial[0] than[0] say[0] die[0] hard[0] which[0] also[0] starred[0] bruce[0] willis[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this time , willis is horribly wasted as a general of the u . s . army , who puts a state of martial law over nyc during the climax . 	this time , willis is horribly wasted as a general of the you .<br> s .<br> army , who puts a state of martial law over nyc during the climax .	1	-4	 this[0] time[0] willis[0] is[0] horribly[-3] wasted[-1] as[0] a[0] general[0] of[0] the[0] u[0] [[Sentence=-4,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] army[0] who[0] puts[0] a[0] state[0] of[0] martial[0] law[0] over[0] nyc[0] during[0] the[0] climax[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
whatever points , " the siege , " earnestly tried to make , were obviously lost in the translation from page to screen , or maybe , zwick never really had anything serious to say in the first place . 	whatever points , " the siege , " earnestly tried to make , were obviously lost in the translation from page to screen , or maybe , zwick never really had anything serious to say in the first place .	1	-2	 whatever[0] points[0] the[0] siege[-1] earnestly[0] tried[0] to[0] make[0] were[0] obviously[0] lost[0] in[0] the[0] translation[0] from[0] page[0] to[0] screen[0] or[0] maybe[0] zwick[0] never[0] really[0] had[0] anything[0] serious[-1] to[0] say[0] in[0] the[0] first[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the role of the arab community is offensively stereotypical , just as women were in the recent , " john caprenter's vampires , " by placing them all in the category of " bad guys . " 	the role of the arab community is offensively stereotypical , just as women were in the recent , " john caprenter's vampires , " by placing them all in the category of " bad guys .<br> "	1	-3	 the[0] role[0] of[0] the[0] arab[0] community[0] is[0] offensively[-2] stereotypical[0] just[0] as[0] women[0] were[0] in[0] the[0] recent[0] john[0] caprenter's[0] vampires[0] by[0] placing[0] them[0] all[0] in[0] the[0] category[0] of[0] bad[-1] guys[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
