filmmakers will use all manner of tricks to flesh out and brighten up a dull , dreary , and overused idea . 	Translation	Positive	Negative	EmotionRationale
doug liman ( swingers ) , director of the ultra-hip and severely dark comedy go , is an example of just such a filmmaker . 	doug liman ( swingers ) , director of the ultra-hip and severely dark comedy go , is an example of just such a filmmaker .	1	-2	 doug[0] liman[0] swingers[0] director[0] of[0] the[0] ultra[0] hip[0] and[0] severely[-1] dark[0] comedy[0] go[0] is[0] an[0] example[0] of[0] just[0] such[0] a[0] filmmaker[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in his latest , he gives the viewers a raucous , neon-lit backdrop as cinematographer and points the audience down a drug-infested path of misadventure as director . 	in his latest , he gives the viewers a raucous , neon-lit backdrop as cinematographer and points the audience down a drug-infested path of misadventure as director .	1	-3	 in[0] his[0] latest[0] he[0] gives[0] the[0] viewers[0] a[0] raucous[0] neon[0] lit[0] backdrop[0] as[0] cinematographer[0] and[0] points[0] the[0] audience[0] down[0] a[0] drug[0] infested[-2] path[0] of[0] misadventure[0] as[0] director[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but he fails to come up with any parallel structure in his multi-tiered movie and he fails to connect with the audience on any level , bringing the worth of his efforts to nil and the value of go to about the same . 	but he fails to come up with any parallel structure in his multi-tiered movie and he fails to connect with the audience on any level , bringing the worth of his efforts to nil and the value of go to about the same .	2	-3	 but[0] he[0] fails[-2] to[0] come[0] up[0] with[0] any[0] parallel[0] structure[0] in[0] his[0] multi[0] tiered[0] movie[0] and[0] he[0] fails[-2] to[0] connect[0] with[0] the[0] audience[0] on[0] any[0] level[0] bringing[0] the[0] worth[0] of[0] his[0] efforts[0] to[0] nil[0] and[0] the[0] value[1] of[0] go[0] to[0] about[0] the[0] same[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his movie is produced anthology-style -- telling the same story from multiple ( three ) points of view , much as an author might write a serial novel . 	his movie is produced anthology-style - telling the same story from multiple ( three ) points of view , much as an author might write a serial novel .	1	-1	 his[0] movie[0] is[0] produced[0] anthology[0] style[0] telling[0] the[0] same[0] story[0] from[0] multiple[0] three[0] points[0] of[0] view[0] much[0] as[0] an[0] author[0] might[0] write[0] a[0] serial[0] novel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
consistent with this ethic , liman and screenwriter john august provide a bit of an overlap at the beginning of each narrative and insert brief connections to other narratives . 	consistent with this ethic , liman and screenwriter john august provide a bit of an overlap at the beginning of each narrative and insert brief connections to other narratives .	1	-1	 consistent[0] with[0] this[0] ethic[0] liman[0] and[0] screenwriter[0] john[0] august[0] provide[0] a[0] bit[0] of[0] an[0] overlap[0] at[0] the[0] beginning[0] of[0] each[0] narrative[0] and[0] insert[0] brief[0] connections[0] to[0] other[0] narratives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the thread that laces the three stories together is a drug deal and the events thereafter . 	the thread that laces the three stories together is a drug deal and the events thereafter .	1	-1	 the[0] thread[0] that[0] laces[0] the[0] three[0] stories[0] together[0] is[0] a[0] drug[0] deal[0] and[0] the[0] events[0] thereafter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in story a we have checkout clerk ronna ( sarah polley ) looking to score some rent money and turning to drug trafficking to do it ; in story b we have regular drug dealer simon ( desmond askew ) gone to las vegas giving ronna her opportunity ; and in story c we have gay soap actors zack ( jay mohr ) and adam ( scott wolf ) working undercover for the police to bust said drug deal . 	in story a we have checkout clerk ronna ( sarah polley ) looking to score some rent money and turning to drug trafficking to do it ; in story b we have regular drug dealer simon ( desmond askew ) gone to las vegas giving ronna her opportunity ; and in story c we have gay soap actors zack ( jay mohr ) and adam ( scot wolf ) working undercover for the police to bust said drug deal .	1	-2	 in[0] story[0] a[0] we[0] have[0] checkout[0] clerk[0] ronna[0] sarah[0] polley[0] looking[0] to[0] score[0] some[0] rent[0] money[0] and[0] turning[0] to[0] drug[0] trafficking[0] to[0] do[0] it[0] in[0] story[0] b[0] we[0] have[0] regular[0] drug[0] dealer[0] simon[0] desmond[0] askew[0] gone[0] to[0] las[0] vegas[0] giving[0] ronna[0] her[0] opportunity[0] and[0] in[0] story[0] c[0] we[0] have[0] gay[-1] soap[0] actors[0] zack[0] jay[0] mohr[0] and[0] adam[0] scott/scot[0] wolf[0] working[0] undercover[0] for[0] the[0] police[0] to[0] bust[0] said[0] drug[0] deal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
neither of the three stories have much substance , and the movie has the feel of a campfire story ( albeit a rather strange one ) that could be told in five to ten minutes . 	neither of the three stories have much substance , and the movie has the feel of a campfire story ( albeit a rather strange one ) that could be told in five to ten minutes .	1	-1	 neither[0] of[0] the[0] three[0] stories[0] have[0] much[0] substance[0] and[0] the[0] movie[0] has[0] the[0] feel[0] of[0] a[0] campfire[0] story[0] albeit[0] a[0] rather[0] strange[0] one[0] that[0] could[0] be[0] told[0] in[0] five[0] to[0] ten[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( in fact , the movie was originally a short film entitled x expanded to feature length . ) 	 ( in fact , the movie was originally a short film entitled x expanded to feature length .<br> )	2	-1	 in[0] fact[0] the[0] movie[0] was[0] originally[0] a[0] short[0] film[0] entitled[0] x[1] expanded[0] to[0] feature[0] length[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the early april release date is too mistimed to capitalize on the movie's christmas setting , and the los angeles/las vegas nightlife is something too far from the mainstream for most theater-goers to attach themselves to . 	the early april release date is too mistimed to capitalize on the movie's christmas setting , and the los angeles/las vegas nightlife is something too far from the mainstream for most theater-goers to attach themselves to .	1	-1	 the[0] early[0] april[0] release[0] date[0] is[0] too[0] mistimed[0] to[0] capitalize[0] on[0] the[0] movie's[0] christmas[0] setting[0] and[0] the[0] los[0] angeles/las[0] vegas[0] nightlife[0] is[0] something[0] too[0] far[0] from[0] the[0] mainstream[0] for[0] most[0] theater[0] goers[0] to[0] attach[0] themselves[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters are shallow to the point of prerequisite , and performances from little-known players like polley , askew , and taye diggs don't help or hurt the roles . 	the characters are shallow to the point of prerequisite , and performances from little-known players like polley , askew , and taye digs don't help or hurt the roles .	2	-3	 the[0] characters[0] are[0] shallow[-1] to[0] the[0] point[0] of[0] prerequisite[0] and[0] performances[0] from[0] little[0] known[0] players[0] like[1] polley[0] askew[0] and[0] taye[0] diggs/digs[0] don't[0] help[0] or[0] hurt[-2] the[0] roles[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in fact , even bigger names like mohr , wolf , and katie holmes don't have enough time to make substantial success . 	in fact , even bigger names like mohr , wolf , and katie holmes don't have enough time to make substantial success .	3	-1	 in[0] fact[0] even[0] bigger[0] names[0] like[1] mohr[0] wolf[0] and[0] katie[0] holmes[0] don't[0] have[0] enough[0] time[0] to[0] make[0] substantial[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although that's almost expected for lack of continuous screen time , the success in the picture should come from a thread that binds the stories . 	although that's almost expected for lack of continuous screen time , the success in the picture should come from a thread that binds the stories .	3	-2	 although[0] that's[0] almost[0] expected[0] for[0] lack[-1] of[0] continuous[0] screen[0] time[0] the[0] success[2] in[0] the[0] picture[0] should[0] come[0] from[0] a[0] thread[0] that[0] binds[0] the[0] stories[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
go doesn't have this , and it suffers because of it . 	go doesn't have this , and it suffers because of it .	1	-4	 go[0] doesn't[0] have[0] this[0] and[0] it[0] suffers[-3] because[0] of[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as far as teen movies are concerned , go represents the absolute bottom , for its constant stream of indecipherable light and sound mean nothing without some sort of common theme . 	as far as teen movies are concerned , go represents the absolute bottom , for its constant stream of indecipherable light and sound mean nothing without some sort of common theme .	1	-2	 as[0] far[0] as[0] teen[0] movies[0] are[0] concerned[-1] go[0] represents[0] the[0] absolute[0] bottom[0] for[0] its[0] constant[0] stream[0] of[0] indecipherable[0] light[0] and[0] sound[0] mean[0] nothing[0] without[0] some[0] sort[0] of[0] common[0] theme[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( the following do not count as common themes : drug deals , people attempting to have romantic interludes with drug dealers , people resorting to drug deals for alterior motives , or people not involved in drug deals stumbling into them . ) 	 ( the following do not count as common themes : drug deals , people attempting to have romantic interludes with drug dealers , people resorting to drug deals for alterior motives , or people not involved in drug deals stumbling into them .<br> )	4	-1	 the[0] following[0] do[0] not[0] count[0] as[0] common[0] themes[0] drug[0] deals[0] people[0] attempting[0] to[0] have[0] romantic[3] interludes[0] with[0] drug[0] dealers[0] people[0] resorting[0] to[0] drug[0] deals[0] for[0] alterior[0] motives[0] or[0] people[0] not[0] involved[0] in[0] drug[0] deals[0] stumbling[0] into[0] them[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
at times , the humor in go is sickly funny , and on a low night , almost watchable ; but for the majority of its running time and for most viewers , this movie will best be left to teens at blockbuster on a saturday night . 	at times , the humor in go is sickly funny , and on a low night , almost watchable ; but for the majority of its running time and for most viewers , this movie will best be left to teens at blockbuster on a saturday night .	3	-2	 at[0] times[0] the[0] humor[2] in[0] go[0] is[0] sickly[-1] funny[1] and[0] on[0] a[0] low[-1] night[0] almost[0] watchable[0] but[0] for[0] the[0] majority[0] of[0] its[0] running[0] time[0] and[0] for[0] most[0] viewers[0] this[0] movie[0] will[0] best[1] be[0] left[0] to[0] teens[0] at[0] blockbuster[-1] on[0] a[0] saturday[0] night[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
