everything about this ninth trek movie seems on the cheap , from the roger corman-grade special effects to its highly derivative and ugly ad campaign ( the poster is nearly identical to that of star trek vi : the undiscovered country ) . 	Translation	Positive	Negative	EmotionRationale
but piller's not-quite-half-baked screenplay should ultimately claim responsibility for insurrection's failure . 	but piller's not-quite-half-baked screenplay should ultimately claim responsibility for insurrection's failure .	1	-3	 but[0] piller's[0] not[0] quite[0] half[0] baked[0] screenplay[0] should[0] ultimately[0] claim[0] responsibility[0] for[0] insurrection's[0] failure[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i'm about to give the same advice to rick berman and co . 	i'm about to give the same advice to rick berman and co .	1	-1	 i'm[0] about[0] to[0] give[0] the[0] same[0] advice[0] to[0] rick[0] berman[0] and[0] co[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as i've given to the financiers of james bond movies : it's time to breathe life into this workhorse by hiring solid genre writers and a real director . 	as i've given to the financiers of james bond movies : it's time to breathe life into this workhorse by hiring solid genre writers and a real director .	1	-1	 as[0] i've[0] given[0] to[0] the[0] financiers[0] of[0] james[0] bond[0] movies[0] it's[0] time[0] to[0] breathe[0] life[0] into[0] this[0] workhorse[0] by[0] hiring[0] solid[0] genre[0] writers[0] and[0] a[0] real[0] director[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( while we're at it , put that visor back on laforge ! ) 	 ( while we're at it , put that visor back on laforge !<br> )	1	-1	 while[0] we're[0] at[0] it[0] put[0] that[0] visor[0] back[0] on[0] laforge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for three hundred years , the ba'ku species ( who look just like humans ) have lived on a ringed-planet that might as well be called the fountain of youth . 	for three hundred years , the ba'ku species ( who look just like humans ) have lived on a ringed-planet that might as well be called the fountain of youth .	1	-1	 for[0] three[0] hundred[0] years[0] the[0] ba'ku[0] species[0] who[0] look[0] just[0] like[1][-1 LastWordBoosterStrength] humans[0] have[0] lived[0] on[0] a[0] ringed[0] planet[0] that[0] might[0] as[0] well[0] be[0] called[0] the[0] fountain[0] of[0] youth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
six hundred of them occupy the briar patch , the area affected by metaphasic radition , a positive energy that reverses the aging process in the elderly . 	six hundred of them occupy the briar patch , the area affected by metaphasic radition , a positive energy that reverses the aging process in the elderly .	3	-1	 six[0] hundred[0] of[0] them[0] occupy[0] the[0] briar[0] patch[0] the[0] area[0] affected[0] by[0] metaphasic[0] radition[0] a[0] positive[2] energy[0] that[0] reverses[0] the[0] aging[0] process[0] in[0] the[0] elderly[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but evil ru'afo ( this is probably abraham's last stop before performing " amadeus " at a dinner theatre near you ) , leader of the son'a ( who look just like burn victims after reconstructive surgery ) , wants to relocate the ba'ku and movie his people onto the briar patch in their place , in order to replenish his dying breed . 	but evil ru'afo ( this is probably abraham's last stop before performing " amadeus " at a dinner theatre near you ) , leader of the son'a ( who look just like burn victims after reconstructive surgery ) , wants to relocate the ba'ku and movie his people onto the briar patch in their place , in order to replenish his dying breed .	1	-3	 but[0] evil[-2] ru'afo[0] this[0] is[0] probably[0] abraham's[0] last[0] stop[0] before[0] performing[0] amadeus[0] at[0] a[0] dinner[0] theatre[0] near[0] you[0] leader[0] of[0] the[0] son'a[0] who[0] look[0] just[0] like[1][-1 LastWordBoosterStrength] burn[-1] victims[-2] after[0] reconstructive[0] surgery[0] wants[0] to[0] relocate[0] the[0] ba'ku[0] and[0] movie[0] his[0] people[0] onto[0] the[0] briar[0] patch[0] in[0] their[0] place[0] in[0] order[0] to[0] replenish[0] his[0] dying[-1] breed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the federation is all for this , but picard feels this is a direct violation of the prime directive : to not interfere with the development of an alien race . 	the federation is all for this , but picard feels this is a direct violation of the prime directive : to not interfere with the development of an alien race .	2	-2	 the[0] federation[0] is[0] all[0] for[0] this[0] but[0] picard[0] feels[0] this[0] is[0] a[0] direct[0] violation[-1] of[0] the[0] prime[0] directive[0] to[0] not[0] interfere[-1][NegatedDueToPreviousWord] with[0] the[0] development[0] of[0] an[0] alien[-1] race[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( never mind that the ba'ku didn't exactly evolve-they went wandering in the universe one day and stumbled upon the magic world . ) 	 ( never mind that the ba'ku didn't exactly evolve-they went wandering in the universe one day and stumbled upon the magic world .<br> )	1	-1	 never[0] mind[0] that[0] the[0] ba'ku[0] didn't[0] exactly[0] evolve[0] they[0] went[0] wandering[0] in[0] the[0] universe[0] one[0] day[0] and[0] stumbled[0] upon[0] the[0] magic[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every time frakes gives an interview lately , he seems to top whatever ludicrous statement he last gave regarding this installment . 	every time frakes gives an interview lately , he seems to top whatever ludicrous statement he last gave regarding this instalment .	1	-3	 every[0] time[0] frakes[0] gives[0] an[0] interview[0] lately[0] he[0] seems[0] to[0] top[0] whatever[0] ludicrous[-2] statement[0] he[0] last[0] gave[0] regarding[0] this[0] installment/instalment[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
