these days , people have rather short attention span and hardly anything can satisfy them for the long run . 	Translation	Positive	Negative	EmotionRationale
1970s nostalgia is already wearing off , and now , people are becoming more and more interested in 1980s . 	1970s nostalgia is already wearing off , and now , people are becoming more and more interested in 1980s .	2	-1	 1970s[0] nostalgia[0] is[0] already[0] wearing[0] off[0] and[0] now[0] people[0] are[0] becoming[0] more[0] and[0] more[0] interested[1] in[0] 1980s[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
few years in the future , early 1990s are going to be regarded as next golden age of nostalgia . 	few years in the future , early 1990s are going to be regarded as next golden age of nostalgia .	1	-1	 few[0] years[0] in[0] the[0] future[0] early[0] 1990s[0] are[0] going[0] to[0] be[0] regarded[0] as[0] next[0] golden[0] age[0] of[0] nostalgia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , i doubt that people are going to be very nostalgic about the hollywood products of that period . 	however , i doubt that people are going to be very nostalgic about the hollywood products of that period .	1	-2	 however[0] i[0] doubt[-1] that[0] people[0] are[0] going[0] to[0] be[0] very[0] nostalgic[0] about[0] the[0] hollywood[0] products[0] of[0] that[0] period[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the reason would surely be films like national lampoon's loaded weapon 1 , that , in many ways , symbolise the biggest problem of contemporary american film industry - lack of originality and ideas . 	one of the reason would surely be films like national lampoon's loaded weapon 1 , that , in many ways , symbolise the biggest problem of contemporary american film industry - lack of originality and ideas .	2	-2	 one[0] of[0] the[0] reason[0] would[0] surely[0] be[0] films[0] like[1] national[0] lampoon's[0] loaded[0] weapon[-1] 1[0] that[0] in[0] many[0] ways[0] symbolise[0] the[0] biggest[0] problem[-1] of[0] contemporary[0] american[0] film[0] industry[0] lack[-1] of[0] originality[0] and[0] ideas[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
being made as some kind of parody on lethal weapon series , this film pairs two l . a . policemen - jack colt ( emilio estevez ) , burn-out alcoholic cop on the edge , and wes luger ( samuel l . jackson ) , by-the-book policeman , days away from retirement . 	being made as some kind of parody on lethal weapon series , this film pairs two l .<br> a .<br> policemen - jack colt ( emilio estevez ) , burn-out alcoholic cop on the edge , and wes luger ( samuel l .<br> jackson ) , by-the-book policeman , days away from retirement .	1	-2	 being[0] made[0] as[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] parody[0] on[0] lethal[0] weapon[-1] series[0] this[0] film[0] pairs[0] two[0] l[0] [[Sentence=-2,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] policemen[0] jack[0] colt[0] emilio[0] estevez[0] burn[-1] out[0] alcoholic[0] cop[0] on[0] the[0] edge[0] and[0] wes[0] luger[0] samuel[0] l[0] [[Sentence=-2,1=word max, 1-5]] jackson[0] by[0] the[0] book[0] policeman[0] days[0] away[0] from[0] retirement[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
two of them , following the murder of luger's ex- partner , must confront evil general mortars ( william shatner ) , crime lord who is going to flood the market with cocaine stashed in wilderness girl cookies . 	two of them , following the murder of luger's ex- partner , must confront evil general mortars ( william shatner ) , crime lord who is going to flood the market with cocaine stashed in wilderness girl cookies .	1	-4	 two[0] of[0] them[0] following[0] the[0] murder[-3] of[0] luger's[0] ex[0] partner[0] must[0] confront[-2] evil[-2][-1 MultiplePositiveWords] general[0] mortars[0] william[0] shatner[0] crime[-1] lord[0] who[0] is[0] going[0] to[0] flood[0] the[0] market[0] with[0] cocaine[0] stashed[0] in[0] wilderness[0] girl[0] cookies[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the authors of this films ( whose director , gene quintano , worked on such projects like third and fourth sequel of police academy ) lacked any original idea before they undertook the projects , and that reflects in the lack plot , characters , and , even original lines . 	the authors of this films ( whose director , gene quintano , worked on such projects like third and fourth sequel of police academy ) lacked any original idea before they undertook the projects , and that reflects in the lack plot , characters , and , even original lines .	2	-2	 the[0] authors[0] of[0] this[0] films[0] whose[0] director[0] gene[0] quintano[0] worked[0] on[0] such[0] projects[0] like[1] third[0] and[0] fourth[0] sequel[0] of[0] police[0] academy[0] lacked[0] any[0] original[0] idea[0] before[0] they[0] undertook[0] the[0] projects[0] and[0] that[0] reflects[0] in[0] the[0] lack[-1] plot[0] characters[0] and[0] even[0] original[0] lines[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot , or what goes for the plot in this movie , is nothing more than a series of gags that make laugh of some popular films made in previous few years ( apart from lethal weapon series , this film " borrows " its female lead from basic instinct ) . 	the plot , or what goes for the plot in this movie , is nothing more than a series of gags that make laugh of some popular films made in previous few years ( apart from lethal weapon series , this film " borrows " its female lead from basic instinct ) .	2	-2	 the[0] plot[0] or[0] what[0] goes[0] for[0] the[0] plot[0] in[0] this[0] movie[0] is[0] nothing[0] more[0] than[0] a[0] series[0] of[0] gags[0] that[0] make[0] laugh[1] of[0] some[0] popular[0] films[0] made[0] in[0] previous[0] few[0] years[0] apart[0] from[0] lethal[0] weapon[-1] series[0] this[0] film[0] borrows[0] its[0] female[0] lead[0] from[0] basic[0] instinct[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the best gags , are , same as with many other similar movies , shown in the trailers . 	the best gags , are , same as with many other similar movies , shown in the trailers .	2	-1	 the[0] best[1] gags[0] are[0] same[0] as[0] with[0] many[0] other[0] similar[0] movies[0] shown[0] in[0] the[0] trailers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the rest simply doesn't work . 	the rest simply doesn't work .	1	-1	 the[0] rest[0] simply[0] doesn't[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only those who used to watch a lot of hollywood products in that period would laugh . 	only those who used to watch a lot of hollywood products in that period would laugh .	1	-1	 only[0] those[0] who[0] used[0] to[0] watch[0] a[0] lot[0] of[0] hollywood[0] products[0] in[0] that[0] period[0] would[0] laugh[1][-1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
others would probably wince at the lameness of humour . 	others would probably wince at the lameness of humour .	3	-3	 others[0] would[0] probably[0] wince[-1] at[0] the[0] lameness[-2] of[0] humour[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
some would be entertained by celebrity cameos that pop up every once in a while . 	some would be entertained by celebrity cameos that pop up every once in a while .	1	-1	 some[0] would[0] be[0] entertained[0] by[0] celebrity[0] cameos[0] that[0] pop[0] up[0] every[0] once[0] in[0] a[0] while[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , at the end , spending hour and half in front of this disorganised mess of a movie is simply not worth the effort . 	but , at the end , spending hour and half in front of this disorganised mess of a movie is simply not worth the effort .	1	-1	 but[0] at[0] the[0] end[0] spending[0] hour[0] and[0] half[0] in[0] front[0] of[0] this[0] disorganised[0] mess[0] of[0] a[0] movie[0] is[0] simply[0] not[0] worth[0] the[0] effort[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film was sometimes criticised for being the parody of a series that already had strong comic overtones . 	the film was sometimes criticised for being the parody of a series that already had strong comic overtones .	1	-1	 the[0] film[0] was[0] sometimes[0] criticised[-1][--1 LastWordBoosterStrength] for[0] being[0] the[0] parody[0] of[0] a[0] series[0] that[0] already[0] had[0] strong[0] comic[0] overtones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the authors of lethal weapon returned the favour by using the loaded weapon 1 joke in their fourth sequel . 	the authors of lethal weapon returned the favour by using the loaded weapon 1 joke in their fourth sequel .	2	-2	 the[0] authors[0] of[0] lethal[0] weapon[-1] returned[0] the[0] favour[1] by[0] using[0] the[0] loaded[0] weapon[-1] 1[0] joke[1] in[0] their[0] fourth[0] sequel[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
