a pseudo-intellectual film about the pseudo-intellectual world of art magazines , high art is as wasted as its drug-addled protagonists . 	Translation	Positive	Negative	EmotionRationale
in the only notable part of the movie , ally sheedy and radha mitchell deliver nice performances in the two leading roles , not that lisa cholodenko's script or direction makes you care much about either character . 	in the only notable part of the movie , ally sheedy and radha mitchell deliver nice performances in the two leading roles , not that lisa cholodenko's script or direction makes you care much about either character .	2	-1	 in[0] the[0] only[0] notable[0] part[0] of[0] the[0] movie[0] ally[0] sheedy[0] and[0] radha[0] mitchell[0] deliver[0] nice[1] performances[0] in[0] the[0] two[0] leading[0] roles[0] not[0] that[0] lisa[0] cholodenko's[0] script[0] or[0] direction[0] makes[0] you[0] care[1] much[0] about[0] either[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
living in a world of heroin induced highs , they float along until they fall in love with each other . 	living in a world of heroin induced highs , they float along until they fall in love with each other .	3	-1	 living[0] in[0] a[0] world[0] of[0] heroin[2] induced[0] highs[0] they[0] float[0] along[0] until[0] they[0] fall[0] in[0] love[2] with[0] each[0] other[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this uninviting picture , full of pretentious minor characters , has a receptionist that reads dostoevski and a woman in the restroom line who is a certified genius , having recently been awarded a prestigious mcarthur grant . 	this uninviting picture , full of pretentious minor characters , has a receptionist that reads dostoevski and a woman in the restroom line who is a certified genius , having recently been awarded a prestigious mcarthur grant .	1	-2	 this[0] uninviting[0] picture[0] full[0] of[0] pretentious[-1] minor[0] characters[0] has[0] a[0] receptionist[0] that[0] reads[0] dostoevski[0] and[0] a[0] woman[0] in[0] the[0] restroom[0] line[0] who[0] is[0] a[0] certified[0] genius[0] having[0] recently[0] been[0] awarded[0] a[0] prestigious[0] mcarthur[0] grant[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
24-year-old syd ( radha mitchell ) , who has a rather bland , live-in boyfriend , was just promoted to assistant editor at the artistic photography magazine " frame . " 	24-year-old syd ( radha mitchell ) , who has a rather bland , live-in boyfriend , was just promoted to assistant editor at the artistic photography magazine " frame .<br> "	1	-2	 24[0] year[0] old[0] syd[0] radha[0] mitchell[0] who[0] has[0] a[0] rather[0] bland[-1] live[0] in[0] boyfriend[0] was[0] just[0] promoted[0] to[0] assistant[0] editor[0] at[0] the[0] artistic[0] photography[0] magazine[0] frame[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although the receptionist is impressed , syd is mainly a gofer for her boss until she meets famous photographer lucy berliner ( ally sheedy ) . 	although the receptionist is impressed , syd is mainly a gofer for her boss until she meets famous photographer lucy berliner ( ally sheedy ) .	2	-1	 although[0] the[0] receptionist[0] is[0] impressed[1] syd[0] is[0] mainly[0] a[0] gofer[0] for[0] her[0] boss[0] until[0] she[0] meets[0] famous[0] photographer[0] lucy[0] berliner[0] ally[0] sheedy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for her to do photos for " frame , " lucy demands that syd be promoted to editor and assigned to her since lucy fancies her . 	for her to do photos for " frame , " lucy demands that syd be promoted to editor and assigned to her since lucy fancies her .	1	-1	 for[0] her[0] to[0] do[0] photos[0] for[0] frame[0] lucy[0] demands[0] that[0] syd[0] be[0] promoted[0] to[0] editor[0] and[0] assigned[0] to[0] her[0] since[0] lucy[0] fancies[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lucy lives with her current lover , a washed up german actress named greta , played with a frequently indecipherable series of mumbles by patricia clarkson . 	lucy lives with her current lover , a washed up german actress named greta , played with a frequently indecipherable series of mumbles by patricia clarkson .	4	-2	 lucy[0] lives[0] with[0] her[0] current[0] lover[3] a[0] washed[0] up[0] german[-1] actress[0] named[0] greta[0] played[0] with[0] a[0] frequently[0] indecipherable[0] series[0] of[0] mumbles[-1] by[0] patricia[0] clarkson[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the two of them and their friends wile away their time snorting and shooting up dope , usually heroin . 	the two of them and their friends wile away their time snorting and shooting up dope , usually heroin .	3	-2	 the[0] two[0] of[0] them[0] and[0] their[0] friends[1] wile[0] away[0] their[0] time[0] snorting[0] and[0] shooting[-1] up[0] dope[-1] usually[0] heroin[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this does not happen in a single episode , but becomes more commonplace than sleeping in the picture . 	this does not happen in a single episode , but becomes more commonplace than sleeping in the picture .	1	-1	 this[0] does[0] not[0] happen[0] in[0] a[0] single[0] episode[0] but[0] becomes[0] more[0] commonplace[0] than[0] sleeping[0] in[0] the[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
syd , who lives in the apartment below them , joins in on the fun and becomes a member of the zombie club . 	syd , who lives in the apartment below them , joins in on the fun and becomes a member of the zombie club .	2	-1	 syd[0] who[0] lives[0] in[0] the[0] apartment[0] below[0] them[0] joins[0] in[0] on[0] the[0] fun[1] and[0] becomes[0] a[0] member[0] of[0] the[0] zombie[0] club[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lucy seems pretty happy with her life of drugs , which apparently is funded by her mother . 	lucy seems pretty happy with her life of drugs , which apparently is funded by her mother .	3	-1	 lucy[0] seems[0] pretty[2] happy[1] with[0] her[0] life[0] of[0] drugs[0] which[0] apparently[0] is[0] funded[0] by[0] her[0] mother[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
lucy quit working professionally 10 years ago since she thought she was being " pigeonholed , " and , since her mother has money , we can only assume that that's how lucy supports her habit and procures her living expenses . 	lucy quit working professionally 10 years ago since she thought she was being " pigeonholed , " and , since her mother has money , we can only assume that that's how lucy supports her habit and procures her living expenses .	2	-2	 lucy[0] quit[-1] working[0] professionally[0] 10[0] years[0] ago[0] since[0] she[0] thought[0] she[0] was[0] being[0] pigeonholed[0] and[0] since[0] her[0] mother[0] has[0] money[0] we[0] can[0] only[0] assume[0] that[0] that's[0] how[0] lucy[0] supports[1] her[0] habit[0] and[0] procures[0] her[0] living[0] expenses[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a typical scene has the editors arguing about whether a potential photographer's work is transcendental or merely classical . 	a typical scene has the editors arguing about whether a potential photographer's work is transcendental or merely classical .	1	-2	 a[0] typical[0] scene[0] has[0] the[0] editors[0] arguing[-1] about[0] whether[0] a[0] potential[0] photographer's[0] work[0] is[0] transcendental[0] or[0] merely[0] classical[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that no one has a clue as to the dogma they are spouting becomes obvious but not particularly funny . 	that no one has a clue as to the dogma they are spouting becomes obvious but not particularly funny .	1	-2	 that[0] no[0] one[0] has[0] a[0] clue[0] as[0] to[0] the[0] dogma[0] they[0] are[0] spouting[0] becomes[0] obvious[0] but[0] not[0] particularly[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
