the most popular trend of the last couple of years has been the twist ending . 	Translation	Positive	Negative	EmotionRationale
watching one of these movies , everything seems to make sense until suddenly you are blown away by an unexpected surprise . 	watching one of these movies , everything seems to make sense until suddenly you are blown away by an unexpected surprise .	1	-1	 watching[0] one[0] of[0] these[0] movies[0] everything[0] seems[0] to[0] make[0] sense[0] until[0] suddenly[0] you[0] are[0] blown[0] away[0] by[0] an[0] unexpected[0] surprise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the film ends , there is a moment of confusion , then recollection , then some more confusion , then possibly a second viewing for clarification . 	when the film ends , there is a moment of confusion , then recollection , then some more confusion , then possibly a second viewing for clarification .	1	-2	 when[0] the[0] film[0] ends[0] there[0] is[0] a[0] moment[0] of[0] confusion[-1] then[0] recollection[0] then[0] some[0] more[0] confusion[-1] then[0] possibly[0] a[0] second[0] viewing[0] for[0] clarification[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a description of an ideal twist that perfects everything it sets out to do and more . 	this is a description of an ideal twist that perfects everything it sets out to do and more .	2	-1	 this[0] is[0] a[0] description[0] of[0] an[0] ideal[0] twist[0] that[0] perfects[1] everything[0] it[0] sets[0] out[0] to[0] do[0] and[0] more[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
good surprises make movies fun to watch . 	good surprises make movies fun to watch .	2	-1	 good[1] surprises[0] make[0] movies[0] fun[1] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then there are the bad twists . 	then there are the bad twists .	1	-2	 then[0] there[0] are[0] the[0] bad[-1] twists[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you either know what is going to happen ten minutes into the movie ( i'm talking about you reindeer games ) or you did not guess the ending because it is so outrageously stupid . 	you either know what is going to happen ten minutes into the movie ( i'm talking about you reindeer games ) or you did not guess the ending because it is so outrageously stupid .	1	-3	 you[0] either[0] know[0] what[0] is[0] going[0] to[0] happen[0] ten[0] minutes[0] into[0] the[0] movie[0] i'm[0] talking[0] about[0] you[0] reindeer[0] games[0] or[0] you[0] did[0] not[0] guess[0] the[0] ending[0] because[0] it[0] is[0] so[0] outrageously[-2] stupid[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
screwed perfectly suits the latter description . 	screwed perfectly suits the latter description .	2	-1	 screwed[0] perfectly[1] suits[0] the[0] latter[0] description[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what starts out as a dumb guilty pleasure which should be fun to mock with a group of friends ends with a complex finale with way too much going on . 	what starts out as a dumb guilty pleasure which should be fun to mock with a group of friends ends with a complex finale with way too much going on .	3	-4	 what[0] starts[0] out[0] as[0] a[0] dumb[-1] guilty[-3] pleasure[2] which[0] should[0] be[0] fun[1] to[0] mock[-2] with[0] a[0] group[0] of[0] friends[1] ends[0] with[0] a[0] complex[0] finale[0] with[0] way[0] too[0] much[0] going[0] on[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
by the writers of man on the moon and the people vs . 	by the writers of man on the moon and the people vs .	1	-1	 by[0] the[0] writers[0] of[0] man[0] on[0] the[0] moon[0] and[0] the[0] people[0] vs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
larry flynt , scott alexander and larry karaszewski leave milos forman behind and take a stab at film directing . 	larry flynt , scot alexander and larry karaszewski leave milos forman behind and take a stab at film directing .	1	-2	 larry[0] flynt[0] scott/scot[0] alexander[0] and[0] larry[0] karaszewski[0] leave[0] milos[0] forman[0] behind[0] and[0] take[0] a[0] stab[-1] at[0] film[0] directing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
whoops . 	whoops .	1	-1	 whoops[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
screwed is an inane christmas carol gone berserk with few genuine laughs and many acting embarrassments . 	screwed is an inane christmas carol gone berserk with few genuine laughs and many acting embarrassments .	2	-3	 screwed[0] is[0] an[0] inane[-1] christmas[0] carol[0] gone[0] berserk[-1] with[0] few[0] genuine[0] laughs[1] and[0] many[0] acting[0] embarrassments[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
norm macdonald stars as willard filmore , a hard working chauffeur who just wants a little respect from his rich , old , insidious boss , miss crock ( elaine stritch ) . 	norm macdonald stars as willard filmore , a hard working chauffeur who just wants a little respect from his rich , old , insidious boss , miss crock ( elaine stritch ) .	3	-3	 norm[0] macdonald[0] stars[0] as[0] willard[0] filmore[0] a[0] hard[0] working[0] chauffeur[0] who[0] just[0] wants[0] a[0] little[0] respect[2] from[0] his[0] rich[0] old[0] insidious[-2] boss[0] miss[-1] crock[0] elaine[0] stritch[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
when he overhears her plans to fire him on christmas day , willard is convinced by his best friend rusty ( dave chapelle ) to kidnap crock's beloved dog and hold it for a ransom of one million dollars . 	when he overhears her plans to fire him on christmas day , willard is convinced by his best friend rusty ( dave chapelle ) to kidnap crock's beloved dog and hold it for a ransom of one million dollars .	3	-2	 when[0] he[0] overhears[0] her[0] plans[0] to[0] fire[0] him[0] on[0] christmas[0] day[0] willard[0] is[0] convinced[0] by[0] his[0] best[1] friend[1] rusty[-1] dave[0] chapelle[0] to[0] kidnap[-1] crock's[0] beloved[2] dog[0] and[0] hold[0] it[0] for[0] a[0] ransom[0] of[0] one[0] million[0] dollars[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
too excited to pay any attention , the hapless losers' plan goes awry when the dog escapes and returns home . 	too excited to pay any attention , the hapless losers' plan goes awry when the dog escapes and returns home .	3	-3	 too[0] excited[2] to[0] pay[0] any[0] attention[0] the[0] hapless[-1] losers'[-2] plan[0] goes[0] awry[0] when[0] the[0] dog[0] escapes[0] and[0] returns[0] home[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
now crock thinks willard has been kidnapped and the two friends , realizing they can make even more money , decide to stage the fake kidnapping . 	now crock thinks willard has been kidnapped and the two friends , realizing they can make even more money , decide to stage the fake kidnapping .	2	-2	 now[0] crock[0] thinks[0] willard[0] has[0] been[0] kidnapped[0] and[0] the[0] two[0] friends[1] realizing[0] they[0] can[0] make[0] even[0] more[0] money[0] decide[0] to[0] stage[0] the[0] fake[-1] kidnapping[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course , everything that could go wrong does . 	of course , everything that could go wrong does .	1	-2	 of[0] course[0] everything[0] that[0] could[0] go[0] wrong[-1] does[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first forty-five minutes of screwed is harmless entertainment - a guilty pleasure that should be enjoyably bad . 	the first forty-five minutes of screwed is harmless entertainment - a guilty pleasure that should be enjoyably bad .	3	-4	 the[0] first[0] forty[0] five[0] minutes[0] of[0] screwed[0] is[0] harmless[1] entertainment[0] a[0] guilty[-3] pleasure[2] that[0] should[0] be[0] enjoyably[2] bad[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but the convoluted script eventually builds into a disaster that is impossible to bear . 	but the convoluted script eventually builds into a disaster that is impossible to bear .	1	-2	 but[0] the[0] convoluted[0] script[0] eventually[0] builds[0] into[0] a[0] disaster[-1] that[0] is[0] impossible[0] to[0] bear[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the more idiotic these characters get , the more reckless the script becomes . 	the more idiotic these characters get , the more reckless the script becomes .	1	-3	 the[0] more[0] idiotic[-2] these[0] characters[0] get[0] the[0] more[0] reckless[-1] the[0] script[0] becomes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at one point , i wanted to get out of my seat and yell at these characters : " no , you idiot ! " 	at one point , i wanted to get out of my seat and yell at these characters : " no , you idiot !<br> "	1	-3	 at[0] one[0] point[0] i[0] wanted[0] to[0] get[0] out[0] of[0] my[0] seat[0] and[0] yell[0] at[0] these[0] characters[0] no[0] you[0] idiot[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i'm not just talking about willard and rusty , who were extremely annoying , i'm also talking about the cops in this film . 	i'm not just talking about willard and rusty , who were extremely annoying , i'm also talking about the cops in this film .	1	-5	 i'm[0] not[0] just[0] talking[0] about[0] willard[0] and[0] rusty[-1] who[0] were[0] extremely[0] annoying[-2][-2 LastWordBoosterStrength] i'm[0] also[0] talking[0] about[0] the[0] cops[0] in[0] this[0] film[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
a monkey could have solved this case within an hour but these guys ( headed by murder one's daniel benzali ) were just too clueless to forgive . 	a monkey could have solved this case within an hour but these guys ( headed by murder one's daniel benzali ) were just too clueless to forgive .	2	-4	 a[0] monkey[0] could[0] have[0] solved[0] this[0] case[0] within[0] an[0] hour[0] but[0] these[0] guys[0] headed[0] by[0] murder[-3] one's[0] daniel[0] benzali[0] were[0] just[0] too[0] clueless[0] to[0] forgive[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
they give real cops bad names . 	they give real cops bad names .	1	-2	 they[0] give[0] real[0] cops[0] bad[-1] names[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also poor danny devito apparently does not know how to turn down a role these days . 	also poor danny devito apparently does not know how to turn down a role these days .	1	-2	 also[0] poor[-1] danny[0] devito[0] apparently[0] does[0] not[0] know[0] how[0] to[0] turn[0] down[0] a[0] role[0] these[0] days[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
looking almost identical to his penguin in batman : returns , every time he appeared on the screen i had to shake my head in disbelief . 	looking almost identical to his penguin in batman : returns , every time he appeared on the screen i had to shake my head in disbelief .	1	-2	 looking[0] almost[0] identical[0] to[0] his[0] penguin[0] in[0] batman[0] returns[0] every[0] time[0] he[0] appeared[0] on[0] the[0] screen[0] i[0] had[0] to[0] shake[-1] my[0] head[0] in[0] disbelief[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he just didn't belong in this movie . 	he just didn't belong in this movie .	1	-1	 he[0] just[0] didn't[0] belong[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
macdonald and chapelle are veterans at these kinds of movies but devito made the film much worse than it already was , gross out humor is certainly not his forte . 	macdonald and chapelle are veterans at these kinds of movies but devito made the film much worse than it already was , gross out humor is certainly not his forte .	3	-3	 macdonald[0] and[0] chapelle[0] are[0] veterans[0] at[0] these[0] kinds[0] of[0] movies[0] but[0] devito[0] made[0] the[0] film[0] much[0] worse[-2] than[0] it[0] already[0] was[0] gross[-1] out[0] humor[2] is[0] certainly[0] not[0] his[0] forte[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
if you're a fan of norm macdonald's other chaotic comedy , dirty work , you might actually love this near-sequel . 	if you're a fan of norm macdonald's other chaotic comedy , dirty work , you might actually love this near-sequel .	3	-2	 if[0] you're[0] a[0] fan[0] of[0] norm[0] macdonald's[0] other[0] chaotic[-1] comedy[0] dirty[-1] work[0] you[0] might[0] actually[0] love[2] this[0] near[0] sequel[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
otherwise , don't get screwed out of your hard-earned money . 	otherwise , don't get screwed out of your hard-earned money .	1	-1	 otherwise[0] don't[0] get[0] screwed[0] out[0] of[0] your[0] hard[0] earned[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
