 " there's nothing new under the sun " is a phrase often used when the speaker actually means " let's find something to copy . " 	Translation	Positive	Negative	EmotionRationale
of course there are very few completely original ideas . 	of course there are very few completely original ideas .	1	-1	 of[0] course[0] there[0] are[0] very[0] few[0] completely[0] original[0] ideas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even earth-shattering concepts are built upon the vast body of human experience . 	even earth-shattering concepts are built upon the vast body of human experience .	1	-1	 even[0] earth[0] shattering[0] concepts[0] are[0] built[0] upon[0] the[0] vast[0] body[0] of[0] human[0] experience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is , after all , no need to re-invent the wheel time after time . 	there is , after all , no need to re-invent the wheel time after time .	1	-1	 there[0] is[0] after[0] all[0] no[0] need[0] to[0] re[0] invent[0] the[0] wheel[0] time[0] after[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
recently it seems that hollywood doesn't feel the need to even re-write the script . 	recently it seems that hollywood doesn't feel the need to even re-write the script .	1	-1	 recently[0] it[0] seems[0] that[0] hollywood[0] doesn't[0] feel[0] the[0] need[0] to[0] even[0] re[0] write[0] the[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my understanding of the word " sequel " is a continuation of the story . 	my understanding of the word " sequel " is a continuation of the story .	1	-1	 my[0] understanding[0] of[0] the[0] word[0] sequel[0] is[0] a[0] continuation[0] of[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film industry has defined the word to mean reshooting the original with minor changes . 	the film industry has defined the word to mean reshooting the original with minor changes .	1	-1	 the[0] film[0] industry[0] has[0] defined[0] the[0] word[0] to[0] mean[0] reshooting[0] the[0] original[0] with[0] minor[0] changes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
have an overwhelming desire to see an inferior version of brian depalma's adaptation of the steven king novel ? 	have an overwhelming desire to see an inferior version of brian depalma's adaptation of the steven king novel ?	1	-3	 have[0] an[0] overwhelming[-2] desire[0] to[0] see[0] an[0] inferior[-1] version[0] of[0] brian[0] depalma's[0] adaptation[0] of[0] the[0] steven[0] king[0] novel[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is your dream come true . 	this is your dream come true .	2	-1	 this[0] is[0] your[0] dream[0] come[0] true[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rachel ( emily bergl ) , a high school outcast , is beginning to notice weird things happening around her . 	rachel ( emily bergl ) , a high school outcast , is beginning to notice weird things happening around her .	1	-2	 rachel[0] emily[0] bergl[0] a[0] high[0] school[0] outcast[-1] is[0] beginning[0] to[0] notice[0] weird[-1] things[0] happening[0] around[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
doors slam shut by themselves . 	doors slam shut by themselves .	1	-2	 doors[0] slam[-1] shut[0] by[0] themselves[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
glass globes blow up . 	glass globes blow up .	1	-1	 glass[0] globes[0] blow[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her mother has severe mental problems and her father is absent . 	her mother has severe mental problems and her father is absent .	1	-2	 her[0] mother[0] has[0] severe[-1] mental[0] problems[-1] and[0] her[0] father[0] is[0] absent[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a popular boy unexpectedly asks her out . 	a popular boy unexpectedly asks her out .	1	-2	 a[0] popular[0] boy[0] unexpectedly[-1] asks[0] her[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the in-crowd conspires to embarrass her at a public event . 	the in-crowd conspires to embarrass her at a public event .	1	-3	 the[0] in[0] crowd[0] conspires[-1] to[0] embarrass[-2] her[0] at[0] a[0] public[0] event[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
any of this sound familiar ? 	any of this sound familiar ?	1	-1	 any[0] of[0] this[0] sound[0] familiar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once the audience catches on that this is the same story as " carrie " , there's little to do but wait for the inevitable ending . 	once the audience catches on that this is the same story as " carrie " , there's little to do but wait for the inevitable ending .	1	-1	 once[0] the[0] audience[0] catches[0] on[0] that[0] this[0] is[0] the[0] same[0] story[0] as[0] carrie[0] there's[0] little[0] to[0] do[0] but[0] wait[0] for[0] the[0] inevitable[0] ending[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the effects are a bit better this time around , but the film doesn't work nearly as well . 	the effects are a bit better this time around , but the film doesn't work nearly as well .	1	-1	 the[0] effects[0] are[0] a[0] bit[0] better[0] this[0] time[0] around[0] but[0] the[0] film[0] doesn't[0] work[0] nearly[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are a couple of minor plot differences . 	there are a couple of minor plot differences .	1	-1	 there[0] are[0] a[0] couple[0] of[0] minor[0] plot[0] differences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rachel lives with foster parents because her mother is institutionalized . 	rachel lives with foster parents because her mother is institutionalized .	1	-1	 rachel[0] lives[0] with[0] foster[0] parents[0] because[0] her[0] mother[0] is[0] institutionalized[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
