an experience like baby geniuses can have certain effects on an average moviegoer . 	Translation	Positive	Negative	EmotionRationale
you may be scarred for life after seeing this petrified piece of garbage , which is so disarmingly horrible that it may cause you to ponder it's hollywood existence . 	you may be scarred for life after seeing this petrified piece of garbage , which is so disarmingly horrible that it may cause you to ponder it's hollywood existence .	1	-4	 you[0] may[0] be[0] scarred[0] for[0] life[0] after[0] seeing[0] this[0] petrified[-3] piece[0] of[0] garbage[-2] which[0] is[0] so[0] disarmingly[0] horrible[-3] that[0] it[0] may[0] cause[0] you[0] to[0] ponder[0] it's[0] hollywood[0] existence[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when i think of the screenwriters behind this film , i picture a room full of monkeys . 	when i think of the screenwriters behind this film , i picture a room full of monkeys .	1	-1	 when[0] i[0] think[0] of[0] the[0] screenwriters[0] behind[0] this[0] film[0] i[0] picture[0] a[0] room[0] full[0] of[0] monkeys[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the monkeys are pounding on their typewriters while scratching themselves . 	the monkeys are pounding on their typewriters while scratching themselves .	1	-1	 the[0] monkeys[0] are[0] pounding[0] on[0] their[0] typewriters[0] while[0] scratching[0] themselves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all of the monkeys combine their efforts , hop in a cab and take the finished product downtown to director bob clark's office . 	all of the monkeys combine their efforts , hop in a cab and take the finished product downtown to director bob clark's office .	1	-1	 all[0] of[0] the[0] monkeys[0] combine[0] their[0] efforts[0] hop[0] in[0] a[0] cab[0] and[0] take[0] the[0] finished[0] product[0] downtown[0] to[0] director[0] bob[0] clark's[0] office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the designated monkey explains the plot by jumping up and down on clark's desk while flailing his arms and shrieking . 	the designated monkey explains the plot by jumping up and down on clark's desk while flailing his arms and shrieking .	1	-2	 the[0] designated[0] monkey[0] explains[0] the[0] plot[0] by[0] jumping[0] up[0] and[0] down[0] on[0] clark's[0] desk[0] while[0] flailing[0] his[0] arms[0] and[0] shrieking[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the director appears to be deep in thought , until he slams his fist down on the desktop and exclaims  i love it ! ! ! ' 	the director appears to be deep in thought , until he slams his fist down on the desktop and exclaims  i love it !<br> !<br> !<br> '	3	-2	 the[0] director[0] appears[0] to[0] be[0] deep[0] in[0] thought[0] until[0] he[0] slams[-1] his[0] fist[-1] down[0] on[0] the[0] desktop[0] and[0] exclaims[0] i[0] love[2] it[0] [[Sentence=-2,3=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
the writing behind this project is embarrassing . 	the writing behind this project is embarrassing .	1	-3	 the[0] writing[0] behind[0] this[0] project[0] is[0] embarrassing[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for your amusement , i will explain the plot . 	for your amusement , i will explain the plot .	2	-1	 for[0] your[0] amusement[1] i[0] will[0] explain[0] the[0] plot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dr . kinder ( kathleen turner ) and dr . heep ( christopher lloyd ) are two of the cold-hearted executives at the baby geniuses institute , where peculiar studies are going on . 	dr .<br> kinder ( kathleen turner ) and dr .<br> heep ( christopher lloyd ) are two of the cold-hearted executives at the baby geniuses institute , where peculiar studies are going on .	2	-2	 dr[0] [[Sentence=-1,1=word max, 1-5]] kinder[0] kathleen[0] turner[0] and[0] dr[0] [[Sentence=-1,1=word max, 1-5]] heep[0] christopher[0] lloyd[0] are[0] two[0] of[0] the[0] cold[-1] hearted[0] executives[0] at[0] the[0] baby[1] geniuses[0] institute[0] where[0] peculiar[0] studies[0] are[0] going[0] on[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as the story goes , there is an ancient myth explaining that babies ( ages 2 and under ) know all the secrets of the world from previous life experiences . 	as the story goes , there is an ancient myth explaining that babies ( ages 2 and under ) know all the secrets of the world from previous life experiences .	2	-1	 as[0] the[0] story[0] goes[0] there[0] is[0] an[0] ancient[0] myth[0] explaining[0] that[0] babies[1] ages[0] 2[0] and[0] under[0] know[0] all[0] the[0] secrets[0] of[0] the[0] world[0] from[0] previous[0] life[0] experiences[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when they move past this phase , they become like any other drooling toddler . 	when they move past this phase , they become like any other drooling toddler .	2	-1	 when[0] they[0] move[0] past[0] this[0] phase[0] they[0] become[0] like[1] any[0] other[0] drooling[0] toddler[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kinder and heep want to unlock the secrets using their test babies , namely little sylvester ( sly for short ) , who can break in or out of any given situation so efficiently that he would be right at home on the mission : impossible team . 	kinder and heep want to unlock the secrets using their test babies , namely little sylvester ( sly for short ) , who can break in or out of any given situation so efficiently that he would be right at home on the mission : impossible team .	2	-2	 kinder[0] and[0] heep[0] want[0] to[0] unlock[0] the[0] secrets[0] using[0] their[0] test[0] babies[1] namely[0] little[0] sylvester[0] sly[-1] for[0] short[0] who[0] can[0] break[0] in[0] or[0] out[0] of[0] any[0] given[0] situation[0] so[0] efficiently[0] that[0] he[0] would[0] be[0] right[0] at[0] home[0] on[0] the[0] mission[0] impossible[0] team[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is so much crap derived from this premise , despite the fact it's virtually identical to the plot in look who's talking ! 	there is so much crap derived from this premise , despite the fact it's virtually identical to the plot in look who's talking !	1	-3	 there[0] is[0] so[0] much[0] crap[-2] derived[0] from[0] this[0] premise[0] despite[0] the[0] fact[0] it's[0] virtually[0] identical[0] to[0] the[0] plot[0] in[0] look[0] who's[0] talking[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( a far superior film in any league ) . 	 ( a far superior film in any league ) .	3	-1	 a[0] far[0] superior[2] film[0] in[0] any[0] league[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you will be able to determine the quality of the film by examining the opening scene . 	you will be able to determine the quality of the film by examining the opening scene .	1	-1	 you[0] will[0] be[0] able[0] to[0] determine[0] the[0] quality[0] of[0] the[0] film[0] by[0] examining[0] the[0] opening[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sylvester has broken out and managed to elude several security guards with his amazing intellect and kung-fu tactics . 	sylvester has broken out and managed to elude several security guards with his amazing intellect and kung-fu tactics .	3	-2	 sylvester[0] has[0] broken[-1] out[0] and[0] managed[0] to[0] elude[0] several[0] security[1] guards[0] with[0] his[0] amazing[2] intellect[0] and[0] kung[0] fu[0] tactics[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
question : it's obvious the babies are super-smart , but why are they able to fight like jackie chan ? ? 	question : it's obvious the babies are super-smart , but why are they able to fight like jackie chan ?<br> ?	3	-3	 question[0] it's[0] obvious[0] the[0] babies[1] are[0] super[2] smart[1] but[0] why[0] are[0] they[0] able[0] to[0] fight[-2] like[1] jackie[0] chan[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
