take two old and dying men , a lifetime of regrets , a house full of sins , a thoroughly despicable man , enough lies , insecurities and other character defects to keep a team of psychiatrists gainfully employed , then add a inexplicable meteorological and amphibian-based phenomenon and you will have summed up magnolia , the newest film from paul thomas anderson ( boogie nights ) . 	Translation	Positive	Negative	EmotionRationale
the movie tells multiple stories , weaving them together , or overlapping them during the course of its three hour running time . 	the movie tells multiple stories , weaving them together , or overlapping them during the course of its three hour running time .	1	-1	 the[0] movie[0] tells[0] multiple[0] stories[0] weaving[0] them[0] together[0] or[0] overlapping[0] them[0] during[0] the[0] course[0] of[0] its[0] three[0] hour[0] running[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
would that the stories were worth the telling . 	would that the stories were worth the telling .	1	-1	 would[0] that[0] the[0] stories[0] were[0] worth[0] the[0] telling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
earl partridge ( jason robards , a thousand acres ) is dying of cancer . 	earl partridge ( jason robards , a thousand acres ) is dying of cancer .	1	-4	 earl[0] partridge[0] jason[0] robards[0] a[0] thousand[0] acres[0] is[0] dying[-1] of[0] cancer[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
bedridden , in much pain , it is obvious that his time is growing short . 	bedridden , in much pain , it is obvious that his time is growing short .	1	-4	 bedridden[0] in[0] much[0] pain[-3] it[0] is[0] obvious[0] that[0] his[0] time[0] is[0] growing[0] short[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his much younger wife played by julianne moore ( an ideal husband ) is surprised to find herself struggling with his impending death . 	his much younger wife played by julianne more ( an ideal husband ) is surprised to find herself struggling with his impending death .	1	-3	 his[0] much[0] younger[0] wife[0] played[0] by[0] julianne[0] moore/more[0] an[0] ideal[0] husband[0] is[0] surprised[0] to[0] find[0] herself[0] struggling[-1] with[0] his[0] impending[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
having married for money , she discovers that she has actually fallen in love with the old guy and regrets having cheated and lied . 	having married for money , she discovers that she has actually fallen in love with the old guy and regrets having cheated and lied .	3	-3	 having[0] married[0] for[0] money[0] she[0] discovers[0] that[0] she[0] has[0] actually[0] fallen[0] in[0] love[2] with[0] the[0] old[0] guy[0] and[0] regrets[-1] having[0] cheated[-2] and[0] lied[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
earl regrets having cheated on his first wife and estranging himself from his only son ( tom cruise , eyes wide shut ) , now a misogynist self-help guru who teaches men how to " seduce and destroy , " his sexual and vulgar perspective on male/female relationships is so over-the-top as to be utterly unbelievable . 	earl regrets having cheated on his first wife and estranging himself from his only son ( tom cruise , eyes wide shut ) , now a misogynist self-help guru who teaches men how to " seduce and destroy , " his sexual and vulgar perspective on male/female relationships is so over-the-top as to be utterly unbelievable .	1	-3	 earl[0] regrets[-1] having[0] cheated[-2] on[0] his[0] first[0] wife[0] and[0] estranging[0] himself[0] from[0] his[0] only[0] son[0] tom[0] cruise[0] eyes[0] wide[0] shut[0] now[0] a[0] misogynist[0] self[0] help[0] guru[0] who[0] teaches[0] men[0] how[0] to[0] seduce[0] and[0] destroy[-2] his[0] sexual[0] and[0] vulgar[-1] perspective[0] on[0] male/female[0] relationships[0] is[0] so[0] over[0] the[0] top[0] as[0] to[0] be[0] utterly[0] unbelievable[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meanwhile , jimmy gator ( philip baker hall , the insider ) is also dying of cancer . 	meanwhile , jimmy gator ( philip baker hall , the insider ) is also dying of cancer .	1	-4	 meanwhile[0] jimmy[0] gator[0] philip[0] baker[0] hall[0] the[0] insider[0] is[0] also[0] dying[-1] of[0] cancer[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
not as physically incapacitated as earl , jimmy is still able to perform his duties as the lovable host of a long-running quiz show which pits adults against children . 	not as physically incapacitated as earl , jimmy is still able to perform his duties as the lovable host of a long-running quiz show which pits adults against children .	1	-2	 not[0] as[0] physically[0] incapacitated[0] as[0] earl[0] jimmy[0] is[0] still[0] able[0] to[0] perform[0] his[0] duties[0] as[0] the[0] lovable[0] host[0] of[0] a[0] long[0] running[0] quiz[0] show[0] which[0] pits[0] adults[0] against[-1] children[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the current whiz-quiz-kid is stanley spector ( jeremy blackman in his film debut ) who is tired of the pressure of performing and is willing to call it quits . 	the current whiz-quiz-kid is stanley spector ( jeremy blackman in his film debut ) who is tired of the pressure of performing and is willing to call it quits .	1	-2	 the[0] current[0] whiz[0] quiz[0] kid[0] is[0] stanley[0] spector[0] jeremy[0] blackman[0] in[0] his[0] film[0] debut[0] who[0] is[0] tired[-1] of[0] the[0] pressure[-1] of[0] performing[0] and[0] is[0] willing[0] to[0] call[0] it[0] quits[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the other hand , quiz kid donnie smith ( william macy , mystery men ) would like nothing more than to return to the spotlight when he was a " somebody . " 	on the other hand , quiz kid donnie smith ( william macy , mystery men ) would like nothing more than to return to the spotlight when he was a " somebody .<br> "	1	-1	 on[0] the[0] other[0] hand[0] quiz[0] kid[0] donnie[0] smith[0] william[0] macy[0] mystery[0] men[0] would[0] like[1][-1 LastWordBoosterStrength] nothing[0] more[0] than[0] to[0] return[0] to[0] the[0] spotlight[0] when[0] he[0] was[0] a[0] somebody[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his pathetic life is souring as he can no longer capitalize on his brief 15 minutes of fame which stanley is all too eager to relinquish . 	his pathetic life is souring as he can no longer capitalize on his brief 15 minutes of fame which stanley is all too eager to relinquish .	1	-3	 his[0] pathetic[-2] life[0] is[0] souring[-1] as[0] he[0] can[0] no[0] longer[0] capitalize[0] on[0] his[0] brief[0] 15[0] minutes[0] of[0] fame[0] which[0] stanley[0] is[0] all[0] too[0] eager[0] to[0] relinquish[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jimmy has his own family crisis as his drug-addict daughter ( melora walters , boogie nights ) refuses to have anything to do with him for reasons which are not disclosed to us until the end of the film . 	jimmy has his own family crisis as his drug-addict daughter ( melora walters , boogie nights ) refuses to have anything to do with him for reasons which are not disclosed to us until the end of the film .	1	-3	 jimmy[0] has[0] his[0] own[0] family[0] crisis[-2] as[0] his[0] drug[0] addict[-1] daughter[0] melora[0] walters[0] boogie[0] nights[0] refuses[-1] to[0] have[0] anything[0] to[0] do[0] with[0] him[0] for[0] reasons[0] which[0] are[0] not[0] disclosed[0] to[0] us[0] until[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
grabbing at one last attempt at happiness she reaches out to a softhearted cop ( john c . reilly , never been kissed ) even as she tries to push herself away from him because she deems herself not worthy of his affection . 	grabbing at one last attempt at happiness she reaches out to a softhearted cop ( john c .<br> reilly , never been kissed ) even as she tries to push herself away from him because she deems herself not worthy of his affection .	3	-3	 grabbing[-1] at[0] one[0] last[0] attempt[0] at[0] happiness[2] she[0] reaches[0] out[0] to[0] a[0] softhearted[0] cop[0] john[0] c[0] [[Sentence=-2,3=word max, 1-5]] reilly[0] never[0] been[0] kissed[2][NegatedDueToPreviousWord] even[0] as[0] she[0] tries[0] to[0] push[0] herself[0] away[0] from[0] him[0] because[0] she[0] deems[0] herself[0] not[0] worthy[0] of[0] his[0] affection[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this dysfunctional group carries on for what seems to be an interminable two-thirds of the movie . 	this dysfunctional group carries on for what seems to be an interminable two-thirds of the movie .	1	-1	 this[0] dysfunctional[0] group[0] carries[0] on[0] for[0] what[0] seems[0] to[0] be[0] an[0] interminable[0] two[0] thirds[0] of[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
