movies based on video games , such as street fighter or mario bros . , have never generated much interest at the box office . 	Translation	Positive	Negative	EmotionRationale
but when the first mortal kombat movie came out in 1995 , it did surprisingly well . 	but when the first mortal kombat movie came out in 1995 , it did surprisingly well .	1	-1	 but[0] when[0] the[0] first[0] mortal[0] kombat[0] movie[0] came[0] out[0] in[0] 1995[0] it[0] did[0] surprisingly[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with a simple story , a pulsating soundtrack , and lots of awesomely choreographed fight scenes , the movie moved quickly and displayed lots of energy . 	with a simple story , a pulsating soundtrack , and lots of awesomely choreographed fight scenes , the movie moved quickly and displayed lots of energy .	3	-4	 with[0] a[0] simple[0] story[0] a[0] pulsating[0] soundtrack[0] and[0] lots[0] of[0] awesomely[2] choreographed[-2] fight[-2][-1 MultiplePositiveWords] scenes[0] the[0] movie[0] moved[0] quickly[0] and[0] displayed[0] lots[0] of[0] energy[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it got my vote for 'the movie where i expected the least and got the most' . 	it got my vote for 'the movie where i expected the least and got the most' .	1	-1	 it[0] got[0] my[0] vote[0] for[0] 'the[0] movie[0] where[0] i[0] expected[0] the[0] least[0] and[0] got[0] the[0] most'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , if you haven't had the opportunity , i would definitely recommend that you see it on video . 	and , if you haven't had the opportunity , i would definitely recommend that you see it on video .	1	-1	 and[0] if[0] you[0] haven't[0] had[0] the[0] opportunity[0] i[0] would[0] definitely[0] recommend[0] that[0] you[0] see[0] it[0] on[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the world of mortal kombat , based on the popular arcade game , dark forces from outworld try to infiltrate earth's realm with the ulimate goal of total conquest and the destruction of humanity . 	in the world of mortal kombat , based on the popular arcade game , dark forces from outworld try to infiltrate earth's realm with the ulimate goal of total conquest and the destruction of humanity .	1	-2	 in[0] the[0] world[0] of[0] mortal[0] kombat[0] based[0] on[0] the[0] popular[0] arcade[0] game[0] dark[0] forces[0] from[0] outworld[0] try[0] to[0] infiltrate[-1] earth's[0] realm[0] with[0] the[0] ulimate[0] goal[0] of[0] total[0] conquest[0] and[0] the[0] destruction[-1] of[0] humanity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the mortal kombat refers to a competition , fought by human mortals against outworld's minions , which if won , will guarantee earth's safety for another generation . 	the mortal kombat refers to a competition , fought by human mortals against outworld's minions , which if won , will guarantee earth's safety for another generation .	2	-3	 the[0] mortal[0] kombat[0] refers[0] to[0] a[0] competition[0] fought[-2] by[0] human[0] mortals[0] against[-1] outworld's[0] minions[0] which[0] if[0] won[0] will[0] guarantee[0] earth's[0] safety[1] for[0] another[0] generation[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
mk2 picks up almost immediately after the humans return victoriously from competition . 	mk2 picks up almost immediately after the humans return victoriously from competition .	1	-1	 mk2[0] picks[0] up[0] almost[0] immediately[0] after[0] the[0] humans[0] return[0] victoriously[0] from[0] competition[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite their victory , however , a gateway has somehow opened , and outworld continues in its quest to conquer earth . 	despite their victory , however , a gateway has somehow opened , and outworld continues in its quest to conquer earth .	1	-1	 despite[0] their[0] victory[0] however[0] a[0] gateway[0] has[0] somehow[0] opened[0] and[0] outworld[0] continues[0] in[0] its[0] quest[0] to[0] conquer[0] earth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
outworld's warriors include an impressive collection of fighters , including shao kahn , mintoro ( a centaur ) , sheeva ( a four-armed ogre ) , and sindel . 	outworld's warriors include an impressive collection of fighters , including shao kahn , mintoro ( a centaur ) , sheeva ( a four-armed ogre ) , and sindel .	2	-3	 outworld's[0] warriors[0] include[0] an[0] impressive[1] collection[0] of[0] fighters[-2] including[0] shao[0] kahn[0] mintoro[0] a[0] centaur[0] sheeva[0] a[0] four[0] armed[0] ogre[0] and[0] sindel[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
earth's mortal warriors , under the leadership of the benevolent god , lord rayden , includes liu kang , princess kitana , sonya blade and jax , who must fight against outworld's forces . 	earth's mortal warriors , under the leadership of the benevolent god , lord rayden , includes liu kang , princess kitana , sonya blade and jax , who must fight against outworld's forces .	2	-3	 earth's[0] mortal[0] warriors[0] under[0] the[0] leadership[0] of[0] the[0] benevolent[1] god[0] lord[0] rayden[0] includes[0] liu[0] kang[0] princess[0] kitana[0] sonya[0] blade[0] and[0] jax[0] who[0] must[0] fight[-2] against[-1] outworld's[0] forces[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's an easy enough premise , but unfortunately ( very unfortunately ) , the writers try to do too much with the movie . 	it's an easy enough premise , but unfortunately ( very unfortunately ) , the writers try to do too much with the movie .	1	-3	 it's[0] an[0] easy[0] enough[0] premise[0] but[0] unfortunately[-1] very[0] unfortunately[-1][-1 LastWordBoosterStrength] the[0] writers[0] try[0] to[0] do[0] too[0] much[0] with[0] the[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
