 " payback , " brian helgeland's inauspicious directing debut ( coincidentally , he previously penned the award-winning screenplay for 1997's " l . a . confidential " ) , is a wildly uneven and thoroughly unpleasant revenge thriller that takes one idea---a movie with non-stop violence , death , and villains---and runs with it , or should i say , barely manages to crawl away with it . 	Translation	Positive	Negative	EmotionRationale
mel gibson , in yet another disappointing picture ( " conspiracy theory " and " lethal weapon 4 , " anyone ? ) , stars as the reprehensible villain/hero , porter , a man who becomes determined to get his 50% share of  140 , 000 , which he stole in a robbery , back when his partner-in-crime ( gregg henry ) and drug-addicted wife ( deborah kara unger ) double-cross him , shoot him , and leave him for dead . 	mel gibson , in yet another disappointing picture ( " conspiracy theory " and " lethal weapon 4 , " anyone ?<br> ) , stars as the reprehensible villain/hero , porter , a man who becomes determined to get his 50% share of  140 , 00 , which he stole in a robbery , back when his partner-in-crime ( gregg henry ) and drug-addicted wife ( deborah kara unger ) double-cross him , shoot him , and leave him for dead .	1	-4	 mel[0] gibson[0] in[0] yet[0] another[0] disappointing[-1] picture[0] conspiracy[-1] theory[0] and[0] lethal[0] weapon[-1] 4[0] anyone[0] [[Sentence=-2,1=word max, 1-5]] stars[0] as[0] the[0] reprehensible[-3] villain/hero[-2][-1 MultiplePositiveWords] porter[0] a[0] man[0] who[0] becomes[0] determined[0] to[0] get[0] his[0] 50%[0] share[0] of[0] 140[0] 000/00[0] which[0] he[0] stole[-1] in[0] a[0] robbery[-1] back[0] when[0] his[0] partner[0] in[0] crime[-1] gregg[0] henry[0] and[0] drug[0] addicted[-1] wife[0] deborah[0] kara[0] unger[0] double[0] cross[-1] him[0] shoot[-1] him[0] and[0] leave[0] him[0] for[0] dead[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
porter is not dead , however---not by a long shot---as he quickly rehabilitates and , along with his loyal prositute girlfriend , rosie ( maria bello ) , sets out to make everyone involved in the scam pay . 	porter is not dead , however-not by a long shot-as he quickly rehabilitates and , along with his loyal prositute girlfriend , rosie ( maria bello ) , sets out to make everyone involved in the scam pay .	3	-2	 porter[0] is[0] not[0] dead[-2][NegatedDueToPreviousWord] however[0] not[0] by[0] a[0] long[0] shot[-1] as[0] he[0] quickly[0] rehabilitates[0] and[0] along[0] with[0] his[0] loyal[1] prositute[0] girlfriend[0] rosie[0] maria[0] bello[0] sets[0] out[0] to[0] make[0] everyone[0] involved[0] in[0] the[0] scam[0] pay[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the tagline for " payback " is , " get ready to root for the bad guy , " and sure enough , this is true , as pretty much every significant character who appears is crooked in some way . 	the tagline for " payback " is , " get ready to root for the bad guy , " and sure enough , this is true , as pretty much every significant character who appears is crooked in some way .	3	-2	 the[0] tagline[0] for[0] payback[0] is[0] get[0] ready[0] to[0] root[0] for[0] the[0] bad[-1] guy[0] and[0] sure[0] enough[0] this[0] is[0] true[1] as[0] pretty[2] much[0] every[0] significant[0] character[0] who[0] appears[0] is[0] crooked[-1] in[0] some[0] way[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i wouldn't have a problem with this offbeat detail if the painfully thin story had been of any interest , but it wasn't , and therefore , i found myself having an especially laborious time investing myself into a wide array of character that have absolutely no redeeming qualities whatsoever . 	i wouldn't have a problem with this offbeat detail if the painfully thin story had been of any interest , but it wasn't , and therefore , i found myself having an especially laborious time investing myself into a wide array of character that have absolutely no redeeming qualities whatsoever .	2	-4	 i[0] wouldn't[0] have[0] a[0] problem[-1] with[0] this[0] offbeat[0] detail[0] if[0] the[0] painfully[-3] thin[0] story[0] had[0] been[0] of[0] any[0] interest[1] but[0] it[0] wasn't[0] and[0] therefore[0] i[0] found[0] myself[0] having[0] an[0] especially[0] laborious[0] time[0] investing[0] myself[0] into[0] a[0] wide[0] array[0] of[0] character[0] that[0] have[0] absolutely[0] no[0] redeeming[0] qualities[0] whatsoever[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
no attempt is made to flesh the roles into three-dimensional characters , and there are no vacant signs that anyone has any sort of humanity in them . 	no attempt is made to flesh the roles into three-dimensional characters , and there are no vacant signs that anyone has any sort of humanity in them .	1	-1	 no[0] attempt[0] is[0] made[0] to[0] flesh[0] the[0] roles[0] into[0] three[0] dimensional[0] characters[0] and[0] there[0] are[0] no[0] vacant[0] signs[0] that[0] anyone[0] has[0] any[0] sort[0] of[0] humanity[0] in[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just because the protagonist , a " bad guy , " is played by mel gibson doesn't mean i will " root for him , " and i didn't . 	just because the protagonist , a " bad guy , " is played by mel gibson doesn't mean i will " root for him , " and i didn't .	1	-2	 just[0] because[0] the[0] protagonist[0] a[0] bad[-1] guy[0] is[0] played[0] by[0] mel[0] gibson[0] doesn't[0] mean[0] i[0] will[0] root[0] for[0] him[0] and[0] i[0] didn't[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
quite the contrary , every person in the movie deserved to die a gory death ( although some of them did , anyway , just to spice up the dull proceedings ) . 	quite the contrary , every person in the movie deserved to die a gory death ( although some of them did , anyway , just to spice up the dull proceedings ) .	1	-3	 quite[0] the[0] contrary[-1] every[0] person[0] in[0] the[0] movie[0] deserved[0] to[0] die[0] a[0] gory[0] death[-2] although[0] some[0] of[0] them[0] did[0] anyway[0] just[0] to[0] spice[0] up[0] the[0] dull[-1] proceedings[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
since none of the respectable actors in " payback " actually have human beings to play , only one performance managed to stand out . 	since none of the respectable actors in " payback " actually have human beings to play , only one performance managed to stand out .	3	-1	 since[0] none[0] of[0] the[0] respectable[2] actors[0] in[0] payback[0] actually[0] have[0] human[0] beings[0] to[0] play[0] only[0] one[0] performance[0] managed[0] to[0] stand[0] out[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
lucy alexis liu ( of t . v . 's " ally mcbeal " ) , who plays a spicy s&m dominatrix , brightens up every scene she is in , and has a definite flair for comedy , something i would have liked to have seen more of , since most of the humor fell with a resounding splat . 	lucy alexis liu ( of t .<br> v .<br> 's " ally mcbeal " ) , who plays a spicy s&m dominatrix , brightens up every scene she is in , and has a definite flair for comedy , something i would have liked to have seen more of , since most of the humor fell with a resounding splat .	3	-1	 lucy[0] alexis[0] liu[0] of[0] t[0] [[Sentence=-1,1=word max, 1-5]] v[0] [[Sentence=-1,1=word max, 1-5]] 's[0] ally[0] mcbeal[0] who[0] plays[1] a[0] spicy[0] s&m[0] dominatrix[0] brightens[0] up[0] every[0] scene[0] she[0] is[0] in[0] and[0] has[0] a[0] definite[0] flair[0] for[0] comedy[0] something[0] i[0] would[0] have[0] liked[2] to[0] have[0] seen[0] more[0] of[0] since[0] most[0] of[0] the[0] humor[2] fell[0] with[0] a[0] resounding[0] splat[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
meanwhile , gibson , who is perfectly fine here , sleepwalks through a role that is not the least bit challenging . 	meanwhile , gibson , who is perfectly fine here , sleepwalks through a role that is not the least bit challenging .	3	-1	 meanwhile[0] gibson[0] who[0] is[0] perfectly[1] fine[2] here[0] sleepwalks[0] through[0] a[0] role[0] that[0] is[0] not[0] the[0] least[0] bit[0] challenging[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unger , who made an impression in 1997's " the game , " is surprisingly wasted and it is difficult to see why she took such a part since she disappears ten minutes in , and only has two purproses : ( 1 ) to get high on heroin , and ( 2 ) because she plays a key part in an early flashback . 	unger , who made an impression in 1997's " the game , " is surprisingly wasted and it is difficult to see why she took such a part since she disappears ten minutes in , and only has two purproses : ( 1 ) to get high on heroin , and ( 2 ) because she plays a key part in an early flashback .	3	-2	 unger[0] who[0] made[0] an[0] impression[0] in[0] 1997's[0] the[0] game[0] is[0] surprisingly[0] wasted[-1] and[0] it[0] is[0] difficult[-1] to[0] see[0] why[0] she[0] took[0] such[0] a[0] part[0] since[0] she[0] disappears[0] ten[0] minutes[0] in[0] and[0] only[0] has[0] two[0] purproses[0] 1[0] to[0] get[0] high[0] on[0] heroin[2] and[0] 2[0] because[0] she[0] plays[1] a[0] key[0] part[0] in[0] an[0] early[0] flashback[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
finally , kris kristofferson appears in a throwaway role during the climax , and this unnecessary plot development sticks out like a sore thumb ( tellingly , he didn't appear in the original cut of the film , but was cast when extensive reshoots took place months later ) . 	finally , kris kristofferson appears in a throwaway role during the climax , and this unnecessary plot development sticks out like a sore thumb ( tellingly , he didn't appear in the original cut of the film , but was cast when extensive reshoots took place months later ) .	2	-2	 finally[0] kris[0] kristofferson[0] appears[0] in[0] a[0] throwaway[0] role[0] during[0] the[0] climax[0] and[0] this[0] unnecessary[-1] plot[0] development[0] sticks[0] out[0] like[1] a[0] sore[-1] thumb[0] tellingly[0] he[0] didn't[0] appear[0] in[0] the[0] original[0] cut[0] of[0] the[0] film[0] but[0] was[0] cast[0] when[0] extensive[0] reshoots[0] took[0] place[0] months[0] later[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
like most action movies , the star often takes a licking but keeps on ticking . 	like most action movies , the star often takes a licking but keeps on ticking .	2	-1	 like[1] most[0] action[0] movies[0] the[0] star[0] often[0] takes[0] a[0] licking[0] but[0] keeps[0] on[0] ticking[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the course of the 102-minute running time of " payback , " porter is shot three times in the back , hit by a van , beaten up , and has his feet smashed with a sledgehammer . 	in the course of the 102-minute running time of " payback , " porter is shot three times in the back , hit by a van , beaten up , and has his feet smashed with a sledgehammer .	1	-2	 in[0] the[0] course[0] of[0] the[0] 102[0] minute[0] running[0] time[0] of[0] payback[0] porter[0] is[0] shot[-1] three[0] times[0] in[0] the[0] back[0] hit[0] by[0] a[0] van[0] beaten[0] up[0] and[0] has[0] his[0] feet[0] smashed[0] with[0] a[0] sledgehammer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and guess what ? 	and guess what ?	1	-1	 and[0] guess[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not only does he survive the whole ordeal , but he is happy-go-lucky in the penultimate sequence ( and can still walk ! ) , 	not only does he survive the whole ordeal , but he is happy-go-lucky in the penultimate sequence ( and can still walk !<br> ) ,	2	-3	 not[0] only[0] does[0] he[0] survive[0] the[0] whole[0] ordeal[-2] but[0] he[0] is[0] happy[1] go[0] lucky[1] in[0] the[0] penultimate[0] sequence[0] and[0] can[0] still[0] walk[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
even though he looks like he had recently substituted for a punching bag . 	even though he looks like he had recently substituted for a punching bag .	2	-2	 even[0] though[0] he[0] looks[0] like[1] he[0] had[0] recently[0] substituted[0] for[0] a[0] punching[-1] bag[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " payback " is not , in any way , an entertaining film , even though i am sure the makers hoped it would be with all the graphic carnage that goes on , but take away that violence and what you are basically left with is a blank screen . 	 " payback " is not , in any way , an entertaining film , even though i am sure the makers hoped it would be with all the graphic carnage that goes on , but take away that violence and what you are basically left with is a blank screen .	2	-4	 payback[0] is[0] not[0] in[0] any[0] way[0] an[0] entertaining[0] film[0] even[0] though[0] i[0] am[0] sure[0] the[0] makers[0] hoped[1] it[0] would[0] be[0] with[0] all[0] the[0] graphic[0] carnage[0] that[0] goes[0] on[0] but[0] take[0] away[0] that[0] violence[-3] and[0] what[0] you[0] are[0] basically[0] left[0] with[0] is[0] a[0] blank[0] screen[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
perhaps director helgeland would have been smart to consider this , so he could have at least added a few worthwhile elements , like a fresh storyline and characters whom you could even remotely stand to be around for a few hours . 	perhaps director helgeland would have been smart to consider this , so he could have at least added a few worthwhile elements , like a fresh storyline and characters whom you could even remotely stand to be around for a few hours .	2	-1	 perhaps[0] director[0] helgeland[0] would[0] have[0] been[0] smart[1] to[0] consider[0] this[0] so[0] he[0] could[0] have[0] at[0] least[0] added[0] a[0] few[0] worthwhile[1] elements[0] like[1] a[0] fresh[0] storyline[0] and[0] characters[0] whom[0] you[0] could[0] even[0] remotely[0] stand[0] to[0] be[0] around[0] for[0] a[0] few[0] hours[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
