unfortunately it doesn't get much more formulaic than one tough cop . 	Translation	Positive	Negative	EmotionRationale
there's the renegade cop with the loser partner who has to many problems to explain . 	there's the renegade cop with the loser partner who has to many problems to explain .	1	-3	 there's[0] the[0] renegade[0] cop[0] with[0] the[0] loser[-2] partner[0] who[0] has[0] to[0] many[0] problems[-1] to[0] explain[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the renegade has to prove his good name and is trapped between the good guys , the bad guys and some woman who really has nothing to do with the story other than being there for the purpose of providing sex for the hero in the middle of the film . 	the renegade has to prove his good name and is trapped between the good guys , the bad guys and some woman who really has nothing to do with the story other than being there for the purpose of providing sex for the hero in the middle of the film .	3	-2	 the[0] renegade[0] has[0] to[0] prove[0] his[0] good[1] name[0] and[0] is[0] trapped[0] between[0] the[0] good[1] guys[0] the[0] bad[-1] guys[0] and[0] some[0] woman[0] who[0] really[0] has[0] nothing[0] to[0] do[0] with[0] the[0] story[0] other[0] than[0] being[0] there[0] for[0] the[0] purpose[0] of[0] providing[0] sex[0] for[0] the[0] hero[2] in[0] the[0] middle[0] of[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
bo dietl ( pronounced deedle , baldwin ) is one tough cop , a guy who is being investigated by hardass fbi agents due to his association with the ny mafia . 	bo dietl ( pronounced deedle , baldwin ) is one tough cop , a guy who is being investigated by hardass fbi agents due to his association with the ny mafia .	1	-2	 bo[0] dietl[0] pronounced[0] deedle[0] baldwin[0] is[0] one[0] tough[-1] cop[0] a[0] guy[0] who[0] is[0] being[0] investigated[0] by[0] hardass[0] fbi[0] agents[0] due[0] to[0] his[0] association[0] with[0] the[0] ny[0] mafia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on top of that problem , he has a drunk , gambling addicted partner ( penn ) who has a penchant for collecting parking tickets ( i guess cops aren't immune ? ) . 	on top of that problem , he has a drunk , gambling addicted partner ( pen ) who has a penchant for collecting parking tickets ( i guess cops aren't immune ?<br> ) .	1	-2	 on[0] top[0] of[0] that[0] problem[-1] he[0] has[0] a[0] drunk[-1] gambling[0] addicted[-1] partner[0] penn/pen[0] who[0] has[0] a[0] penchant[0] for[0] collecting[0] parking[0] tickets[0] i[0] guess[0] cops[0] aren't[0] immune[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then , throw into the mix the femme fatale ( gershon ) . 	then , throw into the mix the femme fatale ( gershon ) .	1	-3	 then[0] throw[0] into[0] the[0] mix[0] the[0] femme[0] fatale[-2] gershon[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
right there you have plenty of ammo for a decent cop drama . 	right there you have plenty of ammo for a decent cop drama .	1	-1	 right[0] there[0] you[0] have[0] plenty[0] of[0] ammo[0] for[0] a[0] decent[0] cop[0] drama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but right in the middle of the film , they throw in a completely un-related plot point . 	but right in the middle of the film , they throw in a completely un-related plot point .	1	-1	 but[0] right[0] in[0] the[0] middle[0] of[0] the[0] film[0] they[0] throw[0] in[0] a[0] completely[0] un[0] related[0] plot[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dietl and his partner duke try to solve a case that they have been warned to stay away from . 	dietl and his partner duke try to solve a case that they have been warned to stay away from .	1	-1	 dietl[0] and[0] his[0] partner[0] duke[0] try[0] to[0] solve[0] a[0] case[0] that[0] they[0] have[0] been[0] warned[0] to[0] stay[0] away[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film spends over half an hour tracking the case of a nun who was beaten and raped to near death . 	the film spends over half an hour tracking the case of a nun who was beaten and raped to near death .	1	-4	 the[0] film[0] spends[0] over[0] half[0] an[0] hour[0] tracking[0] the[0] case[0] of[0] a[0] nun[0] who[0] was[0] beaten[0] and[0] raped[-3] to[0] near[0] death[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
once the case is solved , the film shifts focus back to the mafia issue . 	once the case is solved , the film shifts focus back to the mafia issue .	1	-1	 once[0] the[0] case[0] is[0] solved[0] the[0] film[0] shifts[0] focus[0] back[0] to[0] the[0] mafia[0] issue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
