i remember really enjoying this movie when i saw it years ago . 	Translation	Positive	Negative	EmotionRationale
i guess my memory really sucks . 	i guess my memory really sucks .	1	-3	 i[0] guess[0] my[0] memory[0] really[0] sucks[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is very , very little that is funny in caddyshack . 	there is very , very little that is funny in caddyshack .	2	-1	 there[0] is[0] very[0] very[0] little[0] that[0] is[0] funny[1] in[0] caddyshack[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the laughs are few , and far between , and what there are really aren't that great . 	the laughs are few , and far between , and what there are really aren't that great .	2	-3	 the[0] laughs[1] are[0] few[0] and[0] far[0] between[0] and[0] what[0] there[0] are[0] really[0] aren't[0] that[0] great[2][NegatedDueToPreviousWord] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
caddyshack , as the name implies , more or less centers on one young caddy working at an exclusive country club . 	caddyshack , as the name implies , more or less centers on one young caddy working at an exclusive country club .	1	-1	 caddyshack[0] as[0] the[0] name[0] implies[0] more[0] or[0] less[0] centers[0] on[0] one[0] young[0] caddy[0] working[0] at[0] an[0] exclusive[0] country[0] club[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
michael o'keefe plays said caddy . 	michael o'keefe plays said caddy .	2	-1	 michael[0] o'keefe[0] plays[1] said[0] caddy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
why they cast this unknown , fairly untalented actor in the lead role is completely beyond me . 	why they cast this unknown , fairly untalented actor in the lead role is completely beyond me .	1	-1	 why[0] they[0] cast[0] this[0] unknown[0] fairly[0] untalented[0] actor[0] in[0] the[0] lead[0] role[0] is[0] completely[0] beyond[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie doesn't seem to have a real plot , just a series of scenes that are little more than opportunities for the rest of the cast to mug at the camera . 	the movie doesn't seem to have a real plot , just a series of scenes that are little more than opportunities for the rest of the cast to mug at the camera .	1	-1	 the[0] movie[0] doesn't[0] seem[0] to[0] have[0] a[0] real[0] plot[0] just[0] a[0] series[0] of[0] scenes[0] that[0] are[0] little[0] more[0] than[0] opportunities[0] for[0] the[0] rest[0] of[0] the[0] cast[0] to[0] mug[0] at[0] the[0] camera[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only real story , if you can call it that , was a subplot involving the mentally disturbed greens keeper , bill murray , who is having his own private little war against a gopher who is ruining the course . 	the only real story , if you can call it that , was a subplot involving the mentally disturbed greens keeper , bill murray , who is having his own private little war against a gopher who is ruining the course .	1	-3	 the[0] only[0] real[0] story[0] if[0] you[0] can[0] call[0] it[0] that[0] was[0] a[0] subplot[0] involving[0] the[0] mentally[0] disturbed[-1] greens[0] keeper[0] bill[0] murray[0] who[0] is[0] having[0] his[0] own[0] private[0] little[0] war[-2] against[-1] a[0] gopher[0] who[0] is[0] ruining[-1] the[0] course[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
most of the marginal laughs come from rodney dangerfield and ted knight mugging and overacting for the camera -- with painfully limited success . 	most of the marginal laughs come from rodney dangerfield and ted knight mugging and overacting for the camera - with painfully limited success .	3	-4	 most[0] of[0] the[0] marginal[-1] laughs[1] come[0] from[0] rodney[0] dangerfield[-1] and[0] ted[0] knight[0] mugging[0] and[0] overacting[0] for[0] the[0] camera[0] with[0] painfully[-3] limited[0] success[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
bill murray is slightly amusing in places , but fairly wasted . 	bill murray is slightly amusing in places , but fairly wasted .	1	-2	 bill[0] murray[0] is[0] slightly[0] amusing[1][-1 LastWordBoosterStrength] in[0] places[0] but[0] fairly[0] wasted[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the biggest waste of all is chevy chase , who didn't even crack a smile on my face with his character's lame zen-like approach to golfing . 	the biggest waste of all is chevy chase , who didn't even crack a smile on my face with his character's lame zen-like approach to golfing .	3	-3	 the[0] biggest[0] waste[-1] of[0] all[0] is[0] chevy[0] chase[-1] who[0] didn't[0] even[0] crack[0] a[0] smile[2] on[0] my[0] face[0] with[0] his[0] character's[0] lame[-2] zen[0] like[1] approach[0] to[0] golfing[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there are a few decent scenes involving the interaction between dangerfield and knight , but they are far too infrequent to carry the movie . 	there are a few decent scenes involving the interaction between dangerfield and knight , but they are far too infrequent to carry the movie .	1	-2	 there[0] are[0] a[0] few[0] decent[0] scenes[0] involving[0] the[0] interaction[0] between[0] dangerfield[-1] and[0] knight[0] but[0] they[0] are[0] far[0] too[0] infrequent[0] to[0] carry[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i guess that's what you get for basing a story around an unknown kid . 	i guess that's what you get for basing a story around an unknown kid .	1	-1	 i[0] guess[0] that's[0] what[0] you[0] get[0] for[0] basing[0] a[0] story[0] around[0] an[0] unknown[0] kid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm not sure what the writers of this thing were thinking of , but i really think it was something far removed from comedy as they were putting pen to paper . 	i'm not sure what the writers of this thing were thinking of , but i really think it was something far removed from comedy as they were putting pen to paper .	1	-1	 i'm[0] not[0] sure[0] what[0] the[0] writers[0] of[0] this[0] thing[0] were[0] thinking[0] of[0] but[0] i[0] really[0] think[0] it[0] was[0] something[0] far[0] removed[0] from[0] comedy[0] as[0] they[0] were[0] putting[0] pen[0] to[0] paper[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nothing about this movie works . 	nothing about this movie works .	1	-1	 nothing[0] about[0] this[0] movie[0] works[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it wouldn't have taken a genius to figure out that this thing wasn't going to fly . 	it wouldn't have taken a genius to figure out that this thing wasn't going to fly .	1	-1	 it[0] wouldn't[0] have[0] taken[0] a[0] genius[0] to[0] figure[0] out[0] that[0] this[0] thing[0] wasn't[0] going[0] to[0] fly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the scenes just couldn't possibly be funny . 	most of the scenes just couldn't possibly be funny .	2	-1	 most[0] of[0] the[0] scenes[0] just[0] couldn't[0] possibly[0] be[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's as if the writers where off in their own little brain damaged world . 	it's as if the writers where off in their own little brain damaged world .	1	-1	 it's[0] as[0] if[0] the[0] writers[0] where[0] off[0] in[0] their[0] own[0] little[0] brain[0] damaged[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
