susan granger's review of " the watcher " ( universal ) 	Translation	Positive	Negative	EmotionRationale
just what we need : another lurid , trashy serial killer saga . 	just what we need : another lurid , trashy serial killer saga .	1	-2	 just[0] what[0] we[0] need[0] another[0] lurid[0] trashy[-1] serial[0] killer[-1] saga[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this time , keanu reeves plays an elusive homicidal maniac who engages in a gruesome ticking-clock cat-and-mouse game with james spader , a burnt-out fbi agent who has suffered a traumatic nervous breakdown after too many years on the job with the lapd . 	this time , keanu reeves plays an elusive homicidal maniac who engages in a gruesome ticking-clock cat-and-mouse game with james spader , a burnt-out fbi agent who has suffered a traumatic nervous breakdown after too many years on the job with the lapd .	2	-4	 this[0] time[0] keanu[0] reeves[0] plays[1] an[0] elusive[0] homicidal[0] maniac[-2] who[0] engages[0] in[0] a[0] gruesome[0] ticking[0] clock[0] cat[0] and[0] mouse[0] game[0] with[0] james[0] spader[0] a[0] burnt[-1] out[0] fbi[0] agent[0] who[0] has[0] suffered[-3] a[0] traumatic[-3] nervous[-2][-1 MultiplePositiveWords] breakdown[-1] after[0] too[0] many[0] years[0] on[0] the[0] job[0] with[0] the[0] lapd[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
to taunt spader , who has relocated to chicago , reeves packs up his trusty piano wire and moves too . 	to taunt spader , who has relocated to chicago , reeves packs up his trusty piano wire and moves too .	2	-2	 to[0] taunt[-1] spader[0] who[0] has[0] relocated[0] to[0] chicago[0] reeves[0] packs[0] up[0] his[0] trusty[1] piano[0] wire[0] and[0] moves[0] too[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
before long , he starts mailing photographs of the lonely , unsuspecting young women who are his intended windy city victims , challenging spader , along with the chicago police department , to stop him within 24 hours before he strikes again . 	before long , he starts mailing photographs of the lonely , unsuspecting young women who are his intended windy city victims , challenging spader , along with the chicago police department , to stop him within 24 hours before he strikes again .	1	-3	 before[0] long[0] he[0] starts[0] mailing[0] photographs[0] of[0] the[0] lonely[-1] unsuspecting[0] young[0] women[0] who[0] are[0] his[0] intended[0] windy[0] city[0] victims[-2] challenging[0] spader[0] along[0] with[0] the[0] chicago[0] police[0] department[0] to[0] stop[0] him[0] within[0] 24[0] hours[0] before[0] he[0] strikes[0] again[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the midst of this murderous frenzy , there's spader's psychologist , played by marisa tomei , who is even less convincing as a medical professional than jennifer lopez in " the cell . " 	in the midst of this murderous frenzy , there's spader's psychologist , played by marisa tomei , who is even less convincing as a medical professional than jennifer lopez in " the cell .<br> "	1	-4	 in[0] the[0] midst[0] of[0] this[0] murderous[-3] frenzy[0] there's[0] spader's[0] psychologist[0] played[0] by[0] marisa[0] tomei[0] who[0] is[0] even[0] less[0] convincing[0] as[0] a[0] medical[0] professional[0] than[0] jennifer[0] lopez[0] in[0] the[0] cell[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
writers david elliot , clay ayers and darcy meyers , along with first-time director joe charbanic ( helmer of music videos for reeves' band dogstar ) , dwell on the warped thrill of the methodology and the chase , revealing , early on , exactly whodunit since the killer says he and the cop " need each other to give meaning to our lives . " 	writers david elliot , clay ayers and darcy meyers , along with first-time director joe charbanic ( helmer of music videos for reeves' band dogstar ) , dwell on the warped thrill of the methodology and the chase , revealing , early on , exactly whodunit since the killer says he and the cop " need each other to give meaning to our lives .<br> "	4	-2	 writers[0] david[0] elliot[0] clay[0] ayers[0] and[0] darcy[0] meyers[0] along[0] with[0] first[0] time[0] director[0] joe[0] charbanic[0] helmer[0] of[0] music[0] videos[0] for[0] reeves'[0] band[0] dogstar[0] dwell[0] on[0] the[0] warped[-1] thrill[3] of[0] the[0] methodology[0] and[0] the[0] chase[-1] revealing[0] early[0] on[0] exactly[0] whodunit[0] since[0] the[0] killer[-1] says[0] he[0] and[0] the[0] cop[0] need[0] each[0] other[0] to[0] give[0] meaning[0] to[0] our[0] lives[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
plus , as reeves explains , " we're all stacked right on top of each other , but we don't notice each other any more . " 	plus , as reeves explains , " we're all stacked right on top of each other , but we don't notice each other any more .<br> "	1	-1	 plus[0] as[0] reeves[0] explains[0] we're[0] all[0] stacked[0] right[0] on[0] top[0] of[0] each[0] other[0] but[0] we[0] don't[0] notice[0] each[0] other[0] any[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after that , it's all sound effects and tricky camera-work , along with a muddled , discordant soundtrack . 	after that , it's all sound effects and tricky camera-work , along with a muddled , discordant soundtrack .	1	-2	 after[0] that[0] it's[0] all[0] sound[0] effects[0] and[0] tricky[-1] camera[0] work[0] along[0] with[0] a[0] muddled[-1] discordant[-1] soundtrack[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
james spader's acting technique can be described as 'wooden deadpan' while keanu reeves maintains his perpetually monotone 'dude' persona which sometimes works , sometimes doesn't . 	james spader's acting technique can be described as 'wooden deadpan' while keanu reeves maintains his perpetually monotone 'dude' persona which sometimes works , sometimes doesn't .	1	-1	 james[0] spader's[0] acting[0] technique[0] can[0] be[0] described[0] as[0] 'wooden[0] deadpan'[0] while[0] keanu[0] reeves[0] maintains[0] his[0] perpetually[0] monotone[0] 'dude'[0] persona[0] which[0] sometimes[0] works[0] sometimes[0] doesn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chris ellis , as spader's self-important colleague , is the only cast member who manages to be convincing . 	chris ellis , as spader's self-important colleague , is the only cast member who manages to be convincing .	1	-1	 chris[0] ellis[0] as[0] spader's[0] self[0] important[0] colleague[0] is[0] the[0] only[0] cast[0] member[0] who[0] manages[0] to[0] be[0] convincing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
