roger ebert asks in his review of sexy beast , " who would have guessed that the most savage mad-dog frothing gangster in recent movies would be played by . . . 	Translation	Positive	Negative	EmotionRationale
ben kingsley ? " 	ben kingsley ?<br> "	1	-1	 ben[0] kingsley[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my response would be that anyone who has seen alan arkin in wait until dark , henry fonda in once upon a time in the west , or anthony hopkins in the silence of the lambs should have guessed it . 	my response would be that anyone who has seen alan arkin in wait until dark , henry fonda in once upon a time in the west , or anthony hopkins in the silence of the lambs should have guessed it .	1	-1	 my[0] response[0] would[0] be[0] that[0] anyone[0] who[0] has[0] seen[0] alan[0] arkin[0] in[0] wait[0] until[0] dark[0] henry[0] fonda[0] in[0] once[0] upon[0] a[0] time[0] in[0] the[0] west[0] or[0] anthony[0] hopkins[0] in[0] the[0] silence[0] of[0] the[0] lambs[0] should[0] have[0] guessed[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they should know that the way for a film to create a really creepy sociopath is cast someone who generally plays mild , sympathetic , or even ineffectual character roles . 	they should know that the way for a film to create a really creepy sociopath is cast someone who generally plays mild , sympathetic , or even ineffectual character roles .	2	-2	 they[0] should[0] know[0] that[0] the[0] way[0] for[0] a[0] film[0] to[0] create[0] a[0] really[0] creepy[0] sociopath[0] is[0] cast[0] someone[0] who[0] generally[0] plays[1] mild[0] sympathetic[0] or[0] even[0] ineffectual[-1] character[0] roles[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the same characteristics that make an actor seem gentle in most of his roles can work in his favor when a role calls for him to be fierce and vicious . 	the same characteristics that make an actor seem gentle in most of his roles can work in his favor when a role calls for him to be fierce and vicious .	2	-4	 the[0] same[0] characteristics[0] that[0] make[0] an[0] actor[0] seem[0] gentle[1] in[0] most[0] of[0] his[0] roles[0] can[0] work[0] in[0] his[0] favor[1] when[0] a[0] role[0] calls[0] for[0] him[0] to[0] be[0] fierce[-2] and[0] vicious[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
that is the principle that works for kingsley in sexy beast . 	that is the principle that works for kingsley in sexy beast .	3	-1	 that[0] is[0] the[0] principle[0] that[0] works[0] for[0] kingsley[0] in[0] sexy[2] beast[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gary " gal " dove ( played by ray winstone ) has retired from a london career of crime and is living on a luxurious villa in spain . 	gary " get a life� " dove ( played by ray winstone ) has retired from a london career of crime and is living on a luxurious villa in spain .	1	-2	 gary[0] gal[0] dove[0] played[0] by[0] ray[0] winstone[0] has[0] retired[-1] from[0] a[0] london[0] career[0] of[0] crime[-1] and[0] is[0] living[0] on[0] a[0] luxurious[0] villa[0] in[0] spain[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
life has become a routine of sunning himself and relaxing . 	life has become a routine of sunning himself and relaxing .	3	-1	 life[0] has[0] become[0] a[0] routine[0] of[0] sunning[0] himself[0] and[0] relaxing[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but his paradise is about to be shattered by a one-two-punch . 	but his paradise is about to be shattered by a one-two-punch .	4	-2	 but[0] his[0] paradise[3] is[0] about[0] to[0] be[0] shattered[0] by[0] a[0] one[0] two[0] punch[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the first punch is a boulder that comes rolling down the hill next to the villa . 	the first punch is a boulder that comes rolling down the hill next to the villa .	1	-2	 the[0] first[0] punch[-1] is[0] a[0] boulder[0] that[0] comes[0] rolling[0] down[0] the[0] hill[0] next[0] to[0] the[0] villa[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the second punch comes from gal's past . 	the second punch comes from gal's past .	1	-2	 the[0] second[0] punch[-1] comes[0] from[0] gal's[0] past[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
