starship troopers is a bad movie . 	Translation	Positive	Negative	EmotionRationale
i mean , a really , really , bad movie . 	i mean , a really , really , bad movie .	1	-3	 i[0] mean[0] a[0] really[0] really[0] bad[-1][-1 LastWordBoosterStrength] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not only does it cross the line of bad taste when it comes to blood , gore and body parts shown on the screen , it blissfully jumps over that line , apparently unaware that the movie trailers appeal to an audience of five to fifteen year olds ( of which i saw many in the theatre ) . 	not only does it cross the line of bad taste when it comes to blood , gore and body parts shown on the screen , it blissfully jumps over that line , apparently unaware that the movie trailers appeal to an audience of five to fifteen year olds ( of which i saw many in the theatre ) .	1	-2	 not[0] only[0] does[0] it[0] cross[-1] the[0] line[0] of[0] bad[-1] taste[0] when[0] it[0] comes[0] to[0] blood[0] gore[0] and[0] body[0] parts[0] shown[0] on[0] the[0] screen[0] it[0] blissfully[0] jumps[0] over[0] that[0] line[0] apparently[0] unaware[0] that[0] the[0] movie[0] trailers[0] appeal[0] to[0] an[0] audience[0] of[0] five[0] to[0] fifteen[0] year[0] olds[0] of[0] which[0] i[0] saw[0] many[0] in[0] the[0] theatre[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
looking past the appalling sight of overdone violence , we are left with a movie with a thin plot at best , no strong lead characters , a blatant disregard for physics , and a very obvious naziesque theme . 	looking past the appalling sight of overdone violence , we are left with a movie with a thin plot at best , no strong lead characters , a blatant disregard for physics , and a very obvious naziesque theme .	2	-4	 looking[0] past[0] the[0] appalling[-3] sight[0] of[0] overdone[0] violence[-3] we[0] are[0] left[0] with[0] a[0] movie[0] with[0] a[0] thin[0] plot[0] at[0] best[1] no[0] strong[0] lead[0] characters[0] a[0] blatant[-1] disregard[-1] for[0] physics[0] and[0] a[0] very[0] obvious[0] naziesque[-1] theme[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
that being said , onto the review : the movie starts with a propaganda message from the federation ( who's logo bears a * strong * resemblance to a nazi german eagle ) , urging the populace to go off and fight the bugs , who are attempting to destroy earth . 	that being said , onto the review : the movie starts with a propaganda message from the federation ( who's logo bears a * strong * resemblance to a nazi german eagle ) , urging the populace to go off and fight the bugs , who are attempting to destroy earth .	1	-3	 that[0] being[0] said[0] onto[0] the[0] review[0] the[0] movie[0] starts[0] with[0] a[0] propaganda[-1] message[0] from[0] the[0] federation[0] who's[0] logo[0] bears[0] a[0] strong[0] resemblance[0] to[0] a[0] nazi[-1] german[-1] eagle[0] urging[0] the[0] populace[0] to[0] go[0] off[0] and[0] fight[-2] the[0] bugs[0] who[0] are[0] attempting[0] to[0] destroy[-2] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film shows large rallies with young children in attendance , pledging allegiance to the federation ( again , sound familiar ? ) . 	the film shows large rallies with young children in attendance , pledging allegiance to the federation ( again , sound familiar ?<br> ) .	1	-1	 the[0] film[0] shows[0] large[0] rallies[0] with[0] young[0] children[0] in[0] attendance[0] pledging[0] allegiance[0] to[0] the[0] federation[0] again[0] sound[0] familiar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the movie progresses , we are shown terror tactic training , as a drill sargeant very graphically compound fractures one recruits arm , and throws a knife through another's hand . 	as the movie progresses , we are shown terror tactic training , as a drill sargeant very graphically compound fractures one recruits arm , and throws a knife through another's hand .	1	-2	 as[0] the[0] movie[0] progresses[0] we[0] are[0] shown[0] terror[-1] tactic[0] training[0] as[0] a[0] drill[0] sargeant[0] very[0] graphically[0] compound[0] fractures[-1] one[0] recruits[0] arm[0] and[0] throws[0] a[0] knife[-1] through[0] another's[0] hand[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
eventually , the recruits embark on a journey to a location two thirds of the way across the milky way galaxy , to fight the bugs on their home planet . 	eventually , the recruits embark on a journey to a location two thirds of the way across the milky way galaxy , to fight the bugs on their home planet .	1	-3	 eventually[0] the[0] recruits[0] embark[0] on[0] a[0] journey[0] to[0] a[0] location[0] two[0] thirds[0] of[0] the[0] way[0] across[0] the[0] milky[0] way[0] galaxy[0] to[0] fight[-2] the[0] bugs[0] on[0] their[0] home[0] planet[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as our faster than light travelling " heroes " arrive on planet , they drop onto the planet , and burst our of their craft brandishing . . . 	as our faster than light travelling " heroes " arrive on planet , they drop onto the planet , and burst our of their craft brandishing .<br> .<br> .	3	-2	 as[0] our[0] faster[0] than[0] light[0] travelling[0] heroes[2] arrive[0] on[0] planet[0] they[0] drop[-1] onto[0] the[0] planet[0] and[0] burst[0] our[0] of[0] their[0] craft[0] brandishing[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " what ? " 	 " what ?<br> "	1	-1	 what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you say , " laser beam weapons ? 	you say , " laser beam weapons ?	1	-2	 you[0] say[0] laser[0] beam[0] weapons[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
