this review contains spoilers , but believe me , i don't say anything you can't guess 10 minutes into the movie . 	Translation	Positive	Negative	EmotionRationale
i * did * go into this one with high expectations . 	i * did * go into this one with high expectations .	1	-1	 i[0] did[0] go[0] into[0] this[0] one[0] with[0] high[0] expectations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i had been exposed to media reports that this film would signify a departure from the slasher flicks . 	i had been exposed to media reports that this film would signify a departure from the slasher flicks .	1	-2	 i[0] had[0] been[0] exposed[-1] to[0] media[0] reports[0] that[0] this[0] film[0] would[0] signify[0] a[0] departure[0] from[0] the[0] slasher[-1] flicks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i sort of expected another exorcist or the shining . 	i sort of expected another exorcist or the shining .	1	-1	 i[0] sort[0] of[0] expected[0] another[0] exorcist[0] or[0] the[0] shining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i even put aside my general rule of not seeing this type of film . 	i even put aside my general rule of not seeing this type of film .	1	-1	 i[0] even[0] put[0] aside[0] my[0] general[0] rule[0] of[0] not[0] seeing[0] this[0] type[0] of[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boy , was i wrong ! 	boy , was i wrong !	1	-2	 boy[0] was[0] i[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another garbage slasher flick , the only difference being that * this * one has a story ! 	another garbage slasher flick , the only difference being that * this * one has a story !	1	-3	 another[0] garbage[-2] slasher[-1] flick[0] the[0] only[0] difference[0] being[0] that[0] this[0] one[0] has[0] a[0] story[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story , you ask ? 	the story , you ask ?	1	-1	 the[0] story[0] you[0] ask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , a scumball buys a chinese puzzle from a guy in an arab souk . 	well , a scumball buys a chinese puzle from a guy in an arab souk .	1	-1	 well[0] a[0] scumball[0] buys[0] a[0] chinese[0] puzzle/puzle[0] from[0] a[0] guy[0] in[0] an[0] arab[0] souk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he takes it home , somehow getting it past customs : - ) and starts fiddling with it in his attic . 	he takes it home , somehow getting it past customs : - ) and starts fiddling with it in his attic .	1	-1	 he[0] takes[0] it[0] home[0] somehow[0] getting[0] it[0] past[0] customs[0] and[0] starts[0] fiddling[0] with[0] it[0] in[0] his[0] attic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lo and behold , after he takes it apart , three demons appear and start taking him apart , but with meat hooks . 	lo and behold , after he takes it apart , three demons appear and start taking him apart , but with meat hooks .	1	-1	 lo[0] and[0] behold[0] after[0] he[0] takes[0] it[0] apart[0] three[0] demons[0] appear[0] and[0] start[0] taking[0] him[0] apart[0] but[0] with[0] meat[0] hooks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when they're finished , his gizzards are hanging from the ceiling . 	when they're finished , his gizards are hanging from the ceiling .	1	-1	 when[0] they're[0] finished[0] his[0] gizzards/gizards[0] are[0] hanging[0] from[0] the[0] ceiling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they botch up their cleanup job , however , and manage to leave his heart ( or some gland ; i didn't really recognize the organ ) under a floorboard . 	they botch up their cleanup job , however , and manage to leave his heart ( or some gland ; i didn't really recognize the organ ) under a floorboard .	1	-1	 they[0] botch[0] up[0] their[0] cleanup[0] job[0] however[0] and[0] manage[0] to[0] leave[0] his[0] heart[0] or[0] some[0] gland[0] i[0] didn't[0] really[0] recognize[0] the[0] organ[0] under[0] a[0] floorboard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the guy's brother and his brother's wife appear at the door soon after , and decide to move in . 	the guy's brother and his brother's wife appear at the door soon after , and decide to move in .	1	-1	 the[0] guy's[0] brother[0] and[0] his[0] brother's[0] wife[0] appear[0] at[0] the[0] door[0] soon[0] after[0] and[0] decide[0] to[0] move[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they throw away scumball's belongings , and set up house . 	they throw away scumball's belongings , and set up house .	1	-1	 they[0] throw[0] away[0] scumball's[0] belongings[0] and[0] set[0] up[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
turns out that wife is a bit of a nympho , and screwed around with scumball right before her marriage . 	turns out that wife is a bit of a nympho , and screwed around with scumball right before her marriage .	1	-1	 turns[0] out[0] that[0] wife[0] is[0] a[0] bit[0] of[0] a[0] nympho[0] and[0] screwed[0] around[0] with[0] scumball[0] right[0] before[0] her[0] marriage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
