blatantly borrowing elements from 1993's " like water for chocolate " and 1991's " the butcher's wife , " " simply irresistible " attempts to be a whimsical romantic comedy but , more often than not , comes off as laughable , leaving you to wonder why rising star sarah michelle gellar ( t . v . 's " buffy , the vampire slayer " ) would choose such an obviously inept film project to waste her time on . 	Translation	Positive	Negative	EmotionRationale
things get off to a bad start right from the onset as amanda ( sarah michelle gellar ) , a young woman who runs her late family's struggling new york restaurant , runs into a mystery man who forces a bushel of crabs on her and then vansihes into thin air . 	things get off to a bad start right from the onset as amanda ( sarah michelle gellar ) , a young woman who runs her late family's struggling new york restaurant , runs into a mystery man who forces a bushel of crabs on her and then vansihes into thin air .	1	-2	 things[0] get[0] off[0] to[0] a[0] bad[-1] start[0] right[0] from[0] the[0] onset[0] as[0] amanda[0] sarah[0] michelle[0] gellar[0] a[0] young[0] woman[0] who[0] runs[0] her[0] late[0] family's[0] struggling[-1] new[0] york[0] restaurant[0] runs[0] into[0] a[0] mystery[0] man[0] who[0] forces[0] a[0] bushel[0] of[0] crabs[0] on[0] her[0] and[0] then[0] vansihes[0] into[0] thin[0] air[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while out shopping , she also meets tom ( sean patrick flanery ) , a charming , handsome man , who happens to be planning a ritzy restaurant for the department store he works for , and later when he decides to drop by her dive , called southern cross , for lunch , she somehow makes a delicious crab dish for him , even though she is known to not be a very good chef . 	while out shopping , she also meets tom ( sean patrick flanery ) , a charming , handsome man , who happens to be planning a ritzy restaurant for the department store he works for , and later when he decides to drop by her dive , called southern cross , for lunch , she somehow makes a delicious crab dish for him , even though she is known to not be a very good chef .	3	-2	 while[0] out[0] shopping[0] she[0] also[0] meets[0] tom[0] sean[0] patrick[0] flanery[0] a[0] charming[1] handsome[1] man[0] who[0] happens[0] to[0] be[0] planning[0] a[0] ritzy[0] restaurant[0] for[0] the[0] department[0] store[0] he[0] works[0] for[0] and[0] later[0] when[0] he[0] decides[0] to[0] drop[-1] by[0] her[0] dive[0] called[0] southern[0] cross[-1] for[0] lunch[0] she[0] somehow[0] makes[0] a[0] delicious[2] crab[0] dish[0] for[0] him[0] even[0] though[0] she[0] is[0] known[0] to[0] not[0] be[0] a[0] very[0] good[1][1 LastWordBoosterStrength] chef[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
suddenly , amanda finds her restaurant , on the edge of foreclosure , rejuvenate to life as customer begin to swarm for her food , which strangely causes everyone immediate jubilation when it hits their mouths . 	suddenly , amanda finds her restaurant , on the edge of foreclosure , rejuvenate to life as customer begin to swarm for her food , which strangely causes everyone immediate jubilation when it hits their mouths .	1	-1	 suddenly[0] amanda[0] finds[0] her[0] restaurant[0] on[0] the[0] edge[0] of[0] foreclosure[0] rejuvenate[0] to[0] life[0] as[0] customer[0] begin[0] to[0] swarm[0] for[0] her[0] food[0] which[0] strangely[0] causes[0] everyone[0] immediate[0] jubilation[0] when[0] it[0] hits[0] their[0] mouths[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
are amanda and tom destined to be together ? 	are amanda and tom destined to be together ?	1	-1	 are[0] amanda[0] and[0] tom[0] destined[0] to[0] be[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and is it not just because of the magical food , but because they really , truly like each other ? 	and is it not just because of the magical food , but because they really , truly like each other ?	3	-1	 and[0] is[0] it[0] not[0] just[0] because[0] of[0] the[0] magical[0] food[0] but[0] because[0] they[0] really[0] truly[1][1 LastWordBoosterStrength] like[1] each[0] other[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and what exactly is going on with the food she is making ? 	and what exactly is going on with the food she is making ?	1	-1	 and[0] what[0] exactly[0] is[0] going[0] on[0] with[0] the[0] food[0] she[0] is[0] making[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
does it have anything to do with that pesky crab she got that sits on the shelf in the kitchen somehow assisting her in her food preparation ? 	does it have anything to do with that pesky crab she got that sits on the shelf in the kitchen somehow assisting her in her food preparation ?	1	-1	 does[0] it[0] have[0] anything[0] to[0] do[0] with[0] that[0] pesky[0] crab[0] she[0] got[0] that[0] sits[0] on[0] the[0] shelf[0] in[0] the[0] kitchen[0] somehow[0] assisting[0] her[0] in[0] her[0] food[0] preparation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " simply irresistible " is a ridiculous and just plain goofy romantic fantasy that's as flimsy as a slice of bologna . 	 " simply irresistible " is a ridiculous and just plain goofy romantic fantasy that's as flimsy as a slice of bologna .	4	-3	 simply[0] irresistible[0] is[0] a[0] ridiculous[-2] and[0] just[0] plain[0] goofy[0] romantic[3] fantasy[0] that's[0] as[0] flimsy[-1] as[0] a[0] slice[0] of[0] bologna[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
it takes one joke---that people who eat the food are taken aback by it in most unusual ways---and recycles it over and over again until the film has reached an appropriate running time of 95 minutes . 	it takes one joke-that people who eat the food are taken aback by it in most unusual ways-and recycles it over and over again until the film has reached an appropriate running time of 95 minutes .	2	-1	 it[0] takes[0] one[0] joke[1] that[0] people[0] who[0] eat[0] the[0] food[0] are[0] taken[0] aback[0] by[0] it[0] in[0] most[0] unusual[0] ways[0] and[0] recycles[0] it[0] over[0] and[0] over[0] again[0] until[0] the[0] film[0] has[0] reached[0] an[0] appropriate[0] running[0] time[0] of[0] 95[0] minutes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
add in a music montage every ten minutes ( these are actually the best scenes in the movie , which certainly tells you something about the film itself ) , and what you've got is an utterly empty , if not necessarily boring , excursion . 	add in a music montage every ten minutes ( these are actually the best scenes in the movie , which certainly tells you something about the film itself ) , and what you've got is an utterly empty , if not necessarily boring , excursion .	2	-1	 add[0] in[0] a[0] music[0] montage[0] every[0] ten[0] minutes[0] these[0] are[0] actually[0] the[0] best[1] scenes[0] in[0] the[0] movie[0] which[0] certainly[0] tells[0] you[0] something[0] about[0] the[0] film[0] itself[0] and[0] what[0] you've[0] got[0] is[0] an[0] utterly[0] empty[0] if[0] not[0] necessarily[0] boring[-1][NegatedDueToPreviousWord] excursion[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the cast of " simply irresistible " is fairly good , but it is the supporting characters who are the most interesting . 	the cast of " simply irresistible " is fairly good , but it is the supporting characters who are the most interesting .	2	-1	 the[0] cast[0] of[0] simply[0] irresistible[0] is[0] fairly[0] good[1] but[0] it[0] is[0] the[0] supporting[1] characters[0] who[0] are[0] the[0] most[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
patricia clarkson ( 1998's " high art , " in which she played a drugged-out lesbian ) is a standout as tom's colleague , and is thankfully given a few funny lines of dialogue . 	patricia clarkson ( 1998's " high art , " in which she played a drugged-out lesbian ) is a standout as tom's colleague , and is thankfully given a few funny lines of dialogue .	2	-1	 patricia[0] clarkson[0] 1998's[0] high[0] art[0] in[0] which[0] she[0] played[0] a[0] drugged[0] out[0] lesbian[0] is[0] a[0] standout[0] as[0] tom's[0] colleague[0] and[0] is[0] thankfully[1] given[0] a[0] few[0] funny[1] lines[0] of[0] dialogue[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also of note is larry gilliard jr . , as amanda's cooking assistant and buddy , who is allowed to create a seemingly full character out of only a handful of scenes . 	also of note is larry gilliard jr .<br> , as amanda's cooking assistant and buddy , who is allowed to create a seemingly full character out of only a handful of scenes .	1	-1	 also[0] of[0] note[0] is[0] larry[0] gilliard[0] jr[0] [[Sentence=-1,1=word max, 1-5]] as[0] amanda's[0] cooking[0] assistant[0] and[0] buddy[0] who[0] is[0] allowed[0] to[0] create[0] a[0] seemingly[0] full[0] character[0] out[0] of[0] only[0] a[0] handful[0] of[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
