i didn't come into city of angels expecting greatness . 	Translation	Positive	Negative	EmotionRationale
i've never seen wim wenders' wings of desire , the classic movie upon which city is loosely based . 	i've never seen wim wenders' wings of desire , the classic movie upon which city is loosely based .	1	-1	 i've[0] never[0] seen[0] wim[0] wenders'[0] wings[0] of[0] desire[0] the[0] classic[0] movie[0] upon[0] which[0] city[0] is[0] loosely[0] based[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then again , i have seen enough stories which are based upon a similar plot device , with the little mermaid ( both the disney version and the original folktale ) being among them , that i had some high expectations about the possible power such a story of impossible love can hold . 	then again , i have seen enough stories which are based upon a similar plot device , with the little mermaid ( both the disney version and the original folktale ) being among them , that i had some high expectations about the possible power such a story of impossible love can hold .	3	-1	 then[0] again[0] i[0] have[0] seen[0] enough[0] stories[0] which[0] are[0] based[0] upon[0] a[0] similar[0] plot[0] device[0] with[0] the[0] little[0] mermaid[0] both[0] the[0] disney[0] version[0] and[0] the[0] original[0] folktale[0] being[0] among[0] them[0] that[0] i[0] had[0] some[0] high[0] expectations[0] about[0] the[0] possible[0] power[0] such[0] a[0] story[0] of[0] impossible[0] love[2] can[0] hold[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , city of angels ended up fulfilling few of them . 	unfortunately , city of angels ended up fulfilling few of them .	1	-2	 unfortunately[-1] city[0] of[0] angels[0] ended[0] up[0] fulfilling[0] few[0] of[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot , for those that couldn't tell from the previews , revolves around the angel seth , played with an almost creepy intensity by nicolas cage , who , in the midst of his angelic duties , falls in love with a heart surgeon named maggie ( meg ryan in her most endearing performance since when harry met sally ) . 	the plot , for those that couldn't tell from the previews , revolves around the angel seth , played with an almost creepy intensity by nicolas cage , who , in the midst of his angelic duties , falls in love with a heart surgeon named maggie ( meg ryan in her most endearing performance since when harry met sally ) .	3	-1	 the[0] plot[0] for[0] those[0] that[0] couldn't[0] tell[0] from[0] the[0] previews[0] revolves[0] around[0] the[0] angel[0] seth[0] played[0] with[0] an[0] almost[0] creepy[0] intensity[0] by[0] nicolas[0] cage[0] who[0] in[0] the[0] midst[0] of[0] his[0] angelic[1] duties[0] falls[0] in[0] love[2] with[0] a[0] heart[0] surgeon[0] named[0] maggie[0] meg[0] ryan[0] in[0] her[0] most[0] endearing[0] performance[0] since[0] when[0] harry[0] met[0] sally[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
of course , his being an angel prevents him from doing much about his love except appearing at random times to talk to her , watch her buy groceries , only to disappear in the blink of an eye . 	of course , his being an angel prevents him from doing much about his love except appearing at random times to talk to her , watch her buy groceries , only to disappear in the blink of an eye .	3	-1	 of[0] course[0] his[0] being[0] an[0] angel[0] prevents[0] him[0] from[0] doing[0] much[0] about[0] his[0] love[2] except[0] appearing[0] at[0] random[0] times[0] to[0] talk[0] to[0] her[0] watch[0] her[0] buy[0] groceries[0] only[0] to[0] disappear[0] in[0] the[0] blink[0] of[0] an[0] eye[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
their love must remain unrequited unless seth decides to make the ultimate sacrifice and become human . 	their love must remain unrequited unless seth decides to make the ultimate sacrifice and become human .	3	-1	 their[0] love[2] must[0] remain[0] unrequited[0] unless[0] seth[0] decides[0] to[0] make[0] the[0] ultimate[0] sacrifice[0] and[0] become[0] human[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
using this framework as a jumping-off point , the movie attempts to veer through some heavy philosophical ruminations on the nature of desire , the joys of being human , and the definition of perfection . 	using this framework as a jumping-off point , the movie attempts to veer through some heavy philosophical ruminations on the nature of desire , the joys of being human , and the definition of perfection .	3	-1	 using[0] this[0] framework[0] as[0] a[0] jumping[0] off[0] point[0] the[0] movie[0] attempts[0] to[0] veer[0] through[0] some[0] heavy[0] philosophical[0] ruminations[0] on[0] the[0] nature[0] of[0] desire[0] the[0] joys[2] of[0] being[0] human[0] and[0] the[0] definition[0] of[0] perfection[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the first half of the movie succeeds on most points . 	the first half of the movie succeeds on most points .	3	-1	 the[0] first[0] half[0] of[0] the[0] movie[0] succeeds[2] on[0] most[0] points[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
cage excellently plays the eminently difficult role of an angel who doesn't know feelings so can't really express , preventing the character of seth from getting boring despite his limited repertoire of intent looks and hang-dog expressions . 	cage excellently plays the eminently difficult role of an angel who doesn't know feelings so can't really express , preventing the character of seth from getting boring despite his limited repertoire of intent looks and hang-dog expressions .	3	-2	 cage[0] excellently[2] plays[1] the[0] eminently[0] difficult[-1] role[0] of[0] an[0] angel[0] who[0] doesn't[0] know[0] feelings[0] so[0] can't[0] really[0] express[0] preventing[0] the[0] character[0] of[0] seth[0] from[0] getting[0] boring[-1] despite[0] his[0] limited[0] repertoire[0] of[0] intent[0] looks[0] and[0] hang[-1] dog[0] expressions[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
unfortunately , cage takes the intensity too far sometimes , and then seth comes across as more creepy than sensitive . 	unfortunately , cage takes the intensity too far sometimes , and then seth comes across as more creepy than sensitive .	1	-2	 unfortunately[-1] cage[0] takes[0] the[0] intensity[0] too[0] far[0] sometimes[0] and[0] then[0] seth[0] comes[0] across[0] as[0] more[0] creepy[0] than[0] sensitive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
