alexandre dumas meets hong kong action with newcomer justin chambers reprising the oft-played character of dashing swordsman d'artagnon in director peter hyam's adventure " the musketeer . " 	Translation	Positive	Negative	EmotionRationale
for some reason that i may figure out later , i don't know why the time , money and effort were put into the making of " the musketeer . " 	for some reason that i may figure out later , i don't know why the time , money and effort were put into the making of " the musketeer .<br> "	1	-1	 for[0] some[0] reason[0] that[0] i[0] may[0] figure[0] out[0] later[0] i[0] don't[0] know[0] why[0] the[0] time[0] money[0] and[0] effort[0] were[0] put[0] into[0] the[0] making[0] of[0] the[0] musketeer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it may be that someone had the clever idea of combining the dumas characters and story with the current enamor with the action work of hong kong imports like this film's xin-xin xiong ( " once upon a time in china " ) and yuen woo-ping from " crouching tiger , hidden dragon . " 	it may be that someone had the clever idea of combining the dumas characters and story with the current enamor with the action work of hong kong imports like this film's xin-xin xiong ( " once upon a time in china " ) and yuen woo-ping from " crouching tiger , hidden dragon .<br> "	2	-1	 it[0] may[0] be[0] that[0] someone[0] had[0] the[0] clever[0] idea[0] of[0] combining[0] the[0] dumas[0] characters[0] and[0] story[0] with[0] the[0] current[0] enamor[0] with[0] the[0] action[0] work[0] of[0] hong[0] kong[0] imports[0] like[1] this[0] film's[0] xin[0] xin[0] xiong[0] once[0] upon[0] a[0] time[0] in[0] china[0] and[0] yuen[0] woo[0] ping[0] from[0] crouching[0] tiger[0] hidden[0] dragon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the result is a mix of genres that don't mesh well . 	the result is a mix of genres that don't mesh well .	1	-1	 the[0] result[0] is[0] a[0] mix[0] of[0] genres[0] that[0] don't[0] mesh[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
elements of the ritz brothers-style comedy ( for those few who remember that comedic troupe from the 1939 " the three musketeers " ) , the man with no name from " a fistful of dollars " ( d'artagnan demands that the bad guys apologize to his horse in a direct ref to the clint eastwood spaghetti western ) and hong kong action choreography are all utilized in the original script by gene quintano . 	elements of the ritz brothers-style comedy ( for those few who remember that comedic troupe from the 1939 " the three musketeers " ) , the man with no name from " a fistful of dollars " ( d'artagnan demands that the bad guys apologize to his horse in a direct ref to the clint eastwood spaghetti western ) and hong kong action choreography are all utilized in the original script by gene quintano .	1	-3	 elements[0] of[0] the[0] ritz[0] brothers[0] style[0] comedy[0] for[0] those[0] few[0] who[0] remember[0] that[0] comedic[0] troupe[0] from[0] the[0] 1939[0] the[0] three[0] musketeers[0] the[0] man[0] with[0] no[0] name[0] from[0] a[0] fistful[0] of[0] dollars[0] d'artagnan[0] demands[0] that[0] the[0] bad[-1] guys[0] apologize[0] to[0] his[0] horse[0] in[0] a[0] direct[0] ref[0] to[0] the[0] clint[0] eastwood[0] spaghetti[0] western[0] and[0] hong[0] kong[0] action[0] choreography[-2] are[0] all[0] utilized[0] in[0] the[0] original[0] script[0] by[0] gene[0] quintano[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the result is an action flick that bears little resemblance to its source material while it makes contemporary that material in an effort to grab the " matrix " crowd . 	the result is an action flick that bears little resemblance to its source material while it makes contemporary that material in an effort to grab the " matrix " crowd .	1	-2	 the[0] result[0] is[0] an[0] action[0] flick[0] that[0] bears[0] little[0] resemblance[0] to[0] its[0] source[-1] material[0] while[0] it[0] makes[0] contemporary[0] that[0] material[0] in[0] an[0] effort[0] to[0] grab[-1] the[0] matrix[0] crowd[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
alexandre dumas may well be rolling in his grave if he knows what was done to his classic oeuvre and characters . 	alexandre dumas may well be rolling in his grave if he knows what was done to his classic oeuvre and characters .	1	-3	 alexandre[0] dumas[0] may[0] well[0] be[0] rolling[0] in[0] his[0] grave[-2] if[0] he[0] knows[0] what[0] was[0] done[0] to[0] his[0] classic[0] oeuvre[0] and[0] characters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the real problem with the " the musketeer " lies in the casting of the two lead , romantically intertwined characters , d'artagnan and francesca ( mena suvari ) . 	the real problem with the " the musketeer " lies in the casting of the two lead , romantically intertwined characters , d'artagnan and francesca ( mena suvari ) .	4	-3	 the[0] real[0] problem[-1] with[0] the[0] the[0] musketeer[0] lies[-2] in[0] the[0] casting[0] of[0] the[0] two[0] lead[0] romantically[3] intertwined[0] characters[0] d'artagnan[0] and[0] francesca[0] mena[0] suvari[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
chambers has the boyishly handsome good looks for the character , a la chris o'donnell , but lacks any onscreen charisma . 	chambers has the boyishly handsome good looks for the character , a la chris o'donnell , but lacks any onscreen charisma .	2	-1	 chambers[0] has[0] the[0] boyishly[0] handsome[1] good[1] looks[0] for[0] the[0] character[0] a[0] la[0] chris[0] o'donnell[0] but[0] lacks[0] any[0] onscreen[0] charisma[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
suvari has the doe-eyed , pretty looks as the chambermaid who has the ear of the queen , but she , too , does not have the chemistry to command the screen . 	suvari has the doe-eyed , pretty looks as the chambermaid who has the ear of the queen , but she , too , does not have the chemistry to command the screen .	3	-1	 suvari[0] has[0] the[0] doe[0] eyed[0] pretty[2] looks[0] as[0] the[0] chambermaid[0] who[0] has[0] the[0] ear[0] of[0] the[0] queen[0] but[0] she[0] too[0] does[0] not[0] have[0] the[0] chemistry[0] to[0] command[0] the[0] screen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if " the musketeer " makes them any money , they should invest in acting lessons . 	if " the musketeer " makes them any money , they should invest in acting lessons .	1	-1	 if[0] the[0] musketeer[0] makes[0] them[0] any[0] money[0] they[0] should[0] invest[0] in[0] acting[0] lessons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stronger performers may have helped to raise the bar on this one . 	stronger performers may have helped to raise the bar on this one .	1	-1	 stronger[0] performers[0] may[0] have[0] helped[0] to[0] raise[0] the[0] bar[0] on[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the supporting cast is , on the surface , impressive . 	the supporting cast is , on the surface , impressive .	2	-1	 the[0] supporting[1] cast[0] is[0] on[0] the[0] surface[0] impressive[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
catherine denueve plays the queen of france and lends her character an air of royalty , dignity and humor , especially when she plays off of d'artagnan's mentor , planchet ( jean-pierre castaldi , who reminds of andre the giant in " the princess bride ) . 	catherine denueve plays the queen of france and lends her character an air of royalty , dignity and humor , especially when she plays off of d'artagnan's mentor , planchet ( jean-pierre castaldi , who reminds of andre the giant in " the princess bride ) .	3	-1	 catherine[0] denueve[0] plays[1] the[0] queen[0] of[0] france[0] and[0] lends[0] her[0] character[0] an[0] air[0] of[0] royalty[0] dignity[1] and[0] humor[2] especially[0] when[0] she[0] plays[1] off[0] of[0] d'artagnan's[0] mentor[0] planchet[0] jean[0] pierre[0] castaldi[0] who[0] reminds[0] of[0] andre[0] the[0] giant[0] in[0] the[0] princess[0] bride[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
stephen rea looks good in the part of the conniving usurper cardinal richelieu , but is given very little to help flesh out his character . 	stephen rea looks good in the part of the conniving usurper cardinal richelieu , but is given very little to help flesh out his character .	2	-2	 stephen[0] rea[0] looks[0] good[1] in[0] the[0] part[0] of[0] the[0] conniving[0] usurper[-1] cardinal[0] richelieu[0] but[0] is[0] given[0] very[0] little[0] to[0] help[0] flesh[0] out[0] his[0] character[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
tim roth is the kind of bad guy you love to hate as the cardinal's chief henchman , febre . 	tim roth is the kind of bad guy you love to hate as the cardinal's chief henchman , febre .	3	-4	 tim[0] roth[0] is[0] the[0] kind[1] of[0] bad[-1] guy[0] you[0] love[2] to[0] hate[-3] as[0] the[0] cardinal's[0] chief[0] henchman[0] febre[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he is so bad he makes simon legree look like a boy scout . 	he is so bad he makes simon legree look like a boy scout .	2	-2	 he[0] is[0] so[0] bad[-1] he[0] makes[0] simon[0] legree[0] look[0] like[1] a[0] boy[0] scout[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the rest of the players , particularly the three musketeers aramis ( nick moran , " lock , stock and two smoking barrels " ) , porthos ( steve spiers ) and athos ( jan gregor kremp ) , are background fodder whose role is to come to d'artagnan's aid when needed . 	the rest of the players , particularly the three musketeers aramis ( nick moran , " lock , stock and two smoking barrels " ) , porthos ( steve spiers ) and athos ( jan gregor kremp ) , are background fodder whose role is to come to d'artagnan's aid when needed .	1	-1	 the[0] rest[0] of[0] the[0] players[0] particularly[0] the[0] three[0] musketeers[0] aramis[0] nick[0] moran[0] lock[0] stock[0] and[0] two[0] smoking[0] barrels[0] porthos[0] steve[0] spiers[0] and[0] athos[0] jan[0] gregor[0] kremp[0] are[0] background[0] fodder[0] whose[0] role[0] is[0] to[0] come[0] to[0] d'artagnan's[0] aid[0] when[0] needed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
peter hyam's does double duty as director and cinematography and may be too stretched to do both well . 	peter hyam's does double duty as director and cinematography and may be too stretched to do both well .	1	-2	 peter[0] hyam's[0] does[0] double[0] duty[-1] as[0] director[0] and[0] cinematography[0] and[0] may[0] be[0] too[0] stretched[0] to[0] do[0] both[0] well[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a stronger hand at the helm could have helped the mediocre performances of the leads and better utilized his veteran thesps . 	a stronger hand at the helm could have helped the mediocre performances of the leads and better utilized his veteran thesps .	1	-2	 a[0] stronger[0] hand[0] at[0] the[0] helm[0] could[0] have[0] helped[0] the[0] mediocre[-1] performances[0] of[0] the[0] leads[0] and[0] better[0] utilized[0] his[0] veteran[0] thesps[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
photography is straightforward action fare that goes through all the appropriate action flick motions - d'artagnan takes on a tavern full of thugs and bests them single-handed ; he fights a gang of febre's henchmen aboard a speeding coach to protect the queen ( with the obligatory branches hanging over the road ) ; he goes one on one with his lifelong enemy , febre , who murdered d'artagnan's folks years before . 	photography is straightforward action fare that goes through all the appropriate action flick motions - d'artagnan takes on a tavern full of thugs and bests them single-handed ; he fights a gang of febre's henchmen aboard a speeding coach to protect the queen ( with the obligatory branches hanging over the road ) ; he goes one on one with his lifelong enemy , febre , who murdered d'artagnan's folks years before .	1	-4	 photography[0] is[0] straightforward[0] action[0] fare[0] that[0] goes[0] through[0] all[0] the[0] appropriate[0] action[0] flick[0] motions[0] d'artagnan[0] takes[0] on[0] a[0] tavern[0] full[0] of[0] thugs[0] and[0] bests[0] them[0] single[0] handed[0] he[0] fights[-2] a[0] gang[0] of[0] febre's[0] henchmen[0] aboard[0] a[0] speeding[0] coach[0] to[0] protect[0] the[0] queen[0] with[0] the[0] obligatory[0] branches[0] hanging[0] over[0] the[0] road[0] he[0] goes[0] one[0] on[0] one[0] with[0] his[0] lifelong[0] enemy[-1] febre[0] who[0] murdered[-3] d'artagnan's[0] folks[0] years[0] before[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is all routine stuff . 	it is all routine stuff .	1	-1	 it[0] is[0] all[0] routine[0] stuff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
