ever watch a very young child try and tell a joke that is beyond his , or her , sophistication ? 	Translation	Positive	Negative	EmotionRationale
it's full of stops and starts and usually , the punch line is ruined . 	it's full of stops and starts and usually , the punch line is ruined .	1	-2	 it's[0] full[0] of[0] stops[0] and[0] starts[0] and[0] usually[0] the[0] punch[-1] line[0] is[0] ruined[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i felt the same way watching drowning mona . 	i felt the same way watching drowning mona .	1	-2	 i[0] felt[0] the[0] same[0] way[0] watching[0] drowning[-1] mona[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
skip a stone across water and you approximate the depth of this attempt at an ensemble comedy . 	skip a stone across water and you approximate the depth of this attempt at an ensemble comedy .	1	-1	 skip[0] a[0] stone[0] across[0] water[0] and[0] you[0] approximate[0] the[0] depth[0] of[0] this[0] attempt[0] at[0] an[0] ensemble[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are some slightly successful attempts at humor , but they only serve as window dressing . 	there are some slightly successful attempts at humor , but they only serve as window dressing .	3	-1	 there[0] are[0] some[0] slightly[0] successful[2][-1 LastWordBoosterStrength] attempts[0] at[0] humor[2] but[0] they[0] only[0] serve[0] as[0] window[0] dressing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is a running gag about the town , verplanck , n . y . , being a test town for the then new yugo . 	there is a running gag about the town , verplanck , n .<br> y .<br> , being a test town for the then new yugo .	1	-1	 there[0] is[0] a[0] running[0] gag[0] about[0] the[0] town[0] verplanck[0] n[0] [[Sentence=-1,1=word max, 1-5]] y[0] [[Sentence=-1,1=word max, 1-5]] being[0] a[0] test[0] town[0] for[0] the[0] then[0] new[0] yugo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone drives a yugo , differentiating their cars with personalized license plates . 	everyone drives a yugo , differentiating their cars with personalized license plates .	1	-1	 everyone[0] drives[0] a[0] yugo[0] differentiating[0] their[0] cars[0] with[0] personalized[0] license[0] plates[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the police chief drives one . 	even the police chief drives one .	1	-1	 even[0] the[0] police[0] chief[0] drives[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a certain sublimeness to the image of a lights and siren decked out yugo skittering its way through the town streets . 	there is a certain sublimeness to the image of a lights and siren decked out yugo skittering its way through the town streets .	1	-1	 there[0] is[0] a[0] certain[0] sublimeness[0] to[0] the[0] image[0] of[0] a[0] lights[0] and[0] siren[0] decked[0] out[0] yugo[0] skittering[0] its[0] way[0] through[0] the[0] town[0] streets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there also is a running gag about one of the characters , jeff , missing a hand and how it occurred . 	there also is a running gag about one of the characters , jeff , missing a hand and how it occurred .	1	-1	 there[0] also[0] is[0] a[0] running[0] gag[0] about[0] one[0] of[0] the[0] characters[0] jeff[0] missing[0] a[0] hand[0] and[0] how[0] it[0] occurred[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it pokes gentle fun at the notion of urban legends . 	it pokes gentle fun at the notion of urban legends .	2	-1	 it[0] pokes[0] gentle[1] fun[1] at[0] the[0] notion[0] of[0] urban[0] legends[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it turns out the truth is more horrifying than any legend . 	it turns out the truth is more horrifying than any legend .	2	-4	 it[0] turns[0] out[0] the[0] truth[1] is[0] more[0] horrifying[-3] than[0] any[0] legend[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
there are some sight gags that pop up as well , such as mona's tombstone , which reads " demoted " , instead of devoted . 	there are some sight gags that pop up as well , such as mona's tombstone , which reads " demoted " , instead of devoted .	3	-1	 there[0] are[0] some[0] sight[0] gags[0] that[0] pop[0] up[0] as[0] well[0] such[0] as[0] mona's[0] tombstone[0] which[0] reads[0] demoted[0] instead[0] of[0] devoted[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
still , the core of the story maintains the flatness of a still pond . 	still , the core of the story maintains the flatness of a still pond .	1	-1	 still[0] the[0] core[0] of[0] the[0] story[0] maintains[0] the[0] flatness[0] of[0] a[0] still[0] pond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the lynchpin of the film falls on the redundant and sporadic scenes involving mona ( midler ) . 	the lynchpin of the film falls on the redundant and sporadic scenes involving mona ( midler ) .	1	-2	 the[0] lynchpin[0] of[0] the[0] film[0] falls[0] on[0] the[0] redundant[-1] and[0] sporadic[0] scenes[0] involving[0] mona[0] midler[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
each scene with her is the same : scream at someone , hit someone , then scream some more . 	each scene with her is the same : scream at someone , hit someone , then scream some more .	1	-4	 each[0] scene[0] with[0] her[0] is[0] the[0] same[0] scream[-3] at[0] someone[0] hit[0] someone[0] then[0] scream[-3] some[0] more[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there's no uniqueness or modulation to her or explanation for her meanness . 	there's no uniqueness or modulation to her or explanation for her meanness .	1	-1	 there's[0] no[0] uniqueness[0] or[0] modulation[0] to[0] her[0] or[0] explanation[0] for[0] her[0] meanness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyone off the street could have played the role , such as it is . 	anyone off the street could have played the role , such as it is .	1	-1	 anyone[0] off[0] the[0] street[0] could[0] have[0] played[0] the[0] role[0] such[0] as[0] it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other characters are walking cardboard cutouts . 	the other characters are walking cardboard cutouts .	1	-1	 the[0] other[0] characters[0] are[0] walking[0] cardboard[0] cutouts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
each one is defined by one trait and no further attempt is made at deeper characterization . 	each one is defined by one trait and no further attempt is made at deeper characterization .	1	-1	 each[0] one[0] is[0] defined[0] by[0] one[0] trait[0] and[0] no[0] further[0] attempt[0] is[0] made[0] at[0] deeper[0] characterization[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a burly , female car mechanic , so of course , there is a forced lesbianism gag . 	there is a burly , female car mechanic , so of course , there is a forced lesbianism gag .	1	-1	 there[0] is[0] a[0] burly[0] female[0] car[0] mechanic[0] so[0] of[0] course[0] there[0] is[0] a[0] forced[0] lesbianism[0] gag[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mona's son , jeff ( marcus thomas ) is a simpleton , hence you can predict his dialogue before it even plods its way from his mouth . 	mona's son , jeff ( marcus thomas ) is a simpleton , hence you can predict his dialogue before it even plods its way from his mouth .	1	-2	 mona's[0] son[0] jeff[0] marcus[0] thomas[0] is[0] a[0] simpleton[-1] hence[0] you[0] can[0] predict[0] his[0] dialogue[0] before[0] it[0] even[0] plods[0] its[0] way[0] from[0] his[0] mouth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
chief of police rash ( devito ) likes broadway musicals and loves his daughter . 	chief of police rash ( devito ) likes broadway musicals and loves his daughter .	3	-2	 chief[0] of[0] police[0] rash[-1] devito[0] likes[2] broadway[0] musicals[0] and[0] loves[2] his[0] daughter[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there's nothing more to him . 	there's nothing more to him .	1	-1	 there's[0] nothing[0] more[0] to[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
elle , the chief's daughter ( campbell ) , is bland personified , a dutiful girl with no higher aspiration than to have a child and be married . 	elle , the chief's daughter ( campbell ) , is bland personified , a dutiful girl with no higher aspiration than to have a child and be married .	1	-2	 elle[0] the[0] chief's[0] daughter[0] campbell[0] is[0] bland[-1] personified[0] a[0] dutiful[0] girl[0] with[0] no[0] higher[0] aspiration[0] than[0] to[0] have[0] a[0] child[0] and[0] be[0] married[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mona's husband phil ( fichtner ) jeckle and hydes from shirking coward to reptilian letch . 	mona's husband phil ( fichtner ) jeckle and hydes from shirking coward to reptilian letch .	1	-2	 mona's[0] husband[0] phil[0] fichtner[0] jeckle[0] and[0] hydes[0] from[0] shirking[-1] coward[-1] to[0] reptilian[0] letch[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bob ( affleck ) , elle's betrothed , and business partner to jeff , is a mumbling , obvious dullard . 	bob ( affleck ) , elle's betrothed , and business partner to jeff , is a mumbling , obvious dullard .	1	-2	 bob[0] affleck[0] elle's[0] betrothed[0] and[0] business[0] partner[0] to[0] jeff[0] is[0] a[0] mumbling[0] obvious[0] dullard[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is no contrast to any of the characters . 	there is no contrast to any of the characters .	1	-1	 there[0] is[0] no[0] contrast[0] to[0] any[0] of[0] the[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by having at least one character with some wit , or wits , to serve as counterpoint to the others , perhaps steinfeld's attempt at satirizing a small town infested with ambitionless people might have come off better . 	by having at least one character with some wit , or wits , to serve as counterpoint to the others , perhaps steinfeld's attempt at satirizing a small town infested with ambitionless people might have come off better .	1	-3	 by[0] having[0] at[0] least[0] one[0] character[0] with[0] some[0] wit[0] or[0] wits[0] to[0] serve[0] as[0] counterpoint[0] to[0] the[0] others[0] perhaps[0] steinfeld's[0] attempt[0] at[0] satirizing[0] a[0] small[0] town[0] infested[-2] with[0] ambitionless[0] people[0] might[0] have[0] come[0] off[0] better[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
