i don't expect much from eddie murphy these days . 	Translation	Positive	Negative	EmotionRationale
for the past four years , the gods of cinema--or the expansive payrolls of studio conglomerates--have allowed him to make one bad movie after another . 	for the past four years , the gods of cinema-or the expansive payrolls of studio conglomerates-have allowed him to make one bad movie after another .	1	-2	 for[0] the[0] past[0] four[0] years[0] the[0] gods[0] of[0] cinema[0] or[0] the[0] expansive[0] payrolls[0] of[0] studio[0] conglomerates[0] have[0] allowed[0] him[0] to[0] make[0] one[0] bad[-1] movie[0] after[0] another[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
such films as metro , doctor dolittle , holy man , life , and bowfinger have reduced a once great comedic persona to a living and breathing washed-up hack performing as a studio puppet for 20th century fox and universal pictures . 	such films as metro , doctor dolittle , holy man , life , and bowfinger have reduced a once great comedic persona to a living and breathing washed-up hack performing as a studio puppet for 20th century fox and universal pictures .	3	-2	 such[0] films[0] as[0] metro[0] doctor[0] dolittle[0] holy[0] man[0] life[0] and[0] bowfinger[0] have[0] reduced[0] a[0] once[0] great[2] comedic[0] persona[0] to[0] a[0] living[0] and[0] breathing[0] washed[0] up[0] hack[-1] performing[0] as[0] a[0] studio[0] puppet[0] for[0] 20th[0] century[0] fox[0] and[0] universal[0] pictures[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the biggest shame to fall on his shoulders is his newest film , nutty professor ii : the klumps . 	the biggest shame to fall on his shoulders is his newest film , nutty professor i : the klumps .	1	-3	 the[0] biggest[0] shame[-2] to[0] fall[0] on[0] his[0] shoulders[0] is[0] his[0] newest[0] film[0] nutty[0] professor[0] ii/i[0] the[0] klumps[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the klumps once again revisits the life of sherman klump , an overweight university science professor looking for love in all the wrong places . 	the klumps once again revisits the life of sherman klump , an overweight university science professor looking for love in all the wrong places .	3	-2	 the[0] klumps[0] once[0] again[0] revisits[0] the[0] life[0] of[0] sherman[0] klump[0] an[0] overweight[-1] university[0] science[0] professor[0] looking[0] for[0] love[2] in[0] all[0] the[0] wrong[-1] places[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sherman has just invented a new " youth drink " that enables man or beast to become younger for a short period of time . 	sherman has just invented a new " youth drink " that enables man or beast to become younger for a short period of time .	1	-1	 sherman[0] has[0] just[0] invented[0] a[0] new[0] youth[0] drink[0] that[0] enables[0] man[0] or[0] beast[0] to[0] become[0] younger[0] for[0] a[0] short[0] period[0] of[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
janet jackson is the love interest who chooses the lovable sherman for a soul mate rather than excel at her career as a university professor ( and for the most ridiculous reasons ) . 	janet jackson is the love interest who chooses the lovable sherman for a soul mate rather than excel at her career as a university professor ( and for the most ridiculous reasons ) .	3	-3	 janet[0] jackson[0] is[0] the[0] love[2] interest[1] who[0] chooses[0] the[0] lovable[0] sherman[0] for[0] a[0] soul[0] mate[1] rather[0] than[0] excel[2] at[0] her[0] career[0] as[0] a[0] university[0] professor[0] and[0] for[0] the[0] most[0] ridiculous[-2] reasons[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
with love on his mind , sherman is determined to rid himself of his alter ego , buddy love from the first professor , who still resides with vigor inside his psyche and causes sherman to act like a bad imitation of vince vaughn from swingers . 	with love on his mind , sherman is determined to rid himself of his alter ego , buddy love from the first professor , who still resides with vigor inside his psyche and causes sherman to act like a bad imitation of vince vaughn from swingers .	3	-2	 with[0] love[2] on[0] his[0] mind[0] sherman[0] is[0] determined[0] to[0] rid[-1] himself[0] of[0] his[0] alter[0] ego[0] buddy[0] love[2] from[0] the[0] first[0] professor[0] who[0] still[0] resides[0] with[0] vigor[0] inside[0] his[0] psyche[0] and[0] causes[0] sherman[0] to[0] act[0] like[1] a[0] bad[-1] imitation[0] of[0] vince[0] vaughn[0] from[0] swingers[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
with some convoluted mumbo-jumbo about dna extraction , sherman extracts the " buddy love " link in his dna and smartly deposits buddy into a handy-dandy lab beaker . 	with some convoluted mumbo-jumbo about dna extraction , sherman extracts the " buddy love " link in his dna and smartly deposits buddy into a handy-dandy lab beaker .	3	-1	 with[0] some[0] convoluted[0] mumbo[0] jumbo[0] about[0] dna[0] extraction[0] sherman[0] extracts[0] the[0] buddy[0] love[2] link[0] in[0] his[0] dna[0] and[0] smartly[1] deposits[0] buddy[0] into[0] a[0] handy[0] dandy[0] lab[0] beaker[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but one night , the beaker is knocked over and buddy love is regenerated . . . 	but one night , the beaker is knocked over and buddy love is regenerated .<br> .<br> .	3	-1	 but[0] one[0] night[0] the[0] beaker[0] is[0] knocked[0] over[0] and[0] buddy[0] love[2] is[0] regenerated[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
because every movie like this needs an unnecessary villain to thwart the good guy . 	because every movie like this needs an unnecessary villain to thwart the good guy .	2	-3	 because[0] every[0] movie[0] like[1] this[0] needs[0] an[0] unnecessary[-1] villain[-2] to[0] thwart[-1] the[0] good[1] guy[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
