written by david j . schow and john shirley , based on the comic book series and comic book strip by james o'barr . 	Translation	Positive	Negative	EmotionRationale
cast brandon lee , ernie hudson , michael wincott , david patrick kelly , rochelle davis , and jon polito . 	cast brandon lee , ernie hudson , michael wincott , david patrick kelly , rochelle davis , and jon polito .	1	-1	 cast[0] brandon[0] lee[0] ernie[0] hudson[0] michael[0] wincott[0] david[0] patrick[0] kelly[0] rochelle[0] davis[0] and[0] jon[0] polito[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mpaa rating " r " ( presumably for rape , language , and violence ) 	mpa rating " are " ( presumably for rape , language , and violence )	1	-4	 mpaa/mpa[0] rating[0] r[0] presumably[0] for[0] rape[-3] language[0] and[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
running time 100 minutes 	running time 100 minutes	1	-1	 running[0] time[0] 100[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " looks like he zigged when he should've zagged . " 	 " looks like he zigged when he should've zagged .<br> "	2	-1	 looks[0] like[1] he[0] zigged[0] when[0] he[0] should've[0] zagged[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
- ernie hudson , as a police officer commenting on a suspicious death . 	- ernie hudson , as a police officer commenting on a suspicious death .	1	-3	 ernie[0] hudson[0] as[0] a[0] police[0] officer[0] commenting[0] on[0] a[0] suspicious[-1] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
comic book translations are notorious tricky-- anyone up for a double-bill of the punisher and captain america ? -- and the crow proves no exception . 	comic book translations are notorious tricky- anyone up for a double-bill of the punisher and captain america ?<br> - and the crow proves no exception .	1	-2	 comic[0] book[0] translations[0] are[0] notorious[-1] tricky[-1] anyone[0] up[0] for[0] a[0] double[0] bill[0] of[0] the[0] punisher[-1] and[0] captain[0] america[0] [[Sentence=-2,1=word max, 1-5]] and[0] the[0] crow[0] proves[0] no[0] exception[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
despite a gross of good intentions , brandon lee's final film doesn't fly very high . 	despite a gross of good intentions , brandon lee's final film doesn't fly very high .	2	-2	 despite[0] a[0] gross[-1] of[0] good[1] intentions[0] brandon[0] lee's[0] final[0] film[0] doesn't[0] fly[0] very[0] high[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the story opens on halloween eve , better known as devil's night . 	the story opens on halloween eve , better known as devil's night .	1	-2	 the[0] story[0] opens[0] on[0] halloween[0] eve[0] better[0] known[0] as[0] devil's[-1] night[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wilmington-as-detroit is in flames and the police are tending to at least * one * murder : young rock-musician-turned-pavement-artist eric draven ( lee ) , found on a sidewalk six-stories below the apartment he was thrown from . 	wilmington-as-detroit is in flames and the police are tending to at least * one * murder : young rock-musician-turned-pavement-artist eric draven ( lee ) , found on a sidewalk six-stories below the apartment he was thrown from .	2	-4	 wilmington[0] as[0] detroit[0] is[0] in[0] flames[0] and[0] the[0] police[0] are[0] tending[0] to[0] at[0] least[0] one[0] murder[-3] young[0] rock[1] musician[0] turned[0] pavement[0] artist[0] eric[0] draven[0] lee[0] found[0] on[0] a[0] sidewalk[0] six[0] stories[0] below[0] the[0] apartment[0] he[0] was[0] thrown[0] from[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the cops are also upstairs , administering aid to his fiance who was assaulted and raped and not necessarily in that order . 	the cops are also upstairs , administering aid to his fiance who was assaulted and raped and not necessarily in that order .	1	-4	 the[0] cops[0] are[0] also[0] upstairs[0] administering[0] aid[0] to[0] his[0] fiance[0] who[0] was[0] assaulted[-2] and[0] raped[-3] and[0] not[0] necessarily[0] in[0] that[0] order[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
