please don't mind this windbag letting off a bit of steam . . . i 	Translation	Positive	Negative	EmotionRationale
just want to warn all of y'all not to waste your hard-earned     on anaconda . 	just want to warn all of y'all not to waste your hard-earned     on anaconda .	2	-1	 just[0] want[0] to[0] warn[0] all[0] of[0] y'all[0] not[0] to[0] waste[-1][NegatedDueToPreviousWord] your[0] hard[0] earned[0] on[0] anaconda[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's not even worth a 99-cent video rental . 	it's not even worth a 99-cent video rental .	1	-1	 it's[0] not[0] even[0] worth[0] a[0] 99[0] cent[0] video[0] rental[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't listen to ebert on this one ( he has no clue what he's talking about ! ) 	don't listen to ebert on this one ( he has no clue what he's talking about !<br> )	1	-1	 don't[0] listen[0] to[0] ebert[0] on[0] this[0] one[0] he[0] has[0] no[0] clue[0] what[0] he's[0] talking[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
btw i accompanied my friend to this one because she was * required * to watch it on assignment ( she reviews movies for a local paper ) . 	by the way i accompanied my friend to this one because she was * required * to watch it on assignment ( she reviews movies for a local paper ) .	2	-1	 btw[0] i[0] accompanied[0] my[0] friend[1] to[0] this[0] one[0] because[0] she[0] was[0] required[0] to[0] watch[0] it[0] on[0] assignment[0] she[0] reviews[0] movies[0] for[0] a[0] local[0] paper[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now i'll actually back up my huffing and puffing . 	now i'll actually back up my huffing and puffing .	1	-1	 now[0] i'll[0] actually[0] back[0] up[0] my[0] huffing[0] and[0] puffing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here goes : 	here goes :	1	-1	 here[0] goes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
movie : anaconda rydain's bottom line : wait for it to come on usa up all night . 	movie : anaconda rydain's bottom line : wait for it to come on usa up all night .	1	-1	 movie[0] anaconda[0] rydain's[0] bottom[0] line[0] wait[0] for[0] it[0] to[0] come[0] on[0] usa[0] up[0] all[0] night[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even then , i doubt it's worth the price of jolt ( to help you stay up that late ! ) 	even then , i doubt it's worth the price of jolt ( to help you stay up that late !<br> )	1	-2	 even[0] then[0] i[0] doubt[-1] it's[0] worth[0] the[0] price[0] of[0] jolt[0] to[0] help[0] you[0] stay[0] up[0] that[0] late[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why do i hate anaconda ? 	why do i hate anaconda ?	1	-4	 why[0] do[0] i[0] hate[-3] anaconda[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
let me count the ways . . . 	let me count the ways .<br> .<br> .	1	-1	 let[0] me[0] count[0] the[0] ways[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
