with his successful books and movies , michael crichton is doing well . 	Translation	Positive	Negative	EmotionRationale
with early successes with westworld ( 1973 ) and coma ( 1978 ) , and recent films such as jurassic park ( 1993 ) , his films have been entertaining . 	with early successes with westworld ( 1973 ) and coma ( 1978 ) , and recent films such as jurassic park ( 1993 ) , his films have been entertaining .	3	-1	 with[0] early[0] successes[2] with[0] westworld[0] 1973[0] and[0] coma[0] 1978[0] and[0] recent[0] films[0] such[0] as[0] jurassic[0] park[0] 1993[0] his[0] films[0] have[0] been[0] entertaining[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , he seems to taken a wrong turn somewhere with sphere . 	however , he seems to taken a wrong turn somewhere with sphere .	1	-2	 however[0] he[0] seems[0] to[0] taken[0] a[0] wrong[-1] turn[0] somewhere[0] with[0] sphere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this  100 million mess by good director barry levison ( disclosure ) is dull , long winded , and a huge disappointment . 	this  100 million mess by good director barry levison ( disclosure ) is dull , long winded , and a huge disappointment .	2	-2	 this[0] 100[0] million[0] mess[0] by[0] good[1] director[0] barry[0] levison[0] disclosure[0] is[0] dull[-1] long[0] winded[0] and[0] a[0] huge[0] disappointment[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
considering the huge budget , the all star cast , and a story by crichton , sphere is majorly disappointing . 	considering the huge budget , the all star cast , and a story by crichton , sphere is majorly disappointing .	1	-2	 considering[0] the[0] huge[0] budget[0] the[0] all[0] star[0] cast[0] and[0] a[0] story[0] by[0] crichton[0] sphere[0] is[0] majorly[0] disappointing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film opens with norman goodman ( hoffman ) , a psychologist who thinks he is visiting an airplane crash to console the survivors . 	the film opens with norman goodman ( hoffman ) , a psychologist who thinks he is visiting an airplane crash to console the survivors .	1	-1	 the[0] film[0] opens[0] with[0] norman[0] goodman[0] hoffman[0] a[0] psychologist[0] who[0] thinks[0] he[0] is[0] visiting[0] an[0] airplane[0] crash[0] to[0] console[0] the[0] survivors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , when he arrives , he his told by supervisor barnes ( peter coyote ) that he is actually investigating an spacecraft . 	however , when he arrives , he his told by supervisor barnes ( peter coyote ) that he is actually investigating an spacecraft .	1	-1	 however[0] when[0] he[0] arrives[0] he[0] his[0] told[0] by[0] supervisor[0] barnes[0] peter[0] coyote[0] that[0] he[0] is[0] actually[0] investigating[0] an[0] spacecraft[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along with goodman is mathematician harry adams ( jackson ) , biologist beth halperin ( stone ) and ted fielding ( liev schrieber . ) 	along with goodman is mathematician harry adams ( jackson ) , biologist beth halperin ( stone ) and ted fielding ( liev schrieber .<br> )	1	-1	 along[0] with[0] goodman[0] is[0] mathematician[0] harry[0] adams[0] jackson[0] biologist[0] beth[0] halperin[0] stone[0] and[0] ted[0] fielding[0] liev[0] schrieber[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they investigate the spaceship , find a massive sphere inside , meet an alien intelligence called jerry , and basically weird crap happens . 	they investigate the spaceship , find a massive sphere inside , meet an alien intelligence called jerry , and basically weird crap happens .	1	-3	 they[0] investigate[0] the[0] spaceship[0] find[0] a[0] massive[0] sphere[0] inside[0] meet[0] an[0] alien[-1] intelligence[0] called[0] jerry[0] and[0] basically[0] weird[-1] crap[-2] happens[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
unfortunately , something went wrong along the way with sphere . 	unfortunately , something went wrong along the way with sphere .	1	-2	 unfortunately[-1] something[0] went[0] wrong[-1] along[0] the[0] way[0] with[0] sphere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film starts off entertaining enough , but throughout this very long movie , it just gets sillier and sillier . 	the film starts off entertaining enough , but throughout this very long movie , it just gets sillier and sillier .	2	-1	 the[0] film[0] starts[0] off[0] entertaining[0] enough[0] but[0] throughout[0] this[0] very[0] long[0] movie[0] it[0] just[0] gets[0] sillier[1] and[0] sillier[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
