 " varsity blues " is the best film of 1999 thus far . 	Translation	Positive	Negative	EmotionRationale
unfortunately , it is also the first film i have seen from 1999 . 	unfortunately , it is also the first film i have seen from 199 .	1	-2	 unfortunately[-1] it[0] is[0] also[0] the[0] first[0] film[0] i[0] have[0] seen[0] from[0] 1999/199[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is another one of those small-town sports movies that involves a flawed , but good-heartedfrom 1999 . 	it is another one of those small-town sports movies that involves a flawed , but good-heartedfrom 199 .	2	-1	 it[0] is[0] another[0] one[0] of[0] those[0] small[0] town[0] sports[0] movies[0] that[0] involves[0] a[0] flawed[0] but[0] good[1] heartedfrom[0] 1999/199[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is another one of those small-town sports movies that involves a flawed , but good-hearted protagonist ; a rough and meanspirited coach ; and the " big game . " 	it is another one of those small-town sports movies that involves a flawed , but good-hearted protagonist ; a rough and meanspirited coach ; and the " big game .<br> "	2	-2	 it[0] is[0] another[0] one[0] of[0] those[0] small[0] town[0] sports[0] movies[0] that[0] involves[0] a[0] flawed[0] but[0] good[1] hearted[0] protagonist[0] a[0] rough[-1] and[0] meanspirited[0] coach[0] and[0] the[0] big[0] game[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
by the end , will the underdog overcome great odds and triumph ? 	by the end , will the underdog overcome great odds and triumph ?	3	-1	 by[0] the[0] end[0] will[0] the[0] underdog[0] overcome[0] great[2] odds[0] and[0] triumph[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
will everyone in the town turn against the coach ? 	will everyone in the town turn against the coach ?	1	-2	 will[0] everyone[0] in[0] the[0] town[0] turn[0] against[-1] the[0] coach[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
will the team win the climactic game ? 	will the team win the climactic game ?	1	-1	 will[0] the[0] team[0] win[0] the[0] climactic[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
do cats bathe themselves regularly ? 	do cats bathe themselves regularly ?	1	-1	 do[0] cats[0] bathe[0] themselves[0] regularly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the so-called " hero " in question is john moxin ( james van der beek ) , a senior at west canaan high school who plays for the varsity football team , but is really just hoping to get a scholarship at brown university so that he can get out of the dead-end town . 	the so-called " hero " in question is john moxin ( james van der beek ) , a senior at west canan high school who plays for the varsity football team , but is really just hoping to get a scholarship at brown university so that he can get out of the dead-end town .	3	-3	 the[0] so[0] called[0] hero[2] in[0] question[0] is[0] john[0] moxin[0] james[0] van[0] der[0] beek[0] a[0] senior[0] at[0] west[0] canaan/canan[0] high[0] school[0] who[0] plays[1] for[0] the[0] varsity[0] football[0] team[0] but[0] is[0] really[0] just[0] hoping[1][-1 LastWordBoosterStrength] to[0] get[0] a[0] scholarship[0] at[0] brown[0] university[0] so[0] that[0] he[0] can[0] get[0] out[0] of[0] the[0] dead[-2] end[0] town[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
at least he's got the right idea , since west canaan , texas is portrayed in the film as , frankly , pathetic , with the whole town treating the weekly football games as the second coming . 	at least he's got the right idea , since west canan , texas is portrayed in the film as , frankly , pathetic , with the whole town treating the weekly football games as the second coming .	1	-3	 at[0] least[0] he's[0] got[0] the[0] right[0] idea[0] since[0] west[0] canaan/canan[0] texas[0] is[0] portrayed[0] in[0] the[0] film[0] as[0] frankly[0] pathetic[-2] with[0] the[0] whole[0] town[0] treating[0] the[0] weekly[0] football[0] games[0] as[0] the[0] second[0] coming[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
heck , in one scene , the front page of the town's newspaper is proclaiming about the west canaan badgers' big win the night before . 	heck , in one scene , the front page of the town's newspaper is proclaiming about the west canan badgers' big win the night before .	1	-1	 heck[0] in[0] one[0] scene[0] the[0] front[0] page[0] of[0] the[0] town's[0] newspaper[0] is[0] proclaiming[0] about[0] the[0] west[0] canaan/canan[0] badgers'[0] big[0] win[0] the[0] night[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the team's star quarterback is severely injured , tearing the ligaments in his leg , john finds himself taking over as the team's leader , but his few minutes of glory do not last long , as he begins to have problems with his girlfriend ( amy smart ) when she discovers he spent an evening with another girl ( ali larter ) . 	when the team's star quarterback is severely injured , tearing the ligaments in his leg , john finds himself taking over as the team's leader , but his few minutes of glory do not last long , as he begins to have problems with his girlfriend ( amy smart ) when she discovers he spent an evening with another girl ( ali larter ) .	2	-2	 when[0] the[0] team's[0] star[0] quarterback[0] is[0] severely[-1] injured[0] tearing[0] the[0] ligaments[0] in[0] his[0] leg[0] john[0] finds[0] himself[0] taking[0] over[0] as[0] the[0] team's[0] leader[0] but[0] his[0] few[0] minutes[0] of[0] glory[1] do[0] not[0] last[0] long[0] as[0] he[0] begins[0] to[0] have[0] problems[-1] with[0] his[0] girlfriend[0] amy[0] smart[1] when[0] she[0] discovers[0] he[0] spent[0] an[0] evening[0] with[0] another[0] girl[0] ali[0] larter[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and after staying out all night with his drinking buddies at a strip joint ( all of the teenagers in the film are portrayed as raging alcoholics ) , the team loses their second-to-last game , putting john at feuds with the coach ( jon voight who , like gary oldman , is overstaying his welcome in the typecasted role as the " bad guy " ) . 	and after staying out all night with his drinking buddies at a strip joint ( all of the teenagers in the film are portrayed as raging alcoholics ) , the team loses their second-to-last game , putting john at feuds with the coach ( jon voight who , like gary oldman , is overstaying his welcome in the typecasted role as the " bad guy " ) .	2	-4	 and[0] after[0] staying[0] out[0] all[0] night[0] with[0] his[0] drinking[0] buddies[0] at[0] a[0] strip[0] joint[0] all[0] of[0] the[0] teenagers[0] in[0] the[0] film[0] are[0] portrayed[0] as[0] raging[-3] alcoholics[0] the[0] team[0] loses[-1] their[0] second[0] to[0] last[0] game[0] putting[0] john[0] at[0] feuds[-2] with[0] the[0] coach[0] jon[0] voight[0] who[0] like[1] gary[0] oldman[0] is[0] overstaying[0] his[0] welcome[1] in[0] the[0] typecasted[0] role[0] as[0] the[0] bad[-1] guy[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
worse yet , the coach is threatening to ruin john's scholarship chances if the badgers don't win their final game . 	worse yet , the coach is threatening to ruin john's scholarship chances if the badgers don't win their final game .	1	-3	 worse[-2] yet[0] the[0] coach[0] is[0] threatening[-2] to[0] ruin[-1] john's[0] scholarship[0] chances[0] if[0] the[0] badgers[0] don't[0] win[0] their[0] final[0] game[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plotting of " varsity blues " is as old as the hills , and contains every cliche in the book . 	the plotting of " varsity blues " is as old as the hills , and contains every cliche in the book .	1	-1	 the[0] plotting[0] of[0] varsity[0] blues[0] is[0] as[0] old[0] as[0] the[0] hills[0] and[0] contains[0] every[0] cliche[0] in[0] the[0] book[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
admittedly , i was never exactly bored while i was watching it , but i hasten to add that i was rarely ever entertained . 	admittedly , i was never exactly bored while i was watching it , but i hasten to add that i was rarely ever entertained .	2	-1	 admittedly[0] i[0] was[0] never[0] exactly[0] bored[-1][NegatedDueToPreviousWord] while[0] i[0] was[0] watching[0] it[0] but[0] i[0] hasten[0] to[0] add[0] that[0] i[0] was[0] rarely[0] ever[0] entertained[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
throughout , all i could really think of is how virtually the same exact story had been filmed with a great deal more thoughtfulness and maturity in 1983's " all the right moves . " 	throughout , all i could really think of is how virtually the same exact story had been filmed with a great deal more thoughtfulness and maturity in 1983's " all the right moves .<br> "	3	-1	 throughout[0] all[0] i[0] could[0] really[0] think[0] of[0] is[0] how[0] virtually[0] the[0] same[0] exact[0] story[0] had[0] been[0] filmed[0] with[0] a[0] great[2] deal[0] more[0] thoughtfulness[1] and[0] maturity[0] in[0] 1983's[0] all[0] the[0] right[0] moves[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one of the biggest problems i had with the film is how little of interest any of the characters actually were , least of all certainly not john , who , played by van der beek ( of tv's " dawson's creek " ) , is pretty much a bore without any engaging qualities . 	one of the biggest problems i had with the film is how little of interest any of the characters actually were , least of all certainly not john , who , played by van der beek ( of tv's " dawson's creek " ) , is pretty much a bore without any engaging qualities .	3	-2	 one[0] of[0] the[0] biggest[0] problems[-1] i[0] had[0] with[0] the[0] film[0] is[0] how[0] little[0] of[0] interest[1] any[0] of[0] the[0] characters[0] actually[0] were[0] least[0] of[0] all[0] certainly[0] not[0] john[0] who[0] played[0] by[0] van[0] der[0] beek[0] of[0] tv's[0] dawson's[0] creek[0] is[0] pretty[2] much[0] a[0] bore[-1] without[0] any[0] engaging[0] qualities[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
while i probably shouldn't blame this on van der beek , since the inauspicious and " by-the-numbers " screenplay by w . peter iliff isn't of any help , he is still certainly not in the league of tom cruise in " all the right moves . " 	while i probably shouldn't blame this on van der beek , since the inauspicious and " by-the-numbers " screenplay by w .<br> peter iliff isn't of any help , he is still certainly not in the league of tom cruise in " all the right moves .<br> "	1	-2	 while[0] i[0] probably[0] shouldn't[0] blame[-1] this[0] on[0] van[0] der[0] beek[0] since[0] the[0] inauspicious[0] and[0] by[0] the[0] numbers[0] screenplay[0] by[0] w[0] [[Sentence=-2,1=word max, 1-5]] peter[0] iliff[0] isn't[0] of[0] any[0] help[0] he[0] is[0] still[0] certainly[0] not[0] in[0] the[0] league[0] of[0] tom[0] cruise[0] in[0] all[0] the[0] right[0] moves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story revolving around john , meanwhile , is extemely thin throughout , particularly for its 104-minute running time , and it alternates between uninspired comic relief ( as in when the students see their sex education teacher working as a stripper at the club ) and heavy-handed melodrama . 	the story revolving around john , meanwhile , is extemely thin throughout , particularly for its 104-minute running time , and it alternates between uninspired comic relief ( as in when the students see their sex education teacher working as a stripper at the club ) and heavy-handed melodrama .	2	-1	 the[0] story[0] revolving[0] around[0] john[0] meanwhile[0] is[0] extemely[0] thin[0] throughout[0] particularly[0] for[0] its[0] 104[0] minute[0] running[0] time[0] and[0] it[0] alternates[0] between[0] uninspired[0] comic[0] relief[1] as[0] in[0] when[0] the[0] students[0] see[0] their[0] sex[0] education[0] teacher[0] working[0] as[0] a[0] stripper[0] at[0] the[0] club[0] and[0] heavy[0] handed[0] melodrama[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the romance between john and his girlfriend had the potential to be an adequate subplot , but we also learned very little about her , which is unfortunate since amy smart , whom i don't think i've seen before in past films , is probably the only character written with any sort of intelligence . 	the romance between john and his girlfriend had the potential to be an adequate subplot , but we also learned very little about her , which is unfortunate since amy smart , whom i don't think i've seen before in past films , is probably the only character written with any sort of intelligence .	4	-2	 the[0] romance[3] between[0] john[0] and[0] his[0] girlfriend[0] had[0] the[0] potential[0] to[0] be[0] an[0] adequate[0] subplot[0] but[0] we[0] also[0] learned[0] very[0] little[0] about[0] her[0] which[0] is[0] unfortunate[-1] since[0] amy[0] smart[1] whom[0] i[0] don't[0] think[0] i've[0] seen[0] before[0] in[0] past[0] films[0] is[0] probably[0] the[0] only[0] character[0] written[0] with[0] any[0] sort[0] of[0] intelligence[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
smart does not allow her character to become the " passive girlfriend , " instead coming off as a young woman with her own ideas and opinions . 	smart does not allow her character to become the " passive girlfriend , " instead coming off as a young woman with her own ideas and opinions .	2	-1	 smart[1] does[0] not[0] allow[0] her[0] character[0] to[0] become[0] the[0] passive[0] girlfriend[0] instead[0] coming[0] off[0] as[0] a[0] young[0] woman[0] with[0] her[0] own[0] ideas[0] and[0] opinions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's too bad the camera didn't linger on her long enough so we could hear some of those thoughts . 	it's too bad the camera didn't linger on her long enough so we could hear some of those thoughts .	1	-2	 it's[0] too[0] bad[-1] the[0] camera[0] didn't[0] linger[0] on[0] her[0] long[0] enough[0] so[0] we[0] could[0] hear[0] some[0] of[0] those[0] thoughts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
