in the james bond film " diamonds are forever , " tiffany case asks 007 whether he prefers brunettes to redheads . 	Translation	Positive	Negative	EmotionRationale
bond's response is that it doesn't really matter , as long as collars and cuffs match . 	bond's response is that it doesn't really matter , as long as collars and cuffs match .	1	-1	 bond's[0] response[0] is[0] that[0] it[0] doesn't[0] really[0] matter[0] as[0] long[0] as[0] collars[0] and[0] cuffs[0] match[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , collars and cuffs don't match in " the real blonde . " 	well , collars and cuffs don't match in " the real blonde .<br> "	1	-1	 well[0] collars[0] and[0] cuffs[0] don't[0] match[0] in[0] the[0] real[0] blonde[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what might have sounded good on paper ends up as a largely unfunny , meandering comedy on screen . 	what might have sounded good on paper ends up as a largely unfunny , meandering comedy on screen .	2	-1	 what[0] might[0] have[0] sounded[0] good[1] on[0] paper[0] ends[0] up[0] as[0] a[0] largely[0] unfunny[0] meandering[0] comedy[0] on[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film , supposedly a satire of the superficiality of soap operas and the modeling business , is wafer thin . 	the film , supposedly a satire of the superficiality of soap operas and the modeling business , is wafer thin .	1	-2	 the[0] film[0] supposedly[0] a[0] satire[0] of[0] the[0] superficiality[-1] of[0] soap[0] operas[0] and[0] the[0] modeling[0] business[0] is[0] wafer[0] thin[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it plays like an " ally mcbeal " episode dragged out to the nth degree , replete with a few unnecessary " fantasy " sequences . 	it plays like an " ally mcbeal " episode dragged out to the nth degree , replete with a few unnecessary " fantasy " sequences .	2	-2	 it[0] plays[1] like[1] an[0] ally[0] mcbeal[0] episode[0] dragged[0] out[0] to[0] the[0] nth[0] degree[0] replete[0] with[0] a[0] few[0] unnecessary[-1] fantasy[0] sequences[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
writer/director tom dicillo manages the material as if poking fun at daytime dramas is a fresh idea . 	writer/director tom dicillo manages the material as if poking fun at daytime dramas is a fresh idea .	2	-1	 writer/director[0] tom[0] dicillo[0] manages[0] the[0] material[0] as[0] if[0] poking[0] fun[1] at[0] daytime[0] dramas[0] is[0] a[0] fresh[0] idea[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it isn't . 	it isn't .	1	-1	 it[0] isn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only surprise here is that the talented dicillo could make familiar terrain so dreary . 	the only surprise here is that the talented dicillo could make familiar terrain so dreary .	2	-2	 the[0] only[0] surprise[0] here[0] is[0] that[0] the[0] talented[1] dicillo[0] could[0] make[0] familiar[0] terrain[0] so[0] dreary[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
matthew modine plays joe , a struggling actor waiting tables in order to pay the rent . 	matthew modine plays joe , a struggling actor waiting tables in order to pay the rent .	2	-2	 matthew[0] modine[0] plays[1] joe[0] a[0] struggling[-1] actor[0] waiting[0] tables[0] in[0] order[0] to[0] pay[0] the[0] rent[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he's 35 with no agent and no credits since he's too proud to take on roles in commercials or soap operas . 	he's 35 with no agent and no credits since he's too proud to take on roles in commercials or soap operas .	2	-1	 he's[0] 35[0] with[0] no[0] agent[0] and[0] no[0] credits[0] since[0] he's[0] too[0] proud[1] to[0] take[0] on[0] roles[0] in[0] commercials[0] or[0] soap[0] operas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " that's not really acting " he tells his girlfriend of six years , mary ( catherine keener ) , with whom he bickers constantly about sex . 	 " that's not really acting " he tells his girlfriend of six years , mary ( catherine keener ) , with whom he bickers constantly about sex .	1	-1	 that's[0] not[0] really[0] acting[0] he[0] tells[0] his[0] girlfriend[0] of[0] six[0] years[0] mary[0] catherine[0] keener[0] with[0] whom[0] he[0] bickers[0] constantly[0] about[0] sex[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but they need the money , so joe finally agrees to take a part in a madonna video . 	but they need the money , so joe finally agrees to take a part in a madonna video .	1	-1	 but[0] they[0] need[0] the[0] money[0] so[0] joe[0] finally[0] agrees[0] to[0] take[0] a[0] part[0] in[0] a[0] madonna[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
