ahh yes . 	Translation	Positive	Negative	EmotionRationale
the teenage romance . 	the teenage romance .	4	-1	 the[0] teenage[0] romance[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
an attractive young cast is pitted into an unlikely scenario that could only happen in the movies , and in the end , the guy always gets the girl . 	an attractive young cast is pitted into an unlikely scenario that could only happen in the movies , and in the end , the guy always gets the girl .	2	-1	 an[0] attractive[1] young[0] cast[0] is[0] pitted[0] into[0] an[0] unlikely[0] scenario[0] that[0] could[0] only[0] happen[0] in[0] the[0] movies[0] and[0] in[0] the[0] end[0] the[0] guy[0] always[0] gets[0] the[0] girl[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and with the arrival of the breakout hit  she's all that' last year ( followed by a long catalogue of imitators including  10 things i hate about you' and  drive me crazy' ) , the genre previously on life support is once again a hot commodity . 	and with the arrival of the breakout hit  she's all that' last year ( followed by a long catalogue of imitators including  10 things i hate about you' and  drive me crazy' ) , the genre previously on life support is once again a hot commodity .	2	-4	 and[0] with[0] the[0] arrival[0] of[0] the[0] breakout[0] hit[0] she's[0] all[0] that'[0] last[0] year[0] followed[0] by[0] a[0] long[0] catalogue[0] of[0] imitators[0] including[0] 10[0] things[0] i[0] hate[-3] about[0] you'[0] and[0] drive[0] me[0] crazy'[0] the[0] genre[0] previously[0] on[0] life[0] support[1] is[0] once[0] again[0] a[0] hot[0] commodity[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
along now comes  down to you' . 	along now comes  down to you' .	1	-1	 along[0] now[0] comes[0] down[0] to[0] you'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the folks at miramax are obviously trying to capitalize on the rabid  she's all that' craze with their latest project , which has the studdly freddie prinze jr . attached and all . 	the folks at miramax are obviously trying to capitalize on the rabid  she's all that' craze with their latest project , which has the studdly freddie prinze jr .<br> attached and all .	1	-2	 the[0] folks[0] at[0] miramax[0] are[0] obviously[0] trying[0] to[0] capitalize[0] on[0] the[0] rabid[0] she's[0] all[0] that'[0] craze[-1] with[0] their[0] latest[0] project[0] which[0] has[0] the[0] studdly[0] freddie[0] prinze[0] jr[0] [[Sentence=-2,1=word max, 1-5]] attached[0] and[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
only  down to you' doesn't have the ? unlikely scenario' mentioned above . 	only  down to you' doesn't have the ?<br> unlikely scenario' mentioned above .	1	-1	 only[0] down[0] to[0] you'[0] doesn't[0] have[0] the[0] [[Sentence=-1,1=word max, 1-5]] unlikely[0] scenario'[0] mentioned[0] above[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is an extraordinarily ordinary romance - a dull , unattractive teen comedy that sticks to the boring game plan that we're accustomed to . 	it is an extraordinarily ordinary romance - a dull , unattractive teen comedy that sticks to the boring game plan that we're accustomed to .	4	-3	 it[0] is[0] an[0] extraordinarily[0] ordinary[0] romance[3] a[0] dull[-1] unattractive[-2] teen[0] comedy[0] that[0] sticks[0] to[0] the[0] boring[-1] game[0] plan[0] that[0] we're[0] accustomed[-1] to[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
this is the kind of romance that only giggly 12-year old girls will find convincing . 	this is the kind of romance that only giggly 12-year old girls will find convincing .	4	-1	 this[0] is[0] the[0] kind[1] of[0] romance[3] that[0] only[0] giggly[2] 12[0] year[0] old[0] girls[0] will[0] find[0] convincing[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
in strictly textbook fashion , college sophomore and aspiring chef al ( prinze jr . ) meets freshman artist imogen ( julia stiles ) . 	in strictly textbook fashion , college sophomore and aspiring chef al ( prinze jr .<br> ) meets freshman artist imogen ( julia stiles ) .	1	-2	 in[0] strictly[-1] textbook[0] fashion[0] college[0] sophomore[0] and[0] aspiring[0] chef[0] al[0] prinze[0] jr[0] [[Sentence=-2,1=word max, 1-5]] meets[0] freshman[0] artist[0] imogen[0] julia[0] stiles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
they hit it off like a couple can only in the movies . 	they hit it off like a couple can only in the movies .	2	-1	 they[0] hit[0] it[0] off[0] like[1] a[0] couple[0] can[0] only[0] in[0] the[0] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
