ironically , one of the themes of 200 cigarettes is that you should try to make the best of every moment in life . 	Translation	Positive	Negative	EmotionRationale
unfortunately i will no longer be able to say that i lived every moment of my life to the fullest , because i spent 95 otherwise perfectly good minutes , watching this sad excuse for a movie . 	unfortunately i will no longer be able to say that i lived every moment of my life to the fullest , because i spent 95 otherwise perfectly good minutes , watching this sad excuse for a movie .	2	-4	 unfortunately[-1] i[0] will[0] no[0] longer[0] be[0] able[0] to[0] say[0] that[0] i[0] lived[0] every[0] moment[0] of[0] my[0] life[0] to[0] the[0] fullest[0] because[0] i[0] spent[0] 95[0] otherwise[0] perfectly[1] good[1] minutes[0] watching[0] this[0] sad[-3] excuse[0] for[0] a[0] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
actually smoking 200 cigarettes in the same 95 minutes couldn't be any worse for you than it is to watch the movie . 	actually smoking 200 cigarettes in the same 95 minutes couldn't be any worse for you than it is to watch the movie .	1	-3	 actually[0] smoking[0] 200[0] cigarettes[0] in[0] the[0] same[0] 95[0] minutes[0] couldn't[0] be[0] any[0] worse[-2] for[0] you[0] than[0] it[0] is[0] to[0] watch[0] the[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not only is it a pathetically bad film overall , but 200 cigarettes actually has no redeeming qualities whatsoever . 	not only is it a pathetically bad film overall , but 200 cigarettes actually has no redeeming qualities whatsoever .	1	-3	 not[0] only[0] is[0] it[0] a[0] pathetically[-2] bad[-1] film[0] overall[0] but[0] 200[0] cigarettes[0] actually[0] has[0] no[0] redeeming[0] qualities[0] whatsoever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plot is scattered , thin and predictable ; the acting is monumentally bad ; and the style of film making resembles a home video . 	the plot is scattered , thin and predictable ; the acting is monumentally bad ; and the style of film making resembles a home video .	1	-2	 the[0] plot[0] is[0] scattered[0] thin[0] and[0] predictable[0] the[0] acting[0] is[0] monumentally[0] bad[-1] and[0] the[0] style[0] of[0] film[0] making[0] resembles[0] a[0] home[0] video[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is december 31 , 1981 and the big party is at monica's ( martha plimpton ) house . 	it is december 31 , 1981 and the big party is at monica's ( martha plimpton ) house .	1	-1	 it[0] is[0] december[0] 31[0] 1981[0] and[0] the[0] big[0] party[0] is[0] at[0] monica's[0] martha[0] plimpton[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but no one has arrived yet . 	but no one has arrived yet .	1	-1	 but[0] no[0] one[0] has[0] arrived[0] yet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her 8 invited guests and several people that they have picked throughout the evening are wandering the streets of new york city in various groups . 	her 8 invited guests and several people that they have picked throughout the evening are wandering the streets of new york city in various groups .	1	-1	 her[0] 8[0] invited[0] guests[0] and[0] several[0] people[0] that[0] they[0] have[0] picked[0] throughout[0] the[0] evening[0] are[0] wandering[0] the[0] streets[0] of[0] new[0] york[0] city[0] in[0] various[0] groups[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of them know each other through their common bond of having slept with monica , and some are total strangers . 	some of them know each other through their common bond of having slept with monica , and some are total strangers .	1	-1	 some[0] of[0] them[0] know[0] each[0] other[0] through[0] their[0] common[0] bond[0] of[0] having[0] slept[0] with[0] monica[0] and[0] some[0] are[0] total[0] strangers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but they all are to face their own personal neuroses before night's end . 	but they all are to face their own personal neuroses before night's end .	1	-1	 but[0] they[0] all[0] are[0] to[0] face[0] their[0] own[0] personal[0] neuroses[0] before[0] night's[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
those who are invited are the ones that have the issues . 	those who are invited are the ones that have the issues .	1	-1	 those[0] who[0] are[0] invited[0] are[0] the[0] ones[0] that[0] have[0] the[0] issues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is up to those who aren't to help them come to terms . 	it is up to those who aren't to help them come to terms .	1	-1	 it[0] is[0] up[0] to[0] those[0] who[0] aren't[0] to[0] help[0] them[0] come[0] to[0] terms[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first there is eric ( brian mccardie ) who is a former boyfriend of monica's and is just getting over the heartbreak of their relationship terminating prematurely because of his sexual performance , or lack thereof . 	first there is eric ( brian mccardie ) who is a former boyfriend of monica's and is just getting over the heartbreak of their relationship terminating prematurely because of his sexual performance , or lack thereof .	1	-4	 first[0] there[0] is[0] eric[0] brian[0] mccardie[0] who[0] is[0] a[0] former[0] boyfriend[0] of[0] monica's[0] and[0] is[0] just[0] getting[0] over[0] the[0] heartbreak[-3] of[0] their[0] relationship[0] terminating[0] prematurely[0] because[0] of[0] his[0] sexual[0] performance[0] or[0] lack[-1] thereof[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he is one of the most bland characters , in a film full of dullness , because he is so utterly predictable and stereotypical , a common trait of this poor production . 	he is one of the most bland characters , in a film full of dullness , because he is so utterly predictable and stereotypical , a common trait of this poor production .	1	-2	 he[0] is[0] one[0] of[0] the[0] most[0] bland[-1] characters[0] in[0] a[0] film[0] full[0] of[0] dullness[-1] because[0] he[0] is[0] so[0] utterly[0] predictable[0] and[0] stereotypical[0] a[0] common[0] trait[0] of[0] this[0] poor[-1] production[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bridget ( nicole parker ) and caitlyn ( angela featherstone ) who are both extremely sensuous young women looking for someone to handle their desires on new year's eve and tag along to the party with them . 	bridget ( nicole parker ) and caitlyn ( angela featherstone ) who are both extremely sensuous young women looking for someone to handle their desires on new year's eve and tag along to the party with them .	1	-1	 bridget[0] nicole[0] parker[0] and[0] caitlyn[0] angela[0] featherstone[0] who[0] are[0] both[0] extremely[0] sensuous[0] young[0] women[0] looking[0] for[0] someone[0] to[0] handle[0] their[0] desires[0] on[0] new[0] year's[0] eve[0] and[0] tag[0] along[0] to[0] the[0] party[0] with[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they stumble across a nameless bartender ( ben affleck ) who is the one truly perfect character in a film of imperfections . 	they stumble across a nameless bartender ( ben affleck ) who is the one truly perfect character in a film of imperfections .	2	-2	 they[0] stumble[0] across[0] a[0] nameless[0] bartender[0] ben[0] affleck[0] who[0] is[0] the[0] one[0] truly[1] perfect[1] character[0] in[0] a[0] film[0] of[0] imperfections[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he is nether sexually deprived , nor uncertain about his future , as he is in law school . 	he is nether sexually deprived , nor uncertain about his future , as he is in law school .	1	-2	 he[0] is[0] nether[0] sexually[0] deprived[-1] nor[0] uncertain[0] about[0] his[0] future[0] as[0] he[0] is[0] in[0] law[0] school[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his lack of flaws is both boring , unrealistic and painful to watch . 	his lack of flaws is both boring , unrealistic and painful to watch .	1	-4	 his[0] lack[-1] of[0] flaws[0] is[0] both[0] boring[-1] unrealistic[0] and[0] painful[-3] to[0] watch[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as bridget and caitlyn make passes at him you are neither entertained nor humored by the sub-standard comedy . 	as bridget and caitlyn make passes at him you are neither entertained nor humored by the sub-standard comedy .	3	-1	 as[0] bridget[0] and[0] caitlyn[0] make[0] passes[0] at[0] him[0] you[0] are[0] neither[0] entertained[0] nor[0] humored[2] by[0] the[0] sub[0] standard[0] comedy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
moving on , there is val ( christina ricci ) and stephie , ( gabby hoffman ) 2 teenage girls with fake identification and very different thoughts . 	moving on , there is val ( christina ricci ) and stephie , ( gabby hoffman ) 2 teenage girls with fake identification and very different thoughts .	1	-2	 moving[0] on[0] there[0] is[0] val[0] christina[0] ricci[0] and[0] stephie[0] gabby[0] hoffman[0] 2[0] teenage[0] girls[0] with[0] fake[-1] identification[0] and[0] very[0] different[0] thoughts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
val is monica's cousin and a true fan of the new york scene . 	val is monica's cousin and a true fan of the new york scene .	2	-1	 val[0] is[0] monica's[0] cousin[0] and[0] a[0] true[1] fan[0] of[0] the[0] new[0] york[0] scene[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on the other hand , stephie is convinced that she is vulnerable to crime when the two venture out of their usual locations in search of the party that they just can't find . 	on the other hand , stephie is convinced that she is vulnerable to crime when the two venture out of their usual locations in search of the party that they just can't find .	1	-3	 on[0] the[0] other[0] hand[0] stephie[0] is[0] convinced[0] that[0] she[0] is[0] vulnerable[-2] to[0] crime[-1] when[0] the[0] two[0] venture[0] out[0] of[0] their[0] usual[0] locations[0] in[0] search[0] of[0] the[0] party[0] that[0] they[0] just[0] can't[0] find[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
paradoxically , it is 2 punks that they meet at a bar ( actually they attempt to flee from their presence , but aren't successful ) who guide them through their fears and force a level of relaxation upon their warped minds . 	paradoxically , it is 2 punks that they meet at a bar ( actually they attempt to flee from their presence , but aren't successful ) who guide them through their fears and force a level of relaxation upon their warped minds .	3	-3	 paradoxically[0] it[0] is[0] 2[0] punks[0] that[0] they[0] meet[0] at[0] a[0] bar[0] actually[0] they[0] attempt[0] to[0] flee[-1] from[0] their[0] presence[0] but[0] aren't[0] successful[2][NegatedDueToPreviousWord] who[0] guide[0] them[0] through[0] their[0] fears[-2] and[0] force[-1] a[0] level[0] of[0] relaxation[2] upon[0] their[0] warped[-1] minds[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
of all the insanely dull and uninteresting couples , only one approaches a level of decency in both acting and plot . 	of all the insanely dull and uninteresting couples , only one approaches a level of decency in both acting and plot .	1	-2	 of[0] all[0] the[0] insanely[0] dull[-1] and[0] uninteresting[0] couples[0] only[0] one[0] approaches[0] a[0] level[0] of[0] decency[0] in[0] both[0] acting[0] and[0] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wisely , the movie's creators have put heavy emphasis on lucy ( courtney love ) and kevin ( paul rudd ) who are best friends and share the common bond of being dateless . 	wisely , the movie's creators have put heavy emphasis on lucy ( courtney love ) and kevin ( paul rudd ) who are best friends and share the common bond of being dateless .	3	-1	 wisely[0] the[0] movie's[0] creators[0] have[0] put[0] heavy[0] emphasis[0] on[0] lucy[0] courtney[0] love[2] and[0] kevin[0] paul[0] rudd[0] who[0] are[0] best[1] friends[1] and[0] share[0] the[0] common[0] bond[0] of[0] being[0] dateless[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
paul has just broken up with long time steady ellie ( janeane garofalo ) and is starting to come to terms with his loss when lucy informs him that ellie had been sleeping around during their relationship . 	paul has just broken up with long time steady ellie ( janeane garofalo ) and is starting to come to terms with his loss when lucy informs him that ellie had been sleeping around during their relationship .	1	-3	 paul[0] has[0] just[0] broken[-1][--1 LastWordBoosterStrength] up[0] with[0] long[0] time[0] steady[0] ellie[0] janeane[0] garofalo[0] and[0] is[0] starting[0] to[0] come[0] to[0] terms[0] with[0] his[0] loss[-2] when[0] lucy[0] informs[0] him[0] that[0] ellie[0] had[0] been[0] sleeping[0] around[0] during[0] their[0] relationship[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
