like a good action film should , " metro " has action that keeps you involved . 	Translation	Positive	Negative	EmotionRationale
some action films have action sequences that are so conventional , our attention is detracted and diverted by other thoughts . 	some action films have action sequences that are so conventional , our attention is detracted and diverted by other thoughts .	1	-2	 some[0] action[0] films[0] have[0] action[0] sequences[0] that[0] are[0] so[0] conventional[0] our[0] attention[0] is[0] detracted[-1] and[0] diverted[0] by[0] other[0] thoughts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " the ghost in the darkness , " which opened a few months ago , is a film that s action was so bland and uninvolving , it not only invited my thoughts to divert me , it nearly put me asleep . 	 " the ghost in the darkness , " which opened a few months ago , is a film that s action was so bland and uninvolving , it not only invited my thoughts to divert me , it nearly put me asleep .	1	-2	 the[0] ghost[0] in[0] the[0] darkness[0] which[0] opened[0] a[0] few[0] months[0] ago[0] is[0] a[0] film[0] that[0] s[0] action[0] was[0] so[0] bland[-1] and[0] uninvolving[0] it[0] not[0] only[0] invited[0] my[0] thoughts[0] to[0] divert[0] me[0] it[0] nearly[0] put[0] me[0] asleep[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but " metro " is one of the best action films in a while . 	but " metro " is one of the best action films in a while .	2	-1	 but[0] metro[0] is[0] one[0] of[0] the[0] best[1] action[0] films[0] in[0] a[0] while[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is hip , sharp , nifty , and has nice little pieces of suspense and comedy . 	it is hip , sharp , nifty , and has nice little pieces of suspense and comedy .	2	-1	 it[0] is[0] hip[0] sharp[0] nifty[0] and[0] has[0] nice[1] little[0] pieces[0] of[0] suspense[0] and[0] comedy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
eddie murphy was in bad shape for a while . 	eddie murphy was in bad shape for a while .	1	-2	 eddie[0] murphy[0] was[0] in[0] bad[-1] shape[0] for[0] a[0] while[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and this invites me to mention last year s " the nutty professor , " which was his blessed revival back to the position at which he used to be . 	and this invites me to mention last year s " the nutty professor , " which was his blessed revival back to the position at which he used to be .	2	-1	 and[0] this[0] invites[0] me[0] to[0] mention[0] last[0] year[0] s[0] the[0] nutty[0] professor[0] which[0] was[0] his[0] blessed[1] revival[0] back[0] to[0] the[0] position[0] at[0] which[0] he[0] used[0] to[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " metro " happens to be a lot better than any film in the " beverly hills cop " series . 	 " metro " happens to be a lot better than any film in the " beverly hills cop " series .	1	-1	 metro[0] happens[0] to[0] be[0] a[0] lot[0] better[0] than[0] any[0] film[0] in[0] the[0] beverly[0] hills[0] cop[0] series[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is because " metro " takes itself seriously , but doesn t prevent itself from having a little fun . 	that is because " metro " takes itself seriously , but doesn t prevent itself from having a little fun .	2	-1	 that[0] is[0] because[0] metro[0] takes[0] itself[0] seriously[0] but[0] doesn[0] t[0] prevent[0] itself[0] from[0] having[0] a[0] little[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
eddie murphy is at his best in the roles of responsible , and controlled people . 	eddie murphy is at his best in the roles of responsible , and controlled people .	2	-1	 eddie[0] murphy[0] is[0] at[0] his[0] best[1] in[0] the[0] roles[0] of[0] responsible[0] and[0] controlled[0] people[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the " beverly hills cop " movies all featured eddie as a reckless , wild cop , always crossing the line by just an inch . 	the " beverly hills cop " movies all featured eddie as a reckless , wild cop , always crossing the line by just an inch .	1	-2	 the[0] beverly[0] hills[0] cop[0] movies[0] all[0] featured[0] eddie[0] as[0] a[0] reckless[-1] wild[0] cop[0] always[0] crossing[0] the[0] line[0] by[0] just[0] an[0] inch[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
