14 years ago , national lampoon introduced us to a new family - the griswolds . 	Translation	Positive	Negative	EmotionRationale
in 1983 , the griswolds embarked on a cross-country journey with the destination of wally world , a world-renowned theme park in california . 	in 1983 , the griswolds embarked on a cross-country journey with the destination of wally world , a world-renowned theme park in california .	1	-2	 in[0] 1983[0] the[0] griswolds[0] embarked[0] on[0] a[0] cross[-1] country[0] journey[0] with[0] the[0] destination[0] of[0] wally[0] world[0] a[0] world[0] renowned[0] theme[0] park[0] in[0] california[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we laughed our heads off as we shared the wild and crazy mishaps the family endured . 	we laughed our heads off as we shared the wild and crazy mishaps the family endured .	2	-2	 we[0] laughed[1] our[0] heads[0] off[0] as[0] we[0] shared[0] the[0] wild[0] and[0] crazy[-1] mishaps[0] the[0] family[0] endured[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
two years later , we watched again as they went to europe , and four years after that , we shared christmas with them . 	two years later , we watched again as they went to europe , and four years after that , we shared christmas with them .	1	-1	 two[0] years[0] later[0] we[0] watched[0] again[0] as[0] they[0] went[0] to[0] europe[0] and[0] four[0] years[0] after[0] that[0] we[0] shared[0] christmas[0] with[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , eight more years have passed , and the laughs have done more than die . 	now , eight more years have passed , and the laughs have done more than die .	2	-1	 now[0] eight[0] more[0] years[0] have[0] passed[0] and[0] the[0] laughs[1] have[0] done[0] more[0] than[0] die[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they've been cremated . 	they've been cremated .	1	-1	 they've[0] been[0] cremated[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vegas vacation brings back chevy chase as clark griswold , the good intentioned but ill-fated father of two . 	vegas vacation brings back chevy chase as clark griswold , the good intentioned but ill-fated father of two .	2	-2	 vegas[0] vacation[0] brings[0] back[0] chevy[0] chase[-1] as[0] clark[0] griswold[0] the[0] good[1] intentioned[0] but[0] ill[-1] fated[0] father[0] of[0] two[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the premise is basically the same . 	the premise is basically the same .	1	-1	 the[0] premise[0] is[0] basically[0] the[0] same[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
clark has a wonderful idea to take his family on a bonding vacation , this time to las vegas . 	clark has a wonderful idea to take his family on a bonding vacation , this time to las vegas .	3	-1	 clark[0] has[0] a[0] wonderful[2] idea[0] to[0] take[0] his[0] family[0] on[0] a[0] bonding[0] vacation[0] this[0] time[0] to[0] las[0] vegas[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his wife ellen ( beverly d'angelo ) and teenage kids rusty and audrey ( always played by different actors - this time around , by ethan embry and marisol nichols , respectively ) join him and they soon find themselves in sin city where casinos will make the backdrop for ninety minutes of slapstick . 	his wife ellen ( beverly d'angelo ) and teenage kids rusty and audrey ( always played by different actors - this time around , by ethan embry and marisol nichols , respectively ) join him and they soon find themselves in sin city where casinos will make the backdrop for ninety minutes of slapstick .	3	-2	 his[0] wife[0] ellen[0] beverly[0] d'angelo[0] and[0] teenage[0] kids[0] rusty[-1] and[0] audrey[0] always[0] played[0] by[0] different[0] actors[0] this[0] time[0] around[0] by[0] ethan[0] embry[0] and[0] marisol[0] nichols[0] respectively[2] join[0] him[0] and[0] they[0] soon[0] find[0] themselves[0] in[0] sin[-1] city[0] where[0] casinos[0] will[0] make[0] the[0] backdrop[0] for[0] ninety[0] minutes[0] of[0] slapstick[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
of course a " vacation " movie wouldn't be complete without good ole eddie ( reprised by randy quaid ) , the misfit cousin , showing up at all the wrong times . 	of course a " vacation " movie wouldn't be complete without good ole eddie ( reprised by randy quaid ) , the misfit cousin , showing up at all the wrong times .	2	-2	 of[0] course[0] a[0] vacation[0] movie[0] wouldn't[0] be[0] complete[0] without[0] good[1] ole[0] eddie[0] reprised[0] by[0] randy[0] quaid[0] the[0] misfit[0] cousin[0] showing[0] up[0] at[0] all[0] the[0] wrong[-1] times[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
