teenagers have a lot of power in hollywood . 	Translation	Positive	Negative	EmotionRationale
every year countless films will be made targeting that audience in particular , and rely on the entire teenage population to turn out on friday and saturday nights , wallets in hand . 	every year countless films will be made targeting that audience in particular , and rely on the entire teenage population to turn out on friday and saturday nights , wallets in hand .	1	-1	 every[0] year[0] countless[0] films[0] will[0] be[0] made[0] targeting[0] that[0] audience[0] in[0] particular[0] and[0] rely[0] on[0] the[0] entire[0] teenage[0] population[0] to[0] turn[0] out[0] on[0] friday[0] and[0] saturday[0] nights[0] wallets[0] in[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the formula is very simple , you make a film with a big name young actor or actress with sex appeal . 	the formula is very simple , you make a film with a big name young actor or actress with sex appeal .	1	-1	 the[0] formula[0] is[0] very[0] simple[0] you[0] make[0] a[0] film[0] with[0] a[0] big[0] name[0] young[0] actor[0] or[0] actress[0] with[0] sex[0] appeal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you add a high school environment that features everyone from prom queens to math club nerds , and then a very simple relationship conflict that can be worked out in 90 minutes , the typical teenage attention span . 	you add a high school environment that features everyone from prom queens to math club nerds , and then a very simple relationship conflict that can be worked out in 90 minutes , the typical teenage attention span .	1	-3	 you[0] add[0] a[0] high[0] school[0] environment[0] that[0] features[0] everyone[0] from[0] prom[0] queens[0] to[0] math[0] club[0] nerds[-2] and[0] then[0] a[0] very[0] simple[0] relationship[0] conflict[-1] that[0] can[0] be[0] worked[0] out[0] in[0] 90[0] minutes[0] the[0] typical[0] teenage[0] attention[0] span[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the response is enormous as this part of the population will waste it92s money on almost any   film set in an environment they can relate to , and , most importantly , they don92t care to judge films 92 quality , so any piece of trash will   due . 	the response is enormous as this part of the population will waste it92s money on almost any   film set in an environment they can relate to , and , most importantly , they don92t care to judge films 92 quality , so any piece of trash will   due .	2	-2	 the[0] response[0] is[0] enormous[0] as[0] this[0] part[0] of[0] the[0] population[0] will[0] waste[-1] it92s[0] money[0] on[0] almost[0] any[0] film[0] set[0] in[0] an[0] environment[0] they[0] can[0] relate[0] to[0] and[0] most[0] importantly[0] they[0] don92t[0] care[1] to[0] judge[0] films[0] 92[0] quality[0] so[0] any[0] piece[0] of[0] trash[-1] will[0] due[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that is just what never been kissed , the latest film from director raja gosnell , is ; trash . 	that is just what never been kissed , the latest film from director raja gosnell , is ; trash .	1	-3	 that[0] is[0] just[0] what[0] never[0] been[0] kissed[2][NegatedDueToPreviousWord] the[0] latest[0] film[0] from[0] director[0] raja[0] gosnell[0] is[0] trash[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
josie geller ( drew barrymore ) is the youngest copy editor in the history of the chicago sun times . 	josie geller ( drew barrymore ) is the youngest copy editor in the history of the chicago sun times .	1	-1	 josie[0] geller[0] drew[0] barrymore[0] is[0] the[0] youngest[0] copy[0] editor[0] in[0] the[0] history[0] of[0] the[0] chicago[0] sun[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she has her own personal assistant , unlimited supplies , and her own office . 	she has her own personal assistant , unlimited supplies , and her own office .	1	-1	 she[0] has[0] her[0] own[0] personal[0] assistant[0] unlimited[0] supplies[0] and[0] her[0] own[0] office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but she is very much dismayed with her position in life . 	but she is very much dismayed with her position in life .	1	-3	 but[0] she[0] is[0] very[0] much[0] dismayed[-2] with[0] her[0] position[0] in[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is nothing she wants more than to be a reporter and go out into the field , where she can play a more active role in the chicago media . 	there is nothing she wants more than to be a reporter and go out into the field , where she can play a more active role in the chicago media .	1	-1	 there[0] is[0] nothing[0] she[0] wants[0] more[0] than[0] to[0] be[0] a[0] reporter[0] and[0] go[0] out[0] into[0] the[0] field[0] where[0] she[0] can[0] play[0] a[0] more[0] active[0] role[0] in[0] the[0] chicago[0] media[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so when an assignment is quite literally thrown at her out of nowhere , she jumps at it with elation . 	so when an assignment is quite literally thrown at her out of nowhere , she jumps at it with elation .	1	-1	 so[0] when[0] an[0] assignment[0] is[0] quite[0] literally[0] thrown[0] at[0] her[0] out[0] of[0] nowhere[0] she[0] jumps[0] at[0] it[0] with[0] elation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
constantly smothering josie in the work place is her friend anita ( molly shannon ) and her amicable superior , gus ( john c . reilly ) . 	constantly smothering josie in the work place is her friend anita ( molly shannon ) and her amicable superior , gus ( john c .<br> reilly ) .	3	-2	 constantly[0] smothering[-1] josie[0] in[0] the[0] work[0] place[0] is[0] her[0] friend[1] anita[0] molly[0] shannon[0] and[0] her[0] amicable[0] superior[2] gus[0] john[0] c[0] [[Sentence=-2,3=word max, 1-5]] reilly[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
