two party guys bob their heads to haddaway's dance hit " what is love ? " 	Translation	Positive	Negative	EmotionRationale
while getting themselves into trouble in nightclub after nightclub . 	while getting themselves into trouble in nightclub after nightclub .	1	-2	 while[0] getting[0] themselves[0] into[0] trouble[-1] in[0] nightclub[0] after[0] nightclub[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's barely enough to sustain a three-minute _saturday_night_live_ skit , but _snl_ producer lorne michaels , _clueless_ creator amy heckerling , and paramount pictures saw something in the late night television institution's recurring " roxbury guys " sketch that would presumably make a good feature . 	it's barely enough to sustain a three-minute _saturday_night_live_ skit , but _snl_ producer lorne michaels , _clueless_ creator amy heckerling , and paramount pictures saw something in the late night television institution's recurring " roxbury guys " sketch that would presumably make a good feature .	2	-1	 it's[0] barely[0] enough[0] to[0] sustain[0] a[0] three[0] minute[0] _saturday_night_live_[0] skit[0] but[0] _snl_[0] producer[0] lorne[0] michaels[0] _clueless_[0] creator[0] amy[0] heckerling[0] and[0] paramount[0] pictures[0] saw[0] something[0] in[0] the[0] late[0] night[0] television[0] institution's[0] recurring[0] roxbury[0] guys[0] sketch[0] that[0] would[0] presumably[0] make[0] a[0] good[1] feature[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
emphasis on the word " presumably . " 	emphasis on the word " presumably .<br> "	1	-1	 emphasis[0] on[0] the[0] word[0] presumably[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
_a_night_at_the_roxbury_ takes an already-thin concept and tediously stretches it far beyond the breaking point--and that of viewers' patience levels . 	_a_night_at_the_roxbury_ takes an already-thin concept and tediously stretches it far beyond the breaking point-and that of viewers' patience levels .	1	-3	 _a_night_at_the_roxbury_[0] takes[0] an[0] already[0] thin[0] concept[0] and[0] tediously[-2] stretches[0] it[0] far[0] beyond[0] the[0] breaking[0] point[0] and[0] that[0] of[0] viewers'[0] patience[0] levels[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the first five minutes or so of _roxbury_ play very much like one of the original " roxbury guys " skits . 	the first five minutes or so of _roxbury_ play very much like one of the original " roxbury guys " skits .	2	-1	 the[0] first[0] five[0] minutes[0] or[0] so[0] of[0] _roxbury_[0] play[0] very[0] much[0] like[1] one[0] of[0] the[0] original[0] roxbury[0] guys[0] skits[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with " what is love ? " 	with " what is love ?<br> "	3	-1	 with[0] what[0] is[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
blaring on the soundtrack , the brotherly duo of doug and steve butabi ( chris kattan and will ferrell ) bob their heads , scope out " hotties " at clubs , and then bump a select few with violent pelvic thrusts . 	blaring on the soundtrack , the brotherly duo of doug and steve butabi ( chris kattan and will ferrell ) bob their heads , scope out " hotties " at clubs , and then bump a select few with violent pelvic thrusts .	1	-3	 blaring[0] on[0] the[0] soundtrack[0] the[0] brotherly[0] duo[0] of[0] doug[0] and[0] steve[0] butabi[0] chris[0] kattan[0] and[0] will[0] ferrell[0] bob[0] their[0] heads[0] scope[0] out[0] hotties[0] at[0] clubs[0] and[0] then[0] bump[0] a[0] select[0] few[0] with[0] violent[-2] pelvic[0] thrusts[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is one crucial difference , however--these guys speak . 	there is one crucial difference , however-these guys speak .	1	-1	 there[0] is[0] one[0] crucial[0] difference[0] however[0] these[0] guys[0] speak[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that little fact has been used as justification for the film's existence , that the butabis' newfound capacity for speech would open up a whole new set of doors for the characters . 	that little fact has been used as justification for the film's existence , that the butabis' newfound capacity for speech would open up a whole new set of doors for the characters .	1	-1	 that[0] little[0] fact[0] has[0] been[0] used[0] as[0] justification[0] for[0] the[0] film's[0] existence[0] that[0] the[0] butabis'[0] newfound[0] capacity[0] for[0] speech[0] would[0] open[0] up[0] a[0] whole[0] new[0] set[0] of[0] doors[0] for[0] the[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the doors opened by director john fortenberry and screenwriters steve koren , ferrell , and kattan are new , that's for sure , but they all lead to comic dead ends . 	the doors opened by director john fortenberry and screenwriters steve koren , ferrell , and kattan are new , that's for sure , but they all lead to comic dead ends .	1	-3	 the[0] doors[0] opened[0] by[0] director[0] john[0] fortenberry[0] and[0] screenwriters[0] steve[0] koren[0] ferrell[0] and[0] kattan[0] are[0] new[0] that's[0] for[0] sure[0] but[0] they[0] all[0] lead[0] to[0] comic[0] dead[-2] ends[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
