the first film produced by adam sandler's happy madison production company ( clever title eh ? ) is essentially a one joke movie , much like the movies sandler stars in himself . 	Translation	Positive	Negative	EmotionRationale
however the difference here is that this one joke just isn't very funny . 	however the difference here is that this one joke just isn't very funny .	2	-3	 however[0] the[0] difference[0] here[0] is[0] that[0] this[0] one[0] joke[1] just[0] isn't[0] very[0] funny[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
rob schneider stars as the title character , a scruffy fish tank cleaner who ends up becoming a " man-whore " to raise enough money to replace a wealthy client's custom made fish tank , which deuce destroyed while staying in his home . 	rob schneider stars as the title character , a scruffy fish tank cleaner who ends up becoming a " man-whore " to raise enough money to replace a wealthy client's custom made fish tank , which deuce destroyed while staying in his home .	1	-3	 rob[0] schneider[0] stars[0] as[0] the[0] title[0] character[0] a[0] scruffy[0] fish[0] tank[0] cleaner[0] who[0] ends[0] up[0] becoming[0] a[0] man[0] whore[-2] to[0] raise[0] enough[0] money[0] to[0] replace[0] a[0] wealthy[0] client's[0] custom[0] made[0] fish[0] tank[0] which[0] deuce[0] destroyed[-2] while[0] staying[0] in[0] his[0] home[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
deuce goes on numerous " dates " , and each woman he goes out with has a " humorous " quirk about herself . 	deuce goes on numerous " dates " , and each woman he goes out with has a " humorous " quirk about herself .	3	-1	 deuce[0] goes[0] on[0] numerous[0] dates[0] and[0] each[0] woman[0] he[0] goes[0] out[0] with[0] has[0] a[0] humorous[2] quirk[0] about[0] herself[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one has narcolepsy , one has tourette's syndrome , one is a man . . . 	one has narcolepsy , one has tourette's syndrome , one is a man .<br> .<br> .	1	-1	 one[0] has[0] narcolepsy[0] one[0] has[0] tourette's[0] syndrome[0] one[0] is[0] a[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
etc . etc . 	etc .<br> etc .	1	-1	 etc[0] [[Sentence=-1,1=word max, 1-5]] etc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my problem is that we see all of these women in the film's trailer , so why do i need to watch the movie ? 	my problem is that we see all of these women in the film's trailer , so why do i need to watch the movie ?	1	-2	 my[0] problem[-1] is[0] that[0] we[0] see[0] all[0] of[0] these[0] women[0] in[0] the[0] film's[0] trailer[0] so[0] why[0] do[0] i[0] need[0] to[0] watch[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
seen the trailer . . . 	seen the trailer .<br> .<br> .	1	-1	 seen[0] the[0] trailer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seen the film . 	seen the film .	1	-1	 seen[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only a quick cameo from norm macdonald ( and a follow up joke during the closing credits ) generates any chuckles . 	only a quick cameo from norm macdonald ( and a follow up joke during the closing credits ) generates any chuckles .	3	-1	 only[0] a[0] quick[0] cameo[0] from[0] norm[0] macdonald[0] and[0] a[0] follow[0] up[0] joke[1] during[0] the[0] closing[0] credits[0] generates[0] any[0] chuckles[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
deuce bigalow : male gigolo is available on dvd from touchstone home video ( a division of di ney ) . 	deuce bigalow : male gigolo is available on dvd from touchstone home video ( a division of di ney ) .	1	-2	 deuce[0] bigalow[0] male[0] gigolo[0] is[0] available[0] on[0] dvd[0] from[0] touchstone[0] home[0] video[0] a[0] division[-1] of[0] di[0] ney[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the disc includes the film in its original theatrical aspect ratio of 1 . 85 : 1 , and features the original theatrical trailer ( as well as trailers for mystery alaska , happy texas , and outside providence ) , an extremely brief production featurette ( which contains footage not used in the film ) , and storyboard-to-scene comparisons . 	the disc includes the film in its original theatrical aspect ratio of 1 .<br> 85 : 1 , and features the original theatrical trailer ( as well as trailers for mystery alaska , happy texas , and outside providence ) , an extremely brief production featurette ( which contains footage not used in the film ) , and storyboard-to-scene comparisons .	2	-1	 the[0] disc[0] includes[0] the[0] film[0] in[0] its[0] original[0] theatrical[0] aspect[0] ratio[0] of[0] 1[0] [[Sentence=-1,1=word max, 1-5]] 85[0] 1[0] and[0] features[0] the[0] original[0] theatrical[0] trailer[0] as[0] well[0] as[0] trailers[0] for[0] mystery[0] alaska[0] happy[1] texas[0] and[0] outside[0] providence[0] an[0] extremely[0] brief[0] production[0] featurette[0] which[0] contains[0] footage[0] not[0] used[0] in[0] the[0] film[0] and[0] storyboard[0] to[0] scene[0] comparisons[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yep , you read that right . . . 	yep , you read that right .<br> .<br> .	1	-1	 yep[0] you[0] read[0] that[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are storyboard comparisons on this dvd . 	there are storyboard comparisons on this dvd .	1	-1	 there[0] are[0] storyboard[0] comparisons[0] on[0] this[0] dvd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
two scenes are storyboarded . . . 	two scenes are storyboarded .<br> .<br> .	1	-1	 two[0] scenes[0] are[0] storyboarded[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
neither of which are particularly exciting . 	neither of which are particularly exciting .	3	-1	 neither[0] of[0] which[0] are[0] particularly[0] exciting[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are fight scenes in this movie , so why aren't we seeing storyboards of those segments ( especially the parody moments from the matrix ) ? 	there are fight scenes in this movie , so why aren't we seeing storyboards of those segments ( especially the parody moments from the matrix ) ?	1	-3	 there[0] are[0] fight[-2] scenes[0] in[0] this[0] movie[0] so[0] why[0] aren't[0] we[0] seeing[0] storyboards[0] of[0] those[0] segments[0] especially[0] the[0] parody[0] moments[0] from[0] the[0] matrix[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i wonder what's funnier : the fact that any moment in this film required storyboards or that di ney thought fans of this film would want to see them ? 	i wonder what's funnier : the fact that any moment in this film required storyboards or that di ney thought fans of this film would want to see them ?	2	-1	 i[0] wonder[0] what's[0] funnier[1] the[0] fact[0] that[0] any[0] moment[0] in[0] this[0] film[0] required[0] storyboards[0] or[0] that[0] di[0] ney[0] thought[0] fans[0] of[0] this[0] film[0] would[0] want[0] to[0] see[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
deleted scenes ? 	deleted scenes ?	1	-1	 deleted[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure . 	sure .	1	-1	 sure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
audio commentary ? 	audio commentary ?	1	-1	 audio[0] commentary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you betcha . 	you betcha .	1	-1	 you[0] betcha[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but storyboards ? 	but storyboards ?	1	-1	 but[0] storyboards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
come on . 	come on .	1	-1	 come[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
[r] 	[r]	1	-1	 [r][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
