i can see a decent sports movie struggling to break free of oliver stone's `any given sunday' . 	Translation	Positive	Negative	EmotionRationale
it's an entertaining movie that offers both insight and excitement into the rock-em , sock-em profession of pro football . 	it's an entertaining movie that offers both insight and excitement into the rock-em , sock-em profession of pro football .	3	-1	 it's[0] an[0] entertaining[0] movie[0] that[0] offers[0] both[0] insight[0] and[0] excitement[2] into[0] the[0] rock[1] em[0] sock[0] em[0] profession[0] of[0] pro[0] football[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , the director seems to have only one priority on his mind : sprucing up the film with an assortment of fancy camera maneuvers . 	unfortunately , the director seems to have only one priority on his mind : sprucing up the film with an assortment of fancy camera maneuvers .	1	-2	 unfortunately[-1] the[0] director[0] seems[0] to[0] have[0] only[0] one[0] priority[0] on[0] his[0] mind[0] sprucing[0] up[0] the[0] film[0] with[0] an[0] assortment[0] of[0] fancy[0] camera[0] maneuvers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in altering each frame with quick-flash photography and dizzying , in-your-face editing , stone appears to have completely ignored the matter of plausible character development and football politics . 	in altering each frame with quick-flash photography and dizying , in-your-face editing , stone appears to have completely ignored the matter of plausible character development and football politics .	1	-1	 in[0] altering[0] each[0] frame[0] with[0] quick[0] flash[0] photography[0] and[0] dizzying/dizying[0] in[0] your[0] face[0] editing[0] stone[0] appears[0] to[0] have[0] completely[0] ignored[0] the[0] matter[0] of[0] plausible[0] character[0] development[0] and[0] football[0] politics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we see glimpses of greatness , but  any given sunday' has its agenda all tangled in technical gobbledy-gook . 	we see glimpses of greatness , but  any given sunday' has its agenda all tangled in technical gobbledy-gook .	3	-1	 we[0] see[0] glimpses[0] of[0] greatness[2] but[0] any[0] given[0] sunday'[0] has[0] its[0] agenda[0] all[0] tangled[0] in[0] technical[0] gobbledy[0] gook[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it grows tiresome and monotonous . 	it grows tiresome and monotonous .	1	-2	 it[0] grows[0] tiresome[-1] and[0] monotonous[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , stone has pulled a brian depalma . 	yes , stone has pulled a brian depalma .	1	-1	 yes[0] stone[0] has[0] pulled[0] a[0] brian[0] depalma[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
matters of importance are pushed aside right from the get-go . 	matters of importance are pushed aside right from the get-go .	1	-1	 matters[0] of[0] importance[0] are[0] pushed[0] aside[0] right[0] from[0] the[0] get[0] go[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tony d'amato ( al pacino ) , coach of the struggling miami sharks , finds his team stuck in a losing rut . 	tony d'amato ( al pacino ) , coach of the struggling miami sharks , finds his team stuck in a losing rut .	1	-3	 tony[0] d'amato[0] al[0] pacino[0] coach[0] of[0] the[0] struggling[-1] miami[0] sharks[0] finds[0] his[0] team[0] stuck[0] in[0] a[0] losing[-2] rut[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
aging quarterback cap rooney ( dennis quaid ) appears to be losing his touch , and d'amato can't seem to ignite any passion in his squad . 	aging quarterback cap rooney ( dennis quaid ) appears to be losing his touch , and d'amato can't seem to ignite any passion in his squad .	3	-3	 aging[0] quarterback[0] cap[0] rooney[0] dennis[0] quaid[0] appears[0] to[0] be[0] losing[-2] his[0] touch[0] and[0] d'amato[0] can't[0] seem[0] to[0] ignite[0] any[0] passion[2] in[0] his[0] squad[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
when cap is injured on the field , and after a patch of unlikely events occur , third-string qb willie beaman ( jamie foxx ) is brought into the game . 	when cap is injured on the field , and after a patch of unlikely events occur , third-string qb willie beaman ( jamie fox ) is brought into the game .	1	-1	 when[0] cap[0] is[0] injured[0] on[0] the[0] field[0] and[0] after[0] a[0] patch[0] of[0] unlikely[0] events[0] occur[0] third[0] string[0] qb[0] willie[0] beaman[0] jamie[0] foxx/fox[0] is[0] brought[0] into[0] the[0] game[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once in the huddle ( and this becomes an in-game ritual ) , beaman horks all over the field . 	once in the huddle ( and this becomes an in-game ritual ) , beaman horks all over the field .	1	-1	 once[0] in[0] the[0] huddle[0] and[0] this[0] becomes[0] an[0] in[0] game[0] ritual[0] beaman[0] horks[0] all[0] over[0] the[0] field[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nerves , you see . 	nerves , you see .	1	-1	 nerves[0] you[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eventually though , the ancy youngster wins the game for his teammates , sparking his rise to fame in the football world - the endorsements , the music videos , etc . - and stone straps us in for the jolting ride of behind-the-scenes stress and fury that the business is apparently like . 	eventually though , the ancy youngster wins the game for his teammates , sparking his rise to fame in the football world - the endorsements , the music videos , etc .<br> - and stone straps us in for the jolting ride of behind-the-scenes stress and fury that the business is apparently like .	2	-4	 eventually[0] though[0] the[0] ancy[0] youngster[0] wins[0] the[0] game[0] for[0] his[0] teammates[0] sparking[0] his[0] rise[0] to[0] fame[0] in[0] the[0] football[0] world[0] the[0] endorsements[0] the[0] music[0] videos[0] etc[0] [[Sentence=-1,1=word max, 1-5]] and[0] stone[0] straps[0] us[0] in[0] for[0] the[0] jolting[0] ride[0] of[0] behind[0] the[0] scenes[0] stress[-1] and[0] fury[-3] that[0] the[0] business[0] is[0] apparently[0] like[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and i believe it . 	and i believe it .	1	-1	 and[0] i[0] believe[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
