preposterous religious action film ( produced by the trinity broadcasting network ) about a code hidden within the text of the bible that when deciphered will lead to the end of the world ( nice of those bible authors to put a doomsday code into the most read book ever eh ? ) . 	Translation	Positive	Negative	EmotionRationale
michael york plays a millionaire diplomat who breaks the code and sets out to become god on earth and fulfill the doomsday prophecies , while casper van dien ( terribly miscast and giving an awful performance as a result ) plays the atheist motivational speaker who must stop him . 	michael york plays a millionaire diplomat who breaks the code and sets out to become god on earth and fulfil the doomsday prophecies , while casper van dien ( terribly miscast and giving an awful performance as a result ) plays the atheist motivational speaker who must stop him .	2	-4	 michael[0] york[0] plays[1] a[0] millionaire[0] diplomat[0] who[0] breaks[0] the[0] code[0] and[0] sets[0] out[0] to[0] become[0] god[0] on[0] earth[0] and[0] fulfill/fulfil[0] the[0] doomsday[-1] prophecies[0] while[0] casper[0] van[0] dien[0] terribly[-3] miscast[0] and[0] giving[0] an[0] awful[-3] performance[0] as[0] a[0] result[0] plays[1] the[0] atheist[0] motivational[0] speaker[0] who[0] must[0] stop[0] him[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
michael ironside ( great as always , despite the silly film surrounding him ) plays a fallen priest and right hand man to michael york's character . 	michael ironside ( great as always , despite the silly film surrounding him ) plays a fallen priest and right hand man to michael york's character .	3	-2	 michael[0] ironside[0] great[2] as[0] always[0] despite[0] the[0] silly[-1] film[0] surrounding[0] him[0] plays[1] a[0] fallen[0] priest[0] and[0] right[0] hand[0] man[0] to[0] michael[0] york's[0] character[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
here's some subtle character development you may have missed pertaining to ironside's character . 	here's some subtle character development you may have missed pertaining to ironside's character .	1	-2	 here's[0] some[0] subtle[0] character[0] development[0] you[0] may[0] have[0] missed[-1] pertaining[0] to[0] ironside's[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now despite the fact that we see him murder a man in the opening scene , the filmmakers aren't quite sure if their audience will understand that he is evil . 	now despite the fact that we see him murder a man in the opening scene , the filmmakers aren't quite sure if their audience will understand that he is evil .	1	-4	 now[0] despite[0] the[0] fact[0] that[0] we[0] see[0] him[0] murder[-3] a[0] man[0] in[0] the[0] opening[0] scene[0] the[0] filmmakers[0] aren't[0] quite[0] sure[0] if[0] their[0] audience[0] will[0] understand[0] that[0] he[0] is[0] evil[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
how do they fix that ? 	how do they fix that ?	1	-1	 how[0] do[0] they[0] fix[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
make specific efforts to show that his character is the only one in the film who smokes ! 	make specific efforts to show that his character is the only one in the film who smokes !	1	-1	 make[0] specific[0] efforts[0] to[0] show[0] that[0] his[0] character[0] is[0] the[0] only[0] one[0] in[0] the[0] film[0] who[0] smokes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are lots of ominous shots of michael ironside smoking . . . 	there are lots of ominous shots of michael ironside smoking .<br> .<br> .	1	-3	 there[0] are[0] lots[0] of[0] ominous[-2] shots[0] of[0] michael[0] ironside[0] smoking[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
oooooo scary . 	oo scary .	2	-4	 oooooo/oo[0][+0.6 MultipleLetters] scary[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but even that wasn't enough for the filmmakers apparently , as they later have to infer that ironside's character is gay ! 	but even that wasn't enough for the filmmakers apparently , as they later have to infer that ironside's character is gay !	1	-2	 but[0] even[0] that[0] wasn't[0] enough[0] for[0] the[0] filmmakers[0] apparently[0] as[0] they[0] later[0] have[0] to[0] infer[0] that[0] ironside's[0] character[0] is[0] gay[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it comes out of nowhere and just makes no sense . 	it comes out of nowhere and just makes no sense .	1	-1	 it[0] comes[0] out[0] of[0] nowhere[0] and[0] just[0] makes[0] no[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
