there are scenes in " the big hit " that are so awful , they simply defy description . 	Translation	Positive	Negative	EmotionRationale
the movie is infected with the same kind of blunderheaded idiocy and misplaced confidence that made " last action hero " ( 1993 ) such a chore to sit through . 	the movie is infected with the same kind of blunderheaded idiocy and misplaced confidence that made " last action hero " ( 1993 ) such a chore to sit through .	3	-3	 the[0] movie[0] is[0] infected[-1] with[0] the[0] same[0] kind[1] of[0] blunderheaded[0] idiocy[-2] and[0] misplaced[0] confidence[1] that[0] made[0] last[0] action[0] hero[2] 1993[0] such[0] a[0] chore[-2] to[0] sit[0] through[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
presumably , " the big hit " is an action-comedy , a difficult but not impossible genre to pull off . 	presumably , " the big hit " is an action-comedy , a difficult but not impossible genre to pull off .	1	-2	 presumably[0] the[0] big[0] hit[0] is[0] an[0] action[0] comedy[0] a[0] difficult[-1] but[0] not[0] impossible[0] genre[0] to[0] pull[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
movies of this sort require a fine balance and careful tone , and the comedy is usually meant to work as catharsis for the violence . 	movies of this sort require a fine balance and careful tone , and the comedy is usually meant to work as catharsis for the violence .	3	-4	 movies[0] of[0] this[0] sort[0] require[0] a[0] fine[2] balance[0] and[0] careful[0] tone[0] and[0] the[0] comedy[0] is[0] usually[0] meant[0] to[0] work[0] as[0] catharsis[0] for[0] the[0] violence[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " lethal weapon 2 " ( 1989 ) is a perfect example of an action thriller that was also very , very funny . 	 " lethal weapon 2 " ( 1989 ) is a perfect example of an action thriller that was also very , very funny .	3	-2	 lethal[0] weapon[-1] 2[0] 1989[0] is[0] a[0] perfect[1] example[0] of[0] an[0] action[0] thriller[1] that[0] was[0] also[0] very[0] very[0] funny[1][1 LastWordBoosterStrength] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
unfortunately , in " the big hit , " it seems that comedy is the main motive , and the violence is only intended to punctuate the laughs . 	unfortunately , in " the big hit , " it seems that comedy is the main motive , and the violence is only intended to punctuate the laughs .	2	-4	 unfortunately[-1] in[0] the[0] big[0] hit[0] it[0] seems[0] that[0] comedy[0] is[0] the[0] main[0] motive[0] and[0] the[0] violence[-3] is[0] only[0] intended[0] to[0] punctuate[0] the[0] laughs[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
unfortunately , there are no laughs . 	unfortunately , there are no laughs .	2	-2	 unfortunately[-1] there[0] are[0] no[0] laughs[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the movie resembles some of the goofy , throwaway ridiculousness of early jackie chan films , but it doesn't benefit from chan's incredible stunts and goofy , charismatic presence . 	the movie resembles some of the goofy , throwaway ridiculousness of early jackie chan films , but it doesn't benefit from chan's incredible stunts and goofy , charismatic presence .	1	-3	 the[0] movie[0] resembles[0] some[0] of[0] the[0] goofy[0] throwaway[0] ridiculousness[-2] of[0] early[0] jackie[0] chan[0] films[0] but[0] it[0] doesn't[0] benefit[0] from[0] chan's[0] incredible[0] stunts[0] and[0] goofy[0] charismatic[0] presence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instead , we are left with a lot of digital effects and mark wahlberg , who must have considered himself invincible after his critically-acclaimed performance in last year's " boogie nights . " 	instead , we are left with a lot of digital effects and mark wahlberg , who must have considered himself invincible after his critically-acclaimed performance in last year's " boogie nights .<br> "	1	-2	 instead[0] we[0] are[0] left[0] with[0] a[0] lot[0] of[0] digital[0] effects[0] and[0] mark[0] wahlberg[0] who[0] must[0] have[0] considered[0] himself[0] invincible[0] after[0] his[0] critically[-1] acclaimed[0] performance[0] in[0] last[0] year's[0] boogie[0] nights[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , if he wants to maintain a decent career , he had better start selecting his projects more carefully - movies like this are a sure-fire recipe for a long career in the straight-to-video market . 	however , if he wants to maintain a decent career , he had better start selecting his projects more carefully - movies like this are a sure-fire recipe for a long career in the straight-to-video market .	2	-1	 however[0] if[0] he[0] wants[0] to[0] maintain[0] a[0] decent[0] career[0] he[0] had[0] better[0] start[0] selecting[0] his[0] projects[0] more[0] carefully[0] movies[0] like[1] this[0] are[0] a[0] sure[0] fire[0] recipe[0] for[0] a[0] long[0] career[0] in[0] the[0] straight[0] to[0] video[0] market[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
wahlberg plays melvin smiley , an amiable guy who also happens to be a professional hitman ( see " grosse pointe blank " for the same character , much better developed ) . 	wahlberg plays melvin smiley , an amiable guy who also happens to be a professional hitman ( see " grosse pointe blank " for the same character , much better developed ) .	3	-2	 wahlberg[0] plays[1] melvin[0] smiley[2] an[0] amiable[2] guy[0] who[0] also[0] happens[0] to[0] be[0] a[0] professional[0] hitman[0] see[0] grosse[-1] pointe[0] blank[0] for[0] the[0] same[0] character[0] much[0] better[0] developed[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the movie wants us to think , " gee how clever and ironic - a guy who can kill without any moral implications , and yet he can't stand for anyone not to like him . " 	the movie wants us to think , " gee how clever and ironic - a guy who can kill without any moral implications , and yet he can't stand for anyone not to like him .<br> "	1	-2	 the[0] movie[0] wants[0] us[0] to[0] think[0] gee[0] how[0] clever[0] and[0] ironic[-1] a[0] guy[0] who[0] can[0] kill[-1] without[0] any[0] moral[0] implications[0] and[0] yet[0] he[0] can't[0] stand[0] for[0] anyone[0] not[0] to[0] like[1][NegatedDueToPreviousWord] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the fact is , melvin is so desperate to keep people from not liking him , that he puts up with both an obnoxious fiancee ( christina applegate , with a horrendous new york accent ) and an abusive girlfriend ( lela rochon ) who is only using him for his money . 	the fact is , melvin is so desperate to keep people from not liking him , that he puts up with both an obnoxious fiancee ( christina applegate , with a horrendous new york accent ) and an abusive girlfriend ( lela rochon ) who is only using him for his money .	1	-4	 the[0] fact[0] is[0] melvin[0] is[0] so[0] desperate[-2] to[0] keep[0] people[0] from[0] not[0] liking[2][NegatedDueToPreviousWord] him[0] that[0] he[0] puts[0] up[0] with[0] both[0] an[0] obnoxious[-2] fiancee[0] christina[0] applegate[0] with[0] a[0] horrendous[-3] new[0] york[0] accent[0] and[0] an[0] abusive[-3] girlfriend[0] lela[0] rochon[0] who[0] is[0] only[0] using[0] him[0] for[0] his[0] money[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his constant bending over backwards to please people makes him a complete patsy at best , and a thoroughly unbelievable character at worst . 	his constant bending over backwards to please people makes him a complete patsy at best , and a thoroughly unbelievable character at worst .	2	-3	 his[0] constant[0] bending[0] over[0] backwards[0] to[0] please[1] people[0] makes[0] him[0] a[0] complete[0] patsy[0] at[0] best[1] and[0] a[0] thoroughly[0] unbelievable[-1] character[0] at[0] worst[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
melvin is employed exclusively by a crime boss named paris ( avery brooks ) as part of a team of hitmen , which also includes cisco ( lou diamond phillips ) and crunch ( bokeem woodbine ) . 	melvin is employed exclusively by a crime boss named paris ( avery brooks ) as part of a team of hitmen , which also includes cisco ( lou diamond phillips ) and crunch ( bokeem woodbine ) .	1	-2	 melvin[0] is[0] employed[0] exclusively[0] by[0] a[0] crime[-1] boss[0] named[0] paris[0] avery[0] brooks[0] as[0] part[0] of[0] a[0] team[0] of[0] hitmen[0] which[0] also[0] includes[0] cisco[0] lou[0] diamond[0] phillips[0] and[0] crunch[0] bokeem[0] woodbine[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one day , melvin agrees to do some moonlighting with cisco by kidnapping the teenage daughter of a rich japanese mogul named jiro nishi ( sab shimono ) for a million dollar ransom . 	one day , melvin agrees to do some moonlighting with cisco by kidnapping the teenage daughter of a rich japanese mogul named jiro nishi ( sab shimono ) for a million dollar ransom .	1	-1	 one[0] day[0] melvin[0] agrees[0] to[0] do[0] some[0] moonlighting[0] with[0] cisco[0] by[0] kidnapping[0] the[0] teenage[0] daughter[0] of[0] a[0] rich[0] japanese[0] mogul[0] named[0] jiro[0] nishi[0] sab[0] shimono[0] for[0] a[0] million[0] dollar[0] ransom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , not only has jiro nishi lost all his money producing a big hollywood movie ( inside joke , get it ? ) , but his kidnapped daughter , keiko ( china chow ) , also happens to be paris' goddaughter . 	however , not only has jiro nishi lost all his money producing a big hollywood movie ( inside joke , get it ?<br> ) , but his kidnapped daughter , keiko ( china chow ) , also happens to be paris' goddaughter .	2	-1	 however[0] not[0] only[0] has[0] jiro[0] nishi[0] lost[0] all[0] his[0] money[0] producing[0] a[0] big[0] hollywood[0] movie[0] inside[0] joke[1] get[0] it[0] [[Sentence=-1,2=word max, 1-5]] but[0] his[0] kidnapped[0] daughter[0] keiko[0] china[0] chow[0] also[0] happens[0] to[0] be[0] paris'[0] goddaughter[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
so , when paris finds out she's been kidnapped , he takes it personally and becomes determined to find out who did it . 	so , when paris finds out she's been kidnapped , he takes it personally and becomes determined to find out who did it .	1	-1	 so[0] when[0] paris[0] finds[0] out[0] she's[0] been[0] kidnapped[0] he[0] takes[0] it[0] personally[0] and[0] becomes[0] determined[0] to[0] find[0] out[0] who[0] did[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not knowing the cisco is actually behind the whole scheme , paris puts him in charge of rooting out the kidnapper . 	not knowing the cisco is actually behind the whole scheme , paris puts him in charge of rooting out the kidnapper .	1	-2	 not[0] knowing[0] the[0] cisco[0] is[0] actually[0] behind[0] the[0] whole[0] scheme[0] paris[0] puts[0] him[0] in[0] charge[-1] of[0] rooting[0] out[0] the[0] kidnapper[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course cisco blames the whole thing on poor , innocent melvin . 	of course cisco blames the whole thing on poor , innocent melvin .	2	-2	 of[0] course[0] cisco[0] blames[-1] the[0] whole[0] thing[0] on[0] poor[-1] innocent[1] melvin[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
