 " virus " is the type of cliched , vacuous film that has been recylcled so many times before that you wonder why anyone would even bother putting work into making it . 	Translation	Positive	Negative	EmotionRationale
strangely enough , on the same mid-january weekend last year , another film was released like this , " deep rising , " about an ugly monster on a cruise liner . 	strangely enough , on the same mid-january weekend last year , another film was released like this , " deep rising , " about an ugly monster on a cruise liner .	2	-3	 strangely[0] enough[0] on[0] the[0] same[0] mid[0] january[0] weekend[0] last[0] year[0] another[0] film[0] was[0] released[0] like[1] this[0] deep[0] rising[0] about[0] an[0] ugly[-2] monster[-1] on[0] a[0] cruise[0] liner[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
prior movies with the almost exact same storyline include 1989's " leviathan , " 1989's " deep star six , " and all four " alien " pictures . 	prior movies with the almost exact same storyline include 1989's " leviathan , " 1989's " deep star six , " and all four " alien " pictures .	1	-2	 prior[0] movies[0] with[0] the[0] almost[0] exact[0] same[0] storyline[0] include[0] 1989's[0] leviathan[0] 1989's[0] deep[0] star[0] six[0] and[0] all[0] four[0] alien[-1] pictures[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " virus , " in comparison , is a servicable thriller , well-made and produced , but since it doesn't include one moment of even remote originality or intelligence , it sinks under the weight of the water that the film was shot on . 	 " virus , " in comparison , is a servicable thriller , well-made and produced , but since it doesn't include one moment of even remote originality or intelligence , it sinks under the weight of the water that the film was shot on .	2	-2	 virus[0] in[0] comparison[0] is[0] a[0] servicable[0] thriller[1] well[0] made[0] and[0] produced[0] but[0] since[0] it[0] doesn't[0] include[0] one[0] moment[0] of[0] even[0] remote[0] originality[0] or[0] intelligence[0] it[0] sinks[0] under[0] the[0] weight[0] of[0] the[0] water[0] that[0] the[0] film[0] was[0] shot[-1] on[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
based on a series of comic books , " virus " concerns the crew of an ocean salvage tugboat , which becomes extremely damaged during a violent typhoon . 	based on a series of comic books , " virus " concerns the crew of an ocean salvage tugboat , which becomes extremely damaged during a violent typhoon .	1	-3	 based[0] on[0] a[0] series[0] of[0] comic[0] books[0] virus[0] concerns[-1] the[0] crew[0] of[0] an[0] ocean[0] salvage[0] tugboat[0] which[0] becomes[0] extremely[0] damaged[0] during[0] a[0] violent[-2] typhoon[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after discovering that the boat is slowly sinking , ( un ) lucky for them , a huge ocean vessel that appears to be dead in the water turns up within the confines of their radar screen . 	after discovering that the boat is slowly sinking , ( un ) lucky for them , a huge ocean vessel that appears to be dead in the water turns up within the confines of their radar screen .	2	-3	 after[0] discovering[0] that[0] the[0] boat[0] is[0] slowly[0] sinking[0] un[0] lucky[1] for[0] them[0] a[0] huge[0] ocean[0] vessel[0] that[0] appears[0] to[0] be[0] dead[-2] in[0] the[0] water[0] turns[0] up[0] within[0] the[0] confines[0] of[0] their[0] radar[0] screen[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
once the team reaches the russian ship , they go on board to find that the place is seemingly deserted . 	once the team reaches the russian ship , they go on board to find that the place is seemingly deserted .	1	-1	 once[0] the[0] team[0] reaches[0] the[0] russian[0] ship[0] they[0] go[0] on[0] board[0] to[0] find[0] that[0] the[0] place[0] is[0] seemingly[0] deserted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after turning the power back on , however , there gradually are signs that something else is on the ship , and the electrical equipment is oddly working by itself . 	after turning the power back on , however , there gradually are signs that something else is on the ship , and the electrical equipment is oddly working by itself .	1	-1	 after[0] turning[0] the[0] power[0] back[0] on[0] however[0] there[0] gradually[0] are[0] signs[0] that[0] something[0] else[0] is[0] on[0] the[0] ship[0] and[0] the[0] electrical[0] equipment[0] is[0] oddly[0] working[0] by[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one survivor finally does turn up , nadia ( joanna pacula ) , who informs the suicidal and stern captain ( donald sutherland ) and one of the crew , kit foster ( jamie lee curtis ) , that a mysterious alien life form hit the santi mir space station which then was transported down to the ship , taking over the minds of all of the electrical machines and thinking that humans are viruses that should be completely wiped out . 	one survivor finally does turn up , nadia ( joanna pacula ) , who informs the suicidal and stern captain ( donald sutherland ) and one of the crew , kit foster ( jamie lee curtis ) , that a mysterious alien life form hit the santi mir space station which then was transported down to the ship , taking over the minds of all of the electrical machines and thinking that humans are viruses that should be completely wiped out .	1	-2	 one[0] survivor[0] finally[0] does[0] turn[0] up[0] nadia[0] joanna[0] pacula[0] who[0] informs[0] the[0] suicidal[0] and[0] stern[-1] captain[0] donald[0] sutherland[0] and[0] one[0] of[0] the[0] crew[0] kit[0] foster[0] jamie[0] lee[0] curtis[0] that[0] a[0] mysterious[0] alien[-1] life[0] form[0] hit[0] the[0] santi[0] mir[0] space[0] station[0] which[0] then[0] was[0] transported[0] down[0] to[0] the[0] ship[0] taking[0] over[0] the[0] minds[0] of[0] all[0] of[0] the[0] electrical[0] machines[0] and[0] thinking[0] that[0] humans[0] are[0] viruses[0] that[0] should[0] be[0] completely[0] wiped[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if " virus " sounds like all of the previously mentioned movies , you're correct . 	if " virus " sounds like all of the previously mentioned movies , you're correct .	2	-1	 if[0] virus[0] sounds[0] like[1] all[0] of[0] the[0] previously[0] mentioned[0] movies[0] you're[0] correct[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although the technical artistry is fairly impressive to bring the mechanical creature to life , the film itself doesn't appear to have a brain in its head . 	although the technical artistry is fairly impressive to bring the mechanical creature to life , the film itself doesn't appear to have a brain in its head .	2	-1	 although[0] the[0] technical[0] artistry[0] is[0] fairly[0] impressive[1] to[0] bring[0] the[0] mechanical[0] creature[0] to[0] life[0] the[0] film[0] itself[0] doesn't[0] appear[0] to[0] have[0] a[0] brain[0] in[0] its[0] head[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
