adam sandler vehicles are never anything special , but continue to make a load of money . 	Translation	Positive	Negative	EmotionRationale
which really goes to show the sad state of cinema today . 	which really goes to show the sad state of cinema today .	1	-4	 which[0] really[0] goes[0] to[0] show[0] the[0] sad[-3] state[0] of[0] cinema[0] today[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
while good comedies like rushmore , to choose a recent example , gets limited release and doesn't make a lot of money , big daddy got a huge release and has made a lot of cash . 	while good comedies like rushmore , to choose a recent example , gets limited release and doesn't make a lot of money , big daddy got a huge release and has made a lot of cash .	2	-1	 while[0] good[1] comedies[0] like[1] rushmore[0] to[0] choose[0] a[0] recent[0] example[0] gets[0] limited[0] release[0] and[0] doesn't[0] make[0] a[0] lot[0] of[0] money[0] big[0] daddy[0] got[0] a[0] huge[0] release[0] and[0] has[0] made[0] a[0] lot[0] of[0] cash[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's also nothing special and doesn't deserve the money it's making . 	it's also nothing special and doesn't deserve the money it's making .	2	-1	 it's[0] also[0] nothing[0] special[1] and[0] doesn't[0] deserve[0] the[0] money[0] it's[0] making[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but i digress . 	but i digress .	1	-1	 but[0] i[0] digress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sandler plays sonny koufax , a unemployed new yorker with a seemingly low mental age . 	sandler plays sonny koufax , a unemployed new yorker with a seemingly low mental age .	2	-2	 sandler[0] plays[1] sonny[0] koufax[0] a[0] unemployed[-1] new[0] yorker[0] with[0] a[0] seemingly[0] low[-1] mental[0] age[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his girlfriend makes a ultimatum to him : either wise up and get responsible , or she's leaving him . 	his girlfriend makes a ultimatum to him : either wise up and get responsible , or she's leaving him .	1	-2	 his[0] girlfriend[0] makes[0] a[0] ultimatum[-1] to[0] him[0] either[0] wise[0] up[0] and[0] get[0] responsible[0] or[0] she's[0] leaving[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by a strange set of events , koufax ends up with julian ( played by twins cole and dylan sprouse ) a five year old kid . 	by a strange set of events , koufax ends up with julian ( played by twins cole and dylan sprouse ) a five year old kid .	1	-1	 by[0] a[0] strange[0] set[0] of[0] events[0] koufax[0] ends[0] up[0] with[0] julian[0] played[0] by[0] twins[0] cole[0] and[0] dylan[0] sprouse[0] a[0] five[0] year[0] old[0] kid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after a failed attempt to impress his girlfriend with the child , koufax decides he wants to keep the child . 	after a failed attempt to impress his girlfriend with the child , koufax decides he wants to keep the child .	2	-3	 after[0] a[0] failed[-2] attempt[0] to[0] impress[1] his[0] girlfriend[0] with[0] the[0] child[0] koufax[0] decides[0] he[0] wants[0] to[0] keep[0] the[0] child[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
however , social worker mr brooks ( mostel ) finds out that koufax isn't the real father and wants to take julian back . 	however , social worker mr brooks ( mostel ) finds out that koufax isn't the real father and wants to take julian back .	1	-1	 however[0] social[0] worker[0] mr[0] brooks[0] mostel[0] finds[0] out[0] that[0] koufax[0] isn't[0] the[0] real[0] father[0] and[0] wants[0] to[0] take[0] julian[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
koufax along with his new girlfriend layla ( lauren adams ) fight to keep the child . 	koufax along with his new girlfriend layla ( lauren adams ) fight to keep the child .	1	-3	 koufax[0] along[0] with[0] his[0] new[0] girlfriend[0] layla[0] lauren[0] adams[0] fight[-2] to[0] keep[0] the[0] child[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
