 " first rule of fight club is , don't talk about fight club . " 	Translation	Positive	Negative	EmotionRationale
this quote deals directly with my opinion of this film , because quite frankly , it's not even worth mentioning . 	this quote deals directly with my opinion of this film , because quite frankly , it's not even worth mentioning .	1	-1	 this[0] quote[0] deals[0] directly[0] with[0] my[0] opinion[0] of[0] this[0] film[0] because[0] quite[0] frankly[0] it's[0] not[0] even[0] worth[0] mentioning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director david fincher ( seven ) has completely gone over the edge . 	director david fincher ( seven ) has completely gone over the edge .	1	-1	 director[0] david[0] fincher[0] seven[0] has[0] completely[0] gone[0] over[0] the[0] edge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with crude humor , an intolerable script and 2 hours and 19 minutes of pure torture , i'm surprised i didn't walk out . 	with crude humor , an intolerable script and 2 hours and 19 minutes of pure torture , i'm surprised i didn't walk out .	3	-4	 with[0] crude[-1] humor[2] an[0] intolerable[-3] script[0] and[0] 2[0] hours[0] and[0] 19[0] minutes[0] of[0] pure[0] torture[-3] i'm[0] surprised[0] i[0] didn't[0] walk[0] out[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
this just goes to show that hype kills . 	this just goes to show that hype kills .	1	-1	 this[0] just[0] goes[0] to[0] show[0] that[0] hype[0] kills[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's very rare that a film so hyped up as " fight club " turns out to be noteworthy , and this is no exception . 	it's very rare that a film so hyped up as " fight club " turns out to be noteworthy , and this is no exception .	1	-3	 it's[0] very[0] rare[0] that[0] a[0] film[0] so[0] hyped[0] up[0] as[0] fight[-2] club[0] turns[0] out[0] to[0] be[0] noteworthy[0] and[0] this[0] is[0] no[0] exception[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story goes like this . 	the story goes like this .	2	-1	 the[0] story[0] goes[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
edward norton is an insomniac trying to enlighten his dull life by going to a variety of disease therapy sessions , until he meets marla ( helena bonham carter ) . 	edward norton is an insomniac trying to enlighten his dull life by going to a variety of disease therapy sessions , until he meets marla ( helena bonham carter ) .	1	-3	 edward[0] norton[0] is[0] an[0] insomniac[0] trying[0] to[0] enlighten[0] his[0] dull[-1] life[0] by[0] going[0] to[0] a[0] variety[0] of[0] disease[-2] therapy[0] sessions[0] until[0] he[0] meets[0] marla[0] helena[0] bonham[0] carter[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
norton claims that she is wrecking his pleasurable lifestyle , when he spots her at a session that he also attended . 	norton claims that she is wrecking his pleasurable lifestyle , when he spots her at a session that he also attended .	3	-2	 norton[0] claims[0] that[0] she[0] is[0] wrecking[-1] his[0] pleasurable[2] lifestyle[0] when[0] he[0] spots[0] her[0] at[0] a[0] session[0] that[0] he[0] also[0] attended[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
apparently the disease sessions help them see what life is like , literally living in pain . 	apparently the disease sessions help them see what life is like , literally living in pain .	2	-4	 apparently[0] the[0] disease[-2] sessions[0] help[0] them[0] see[0] what[0] life[0] is[0] like[1] literally[0] living[0] in[0] pain[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
why any person would think of such a thing is beyond me , but things do get worse . 	why any person would think of such a thing is beyond me , but things do get worse .	1	-3	 why[0] any[0] person[0] would[0] think[0] of[0] such[0] a[0] thing[0] is[0] beyond[0] me[0] but[0] things[0] do[0] get[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
norton is soon assigned to a job that calls for traveling , and it's on a plane that he meets tyler durden ( brad pitt ) . 	norton is soon assigned to a job that calls for traveling , and it's on a plane that he meets tyler durden ( brad pit ) .	1	-1	 norton[0] is[0] soon[0] assigned[0] to[0] a[0] job[0] that[0] calls[0] for[0] traveling[0] and[0] it's[0] on[0] a[0] plane[0] that[0] he[0] meets[0] tyler[0] durden[0] brad[0] pitt/pit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two men develop a bond , and go out to a bar , and by golly after they get drunk , the two pitiful characters fight . 	the two men develop a bond , and go out to a bar , and by golly after they get drunk , the two pitiful characters fight .	1	-3	 the[0] two[0] men[0] develop[0] a[0] bond[0] and[0] go[0] out[0] to[0] a[0] bar[0] and[0] by[0] golly[0] after[0] they[0] get[0] drunk[-1] the[0] two[0] pitiful[-2] characters[0] fight[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
how do they come up with this stuff ? 	how do they come up with this stuff ?	1	-1	 how[0] do[0] they[0] come[0] up[0] with[0] this[0] stuff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway , their fighting catches other pathetic loser's attention , and a club is formed . 	anyway , their fighting catches other pathetic loser's attention , and a club is formed .	1	-4	 anyway[0] their[0] fighting[-2] catches[0] other[0] pathetic[-2] loser's[-2][-1 MultiplePositiveWords] attention[0] and[0] a[0] club[0] is[0] formed[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
out of all this mess , there manages to lie a message . 	out of all this mess , there manages to lie a message .	1	-1	 out[0] of[0] all[0] this[0] mess[0] there[0] manages[0] to[0] lie[0] a[0] message[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fincher shows us that society is like robots . 	fincher shows us that society is like robots .	2	-1	 fincher[0] shows[0] us[0] that[0] society[0] is[0] like[1] robots[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
