note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
be forewarned . 	be forewarned .	1	-1	 be[0] forewarned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the end of the day , those reflecting upon the debacle that is the avengers would do well to take note that warning clouds loomed on the horizon for the project well before warner bros . made the contentious decision to abandon preview press screenings and scrapped plans for a gala premiere . 	at the end of the day , those reflecting upon the debacle that is the avengers would do well to take note that warning clouds loomed on the horizon for the project well before warner bros .<br> made the contentious decision to abandon preview press screenings and scrapped plans for a gala premiere .	1	-2	 at[0] the[0] end[0] of[0] the[0] day[0] those[0] reflecting[0] upon[0] the[0] debacle[0] that[0] is[0] the[0] avengers[-1] would[0] do[0] well[0] to[0] take[0] note[0] that[0] warning[0] clouds[0] loomed[0] on[0] the[0] horizon[0] for[0] the[0] project[0] well[0] before[0] warner[0] bros[0] [[Sentence=-2,1=word max, 1-5]] made[0] the[0] contentious[0] decision[0] to[0] abandon[-1] preview[0] press[0] screenings[0] and[0] scrapped[0] plans[0] for[0] a[0] gala[0] premiere[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this highly-anticipated film rendition of the cult television show was originally slotted for an early june opening , where it would have gone head-to-head against the rival studios' heavy hitters ; its eventual demotion to a less potent mid-august opening was an obvious early indication of the studio's lack of confidence with the picture . 	this highly-anticipated film rendition of the cult television show was originally slotted for an early june opening , where it would have gone head-to-head against the rival studios' heavy hitters ; its eventual demotion to a less potent mid-august opening was an obvious early indication of the studio's lack of confidence with the picture .	2	-2	 this[0] highly[0] anticipated[0] film[0] rendition[0] of[0] the[0] cult[0] television[0] show[0] was[0] originally[0] slotted[0] for[0] an[0] early[0] june[0] opening[0] where[0] it[0] would[0] have[0] gone[0] head[0] to[0] head[0] against[-1] the[0] rival[-1] studios'[0] heavy[0] hitters[0] its[0] eventual[0] demotion[0] to[0] a[0] less[0] potent[0] mid[0] august[0] opening[0] was[0] an[0] obvious[0] early[0] indication[0] of[0] the[0] studio's[0] lack[-1] of[0] confidence[1] with[0] the[0] picture[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and with good reason . 	and with good reason .	2	-1	 and[0] with[0] good[1] reason[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a joyless exercise of a film , held together by a barely coherent plot and lacking any semblance of excitement , thrills or wit . 	this is a joyless exercise of a film , held together by a barely coherent plot and lacking any semblance of excitement , thrills or wit .	5	-1	 this[0] is[0] a[0] joyless[2] exercise[0] of[0] a[0] film[0] held[0] together[0] by[0] a[0] barely[0] coherent[0] plot[0] and[0] lacking[0] any[0] semblance[0] of[0] excitement[2] thrills[3][+1 MultiplePositiveWords] or[0] wit[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
remarkable in its banality and brutally uninvolving , the avengers is a catastrophic mess which immediately invites comparisons to last year's case study in style over substance , joel schumacher's much-loathed batman & robin . 	remarkable in its banality and brutally uninvolving , the avengers is a catastrophic mess which immediately invites comparisons to last year's case study in style over substance , joel schumacher's much-loathed batman & robin .	1	-3	 remarkable[0] in[0] its[0] banality[-1] and[0] brutally[-2] uninvolving[0] the[0] avengers[-1] is[0] a[0] catastrophic[0] mess[0] which[0] immediately[0] invites[0] comparisons[0] to[0] last[0] year's[0] case[0] study[0] in[0] style[0] over[0] substance[0] joel[0] schumacher's[0] much[0] loathed[0] batman[0] &[0] robin[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( indeed , both films even feature appalling , ridiculous sequences which find central characters dressed up in fuzzy oversized costumes . ) 	 ( indeed , both films even feature appalling , ridiculous sequences which find central characters dressed up in fuzy oversized costumes .<br> )	1	-4	 indeed[0] both[0] films[0] even[0] feature[0] appalling[-3] ridiculous[-2][-1 MultiplePositiveWords] sequences[0] which[0] find[0] central[0] characters[0] dressed[0] up[0] in[0] fuzzy/fuzy[0] oversized[0] costumes[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
uma thurman , who takes on the salacious role of the catsuit-clad , karate-chopping emma peel immortalized by diana rigg , was the only bright spot in the aforementioned schumacher disaster , imbuing her poison ivy with a dose of sassiness and sly wit that gave audiences something to smile at amidst the cinematic carnage . 	uma thurman , who takes on the salacious role of the catsuit-clad , karate-chopping emma peel immortalized by diana rig , was the only bright spot in the aforementioned schumacher disaster , imbuing her poison ivy with a dose of sassiness and sly wit that gave audiences something to smile at amidst the cinematic carnage .	3	-3	 uma[0] thurman[0] who[0] takes[0] on[0] the[0] salacious[0] role[0] of[0] the[0] catsuit[0] clad[0] karate[0] chopping[0] emma[0] peel[0] immortalized[0] by[0] diana[0] rigg/rig[0] was[0] the[0] only[0] bright[0] spot[0] in[0] the[0] aforementioned[0] schumacher[0] disaster[-1] imbuing[0] her[0] poison[-2] ivy[0] with[0] a[0] dose[0] of[0] sassiness[0] and[0] sly[-1] wit[0] that[0] gave[0] audiences[0] something[0] to[0] smile[2] at[0] amidst[0] the[0] cinematic[0] carnage[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
unfortunately , the same can't be said here , where she and cohort ralph fiennes ( our new john steed , taking over for patrick macnee ) demonstrate no appreciable chemistry whatsoever , fatally crippling the picture as they volley fizzling repartee back and forth and trade double-entendres with all the enthusiasm of two actors painfully aware that they're on board a sinking ship . 	unfortunately , the same can't be said here , where she and cohort ralph fiennes ( our new john steed , taking over for patrick macnee ) demonstrate no appreciable chemistry whatsoever , fatally crippling the picture as they volley fizling repartee back and forth and trade double-entendres with all the enthusiasm of two actors painfully aware that they're on board a sinking ship .	3	-4	 unfortunately[-1] the[0] same[0] can't[0] be[0] said[0] here[0] where[0] she[0] and[0] cohort[0] ralph[0] fiennes[0] our[0] new[0] john[0] steed[0] taking[0] over[0] for[0] patrick[0] macnee[0] demonstrate[0] no[0] appreciable[0] chemistry[0] whatsoever[0] fatally[-2] crippling[0] the[0] picture[0] as[0] they[0] volley[0] fizzling/fizling[0] repartee[0] back[0] and[0] forth[0] and[0] trade[0] double[0] entendres[0] with[0] all[0] the[0] enthusiasm[2] of[0] two[0] actors[0] painfully[-3] aware[0] that[0] they're[0] on[0] board[0] a[0] sinking[0] ship[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
at this rate , usually-splendid actor mr . fiennes may never make the transition from arthouse apollo to mainstream leading man -- his tepid turn here will make as much of an inroad as his commendably seedy performance in the regrettably-neglected kathyrn bigelow film strange days . 	at this rate , usually-splendid actor mr .<br> fiennes may never make the transition from arthouse apollo to mainstream leading man - his tepid turn here will make as much of an inroad as his commendably seedy performance in the regrettably-neglected kathyrn bigelow film strange days .	3	-2	 at[0] this[0] rate[0] usually[0] splendid[2] actor[0] mr[0] [[Sentence=-1,3=word max, 1-5]] fiennes[0] may[0] never[0] make[0] the[0] transition[0] from[0] arthouse[0] apollo[0] to[0] mainstream[0] leading[0] man[0] his[0] tepid[0] turn[0] here[0] will[0] make[0] as[0] much[0] of[0] an[0] inroad[0] as[0] his[0] commendably[0] seedy[0] performance[0] in[0] the[0] regrettably[-1] neglected[0] kathyrn[0] bigelow[0] film[0] strange[0] days[0] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
