godzilla is a nuclear freak . 	Translation	Positive	Negative	EmotionRationale
he is a lizard that has been mutated over the years and has become a new species , one that has a foot as long as this bus , and a claw as long as this sign . 	he is a lizard that has been mutated over the years and has become a new species , one that has a foot as long as this bus , and a claw as long as this sign .	1	-1	 he[0] is[0] a[0] lizard[0] that[0] has[0] been[0] mutated[0] over[0] the[0] years[0] and[0] has[0] become[0] a[0] new[0] species[0] one[0] that[0] has[0] a[0] foot[0] as[0] long[0] as[0] this[0] bus[0] and[0] a[0] claw[0] as[0] long[0] as[0] this[0] sign[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this aquatic creature made its first attack in the pacific islands . 	this aquatic creature made its first attack in the pacific islands .	1	-3	 this[0] aquatic[0] creature[0] made[0] its[0] first[0] attack[-2] in[0] the[0] pacific[0] islands[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he tore up a ship that carried dozens of japanese men . 	he tore up a ship that carried dozens of japanese men .	1	-1	 he[0] tore[0] up[0] a[0] ship[0] that[0] carried[0] dozens[0] of[0] japanese[0] men[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one survived . 	one survived .	1	-1	 one[0] survived[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only he was left to recount the terror that he had seen . 	only he was left to recount the terror that he had seen .	1	-2	 only[0] he[0] was[0] left[0] to[0] recount[0] the[0] terror[-1] that[0] he[0] had[0] seen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he was merely able to repeat the words " godzilla . . . godzilla . . . godzilla " . 	he was merely able to repeat the words " godzilla .<br> .<br> .<br> godzilla .<br> .<br> .<br> godzilla " .	1	-1	 he[0] was[0] merely[0] able[0] to[0] repeat[0] the[0] words[0] godzilla[0] [[Sentence=-1,1=word max, 1-5]] godzilla[0] [[Sentence=-1,1=word max, 1-5]] godzilla[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film then introduces us to matthew broderick , a biologist who has been studying the fascinating growth of chernobyl earthworms . 	the film then introduces us to matthew broderick , a biologist who has been studying the fascinating growth of chernobyl earthworms .	1	-1	 the[0] film[0] then[0] introduces[0] us[0] to[0] matthew[0] broderick[0] a[0] biologist[0] who[0] has[0] been[0] studying[0] the[0] fascinating[0] growth[0] of[0] chernobyl[0] earthworms[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " they're 17% larger than they used to be ! " he proclaims . 	 " they're 17% larger than they used to be !<br> " he proclaims .	1	-1	 they're[0] 17%[0] larger[0] than[0] they[0] used[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]] he[0] proclaims[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the u . s . military pulls him off this three year project and assigns him to figure out what godzilla is . 	the you .<br> s .<br> military pulls him off this three year project and assigns him to figure out what godzilla is .	1	-1	 the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] military[0] pulls[0] him[0] off[0] this[0] three[0] year[0] project[0] and[0] assigns[0] him[0] to[0] figure[0] out[0] what[0] godzilla[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , boy , does he find out . 	and , boy , does he find out .	1	-1	 and[0] boy[0] does[0] he[0] find[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , boy , does godzilla suck . 	and , boy , does godzilla suck .	1	-2	 and[0] boy[0] does[0] godzilla[0] suck[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i hate to use such a word in a review , something that is supposed to inform my audience , but i really need to drive this one home and i refuse to use explitives . 	i hate to use such a word in a review , something that is supposed to inform my audience , but i really need to drive this one home and i refuse to use explitives .	1	-4	 i[0] hate[-3] to[0] use[0] such[0] a[0] word[0] in[0] a[0] review[0] something[0] that[0] is[0] supposed[0] to[0] inform[0] my[0] audience[0] but[0] i[0] really[0] need[0] to[0] drive[0] this[0] one[0] home[0] and[0] i[0] refuse[-1] to[0] use[0] explitives[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
