all through its production and into the early days of its initial , aborted pre-release publicity , hard rain bore the appropriate moniker of the flood . 	Translation	Positive	Negative	EmotionRationale
ultimately , however , paramount pictures , nervous that this movie would be confused with 1996's other , underperforming disaster films ( dante's peak , volcano ) , changed the title and shifted the release date by nearly a year . 	ultimately , however , paramount pictures , nervous that this movie would be confused with 1996's other , underperforming disaster films ( dante's peak , volcano ) , changed the title and shifted the release date by nearly a year .	1	-3	 ultimately[0] however[0] paramount[0] pictures[0] nervous[-2] that[0] this[0] movie[0] would[0] be[0] confused[-1] with[0] 1996's[0] other[0] underperforming[0] disaster[-1] films[0] dante's[0] peak[0] volcano[0] changed[0] the[0] title[0] and[0] shifted[0] the[0] release[0] date[0] by[0] nearly[0] a[0] year[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but , to paraphrase the bard , swill , by any other name , would smell as rank . 	but , to paraphrase the bard , swill , by any other name , would smell as rank .	1	-1	 but[0] to[0] paraphrase[0] the[0] bard[0] swill[0] by[0] any[0] other[0] name[0] would[0] smell[0] as[0] rank[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no number of name changes can help this picture . 	no number of name changes can help this picture .	1	-1	 no[0] number[0] of[0] name[0] changes[0] can[0] help[0] this[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not just about a disaster , it is a disaster . 	it's not just about a disaster , it is a disaster .	1	-2	 it's[0] not[0] just[0] about[0] a[0] disaster[-1] it[0] is[0] a[0] disaster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hard rain is the case of a movie that gets progressively worse with every passing minute . 	hard rain is the case of a movie that gets progressively worse with every passing minute .	1	-3	 hard[0] rain[0] is[0] the[0] case[0] of[0] a[0] movie[0] that[0] gets[0] progressively[0] worse[-2] with[0] every[0] passing[0] minute[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the best shot occurs during the opening credits , as the camera pans over the streets and byways of huntingburg , indiana as the water level slowly rises . 	the best shot occurs during the opening credits , as the camera pans over the streets and byways of huntingburg , indiana as the water level slowly rises .	2	-2	 the[0] best[1] shot[-1] occurs[0] during[0] the[0] opening[0] credits[0] as[0] the[0] camera[0] pans[0] over[0] the[0] streets[0] and[0] byways[0] of[0] huntingburg[0] indiana[0] as[0] the[0] water[0] level[0] slowly[0] rises[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the community , protected by an overworked dam , is being evacuated as the rain continues to pour relentlessly from the cloud-choked skies . 	the community , protected by an overworked dam , is being evacuated as the rain continues to pour relentlessly from the cloud-choked skies .	1	-4	 the[0] community[0] protected[0] by[0] an[0] overworked[-1] dam[0] is[0] being[0] evacuated[0] as[0] the[0] rain[0] continues[0] to[0] pour[0] relentlessly[0] from[0] the[0] cloud[0] choked[-3] skies[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
from that moment on , it's all downhill . 	from that moment on , it's all downhill .	1	-1	 from[0] that[0] moment[0] on[0] it's[0] all[0] downhill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whatever initial entertainment value the film possesses has long since drained away by the halfway point . 	whatever initial entertainment value the film possesses has long since drained away by the halfway point .	2	-1	 whatever[0] initial[0] entertainment[0] value[1] the[0] film[0] possesses[0] has[0] long[0] since[0] drained[0] away[0] by[0] the[0] halfway[0] point[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it takes forever to get to the end credits -- this is one of the longest-seeming 95-minute motion pictures i have recently endured . 	it takes forever to get to the end credits - this is one of the longest-seeming 95-minute motion pictures i have recently endured .	1	-1	 it[0] takes[0] forever[0] to[0] get[0] to[0] the[0] end[0] credits[0] this[0] is[0] one[0] of[0] the[0] longest[0] seeming[0] 95[0] minute[0] motion[0] pictures[0] i[0] have[0] recently[0] endured[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
basically , hard rain is one extended , dull chase sequence punctuated by occasional shoot-outs . 	basically , hard rain is one extended , dull chase sequence punctuated by occasional shoot-outs .	1	-2	 basically[0] hard[0] rain[0] is[0] one[0] extended[0] dull[-1] chase[-1] sequence[0] punctuated[0] by[0] occasional[0] shoot[-1] outs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's a lot of water , broken glass , gunfire , and explosions . 	there's a lot of water , broken glass , gunfire , and explosions .	1	-2	 there's[0] a[0] lot[0] of[0] water[0] broken[-1] glass[0] gunfire[-1] and[0] explosions[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's all very routine and uninteresting because there aren't any real characters and the plot only occasionally makes sense . 	it's all very routine and uninteresting because there aren't any real characters and the plot only occasionally makes sense .	1	-1	 it's[0] all[0] very[0] routine[0] and[0] uninteresting[0] because[0] there[0] aren't[0] any[0] real[0] characters[0] and[0] the[0] plot[0] only[0] occasionally[0] makes[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
