 " spawn " features good guys , bad guys , lots of fighting , bloody violence , a leather-clad machine gun chick , gooey , self-healing bullet holes , scatological humor and a man-eating monster . 	Translation	Positive	Negative	EmotionRationale
it not only appears to have been tailor made for a swarm of 12- and 13-year-old boys , it appears to have been made by them . 	it not only appears to have been tailor made for a swarm of 12- and 13-year-old boys , it appears to have been made by them .	1	-1	 it[0] not[0] only[0] appears[0] to[0] have[0] been[0] tailor[0] made[0] for[0] a[0] swarm[0] of[0] 12[0] and[0] 13[0] year[0] old[0] boys[0] it[0] appears[0] to[0] have[0] been[0] made[0] by[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a classic example of telling and not showing , " spawn " opens with a truckload of mumbo jumbo about forces of darkness , forces of light and how " men are the ones who create evil on earth . " 	in a classic example of telling and not showing , " spawn " opens with a truckload of mumbo jumbo about forces of darkness , forces of light and how " men are the ones who create evil on earth .<br> "	1	-3	 in[0] a[0] classic[0] example[0] of[0] telling[0] and[0] not[0] showing[0] spawn[0] opens[0] with[0] a[0] truckload[0] of[0] mumbo[0] jumbo[0] about[0] forces[0] of[0] darkness[0] forces[0] of[0] light[0] and[0] how[0] men[0] are[0] the[0] ones[0] who[0] create[0] evil[-2] on[0] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so much for a message . 	so much for a message .	1	-1	 so[0] much[0] for[0] a[0] message[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie then lurches forward into the plight of al simmons ( michael jai white ) , a government assassin/operative who is murdered by diabolical boss jason wynn ( martin sheen , who plays all of his scenes like an oscar clip ) while on a top secret mission in a north korean biological weapons plant . 	the movie then lurches forward into the plight of al simmons ( michael jai white ) , a government assassin/operative who is murdered by diabolical boss jason wyn ( martin sheen , who plays all of his scenes like an oscar clip ) while on a top secret mission in a north korean biological weapons plant .	2	-4	 the[0] movie[0] then[0] lurches[0] forward[0] into[0] the[0] plight[-1] of[0] al[0] simmons[0] michael[0] jai[0] white[0] a[0] government[0] assassin/operative[-2] who[0] is[0] murdered[-3] by[0] diabolical[-1] boss[0] jason[0] wynn/wyn[0] martin[0] sheen[0] who[0] plays[1] all[0] of[0] his[0] scenes[0] like[1] an[0] oscar[0] clip[0] while[0] on[0] a[0] top[0] secret[0] mission[0] in[0] a[0] north[0] korean[0] biological[0] weapons[-1] plant[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
simmons goes to hell and back , after making a deal with satan himself -- if he agrees to command the devil's army to overtake the world , he'll be allowed to return to earth to see his wife wanda ( underused theresa randle ) and little girl cyan ( sydni beaudoin ) . 	simmons goes to hell and back , after making a deal with satan himself - if he agrees to command the devil's army to overtake the world , he'll be allowed to return to earth to see his wife wanda ( underused theresa randle ) and little girl cyan ( sydni beaudoin ) .	1	-3	 simmons[0] goes[0] to[0] hell[-1] and[0] back[0] after[0] making[0] a[0] deal[0] with[0] satan[-2] himself[0] if[0] he[0] agrees[0] to[0] command[0] the[0] devil's[-1] army[0] to[0] overtake[0] the[0] world[0] he'll[0] be[0] allowed[0] to[0] return[0] to[0] earth[0] to[0] see[0] his[0] wife[0] wanda[0] underused[0] theresa[0] randle[0] and[0] little[0] girl[0] cyan[0] sydni[0] beaudoin[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
of course , seeing as how five years has passed , wanda has fallen for -- and married -- simmons' partner ( d . b . 	of course , seeing as how five years has passed , wanda has fallen for - and married - simmons' partner ( d .<br> b .	1	-1	 of[0] course[0] seeing[0] as[0] how[0] five[0] years[0] has[0] passed[0] wanda[0] has[0] fallen[0] for[0] and[0] married[0] simmons'[0] partner[0] d[0] [[Sentence=-1,1=word max, 1-5]] b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sweeney ) . 	sweeney ) .	1	-1	 sweeney[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his , uh , shoulder to cry on comes in the form of clown ( john leguizamo ) , a disgustingly disproportioned minion of satan's . 	his , uh , shoulder to cry on comes in the form of clown ( john leguizamo ) , a disgustingly disproportioned minion of satan's .	1	-4	 his[0] uh[0] shoulder[0] to[0] cry[-3] on[0] comes[0] in[0] the[0] form[0] of[0] clown[0] john[0] leguizamo[0] a[0] disgustingly[-3] disproportioned[0] minion[0] of[0] satan's[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
clown manipulates simmons , now in superhuman spawn form , into a stand off with wynn . 	clown manipulates simmons , now in superhuman spawn form , into a stand off with wyn .	1	-2	 clown[0] manipulates[-1] simmons[0] now[0] in[0] superhuman[0] spawn[0] form[0] into[0] a[0] stand[0] off[0] with[0] wynn/wyn[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wynn , who thinks he is in league with the double-dealing clown , recognizes spawn as a threat and undergoes an operation where a bomb is placed on his heart -- when it stops beating , major cities around the world will detonate , causing the leak of a disease that " makes the ebola virus look like a skin rash . " 	wyn , who thinks he is in league with the double-dealing clown , recognizes spawn as a threat and undergoes an operation where a bomb is placed on his heart - when it stops beating , major cities around the world will detonate , causing the leak of a disease that " makes the ebola virus look like a skin rash .<br> "	2	-3	 wynn/wyn[0] who[0] thinks[0] he[0] is[0] in[0] league[0] with[0] the[0] double[0] dealing[0] clown[0] recognizes[0] spawn[0] as[0] a[0] threat[-2] and[0] undergoes[0] an[0] operation[0] where[0] a[0] bomb[-1] is[0] placed[0] on[0] his[0] heart[0] when[0] it[0] stops[0] beating[0] major[0] cities[0] around[0] the[0] world[0] will[0] detonate[0] causing[0] the[0] leak[-1] of[0] a[0] disease[-2] that[0] makes[0] the[0] ebola[0] virus[0] look[0] like[1] a[0] skin[0] rash[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
phew . got all that ? 	phew .<br> got all that ?	1	-1	 phew[0] [[Sentence=-1,1=word max, 1-5]] got[0] all[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it would be easy to dismiss " spawn " as just another one of those heavy-on-fx , short-on-substance action pics , but it doesn't even work on that level . 	it would be easy to dismiss " spawn " as just another one of those heavy-on-fx , short-on-substance action pics , but it doesn't even work on that level .	1	-2	 it[0] would[0] be[0] easy[0] to[0] dismiss[-1] spawn[0] as[0] just[0] another[0] one[0] of[0] those[0] heavy[0] on[0] fx[0] short[0] on[0] substance[0] action[0] pics[0] but[0] it[0] doesn't[0] even[0] work[0] on[0] that[0] level[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the computer-generated sequences are often and plenty , and the problem is that they look too computer-generated . 	the computer-generated sequences are often and plenty , and the problem is that they look too computer-generated .	1	-2	 the[0] computer[0] generated[0] sequences[0] are[0] often[0] and[0] plenty[0] and[0] the[0] problem[-1] is[0] that[0] they[0] look[0] too[0] computer[0] generated[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the several scenes set in hell present a devil that looks and acts like a video game graphic -- with the movie's healthy budget you'd think they could have afforded to make his mouth move when he talks . 	the several scenes set in hell present a devil that looks and acts like a video game graphic - with the movie's healthy budget you'd think they could have afforded to make his mouth move when he talks .	2	-2	 the[0] several[0] scenes[0] set[0] in[0] hell[-1] present[0] a[0] devil[-1] that[0] looks[0] and[0] acts[0] like[1] a[0] video[0] game[0] graphic[0] with[0] the[0] movie's[0] healthy[0] budget[0] you'd[0] think[0] they[0] could[0] have[0] afforded[0] to[0] make[0] his[0] mouth[0] move[0] when[0] he[0] talks[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
other elements of the movie are so-so ; spawn's enormous red , flowing cape is a wonderful sight , but it's too obvious when he's being played by a costumed actor or an image . 	other elements of the movie are so-so ; spawn's enormous red , flowing cape is a wonderful sight , but it's too obvious when he's being played by a costumed actor or an image .	3	-1	 other[0] elements[0] of[0] the[0] movie[0] are[0] so[0] so[0] spawn's[0] enormous[0] red[0] flowing[0] cape[0] is[0] a[0] wonderful[2] sight[0] but[0] it's[0] too[0] obvious[0] when[0] he's[0] being[0] played[0] by[0] a[0] costumed[0] actor[0] or[0] an[0] image[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in movies like " contact , " the special effects serve the story . 	in movies like " contact , " the special effects serve the story .	2	-1	 in[0] movies[0] like[1] contact[0] the[0] special[1] effects[0] serve[0] the[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in " spawn , " they are the story . 	in " spawn , " they are the story .	1	-1	 in[0] spawn[0] they[0] are[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and spawn himself isn't even an interesting character . 	and spawn himself isn't even an interesting character .	2	-1	 and[0] spawn[0] himself[0] isn't[0] even[0] an[0] interesting[1] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
