we could paraphrase michelle pfieffer's character in dangerous minds and say that beyond rangoon starts with an " a . " 	Translation	Positive	Negative	EmotionRationale
that's fair enough . 	that's fair enough .	1	-1	 that's[0] fair[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all movies , like all school children , should be given the benefit of the doubt . 	all movies , like all school children , should be given the benefit of the doubt .	2	-2	 all[0] movies[0] like[1] all[0] school[0] children[0] should[0] be[0] given[0] the[0] benefit[0] of[0] the[0] doubt[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the chance to succeed . 	the chance to succeed .	3	-1	 the[0] chance[0] to[0] succeed[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after all , we like to think that the right combination of talent and effort can do wonders . 	after all , we like to think that the right combination of talent and effort can do wonders .	2	-1	 after[0] all[0] we[0] like[1] to[0] think[0] that[0] the[0] right[0] combination[0] of[0] talent[1] and[0] effort[0] can[0] do[0] wonders[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mountains can be moved , and good movies can be made . 	mountains can be moved , and good movies can be made .	2	-1	 mountains[0] can[0] be[0] moved[0] and[0] good[1] movies[0] can[0] be[0] made[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yeah right . 	yeah right .	1	-1	 yeah[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
children fail , as do films . 	children fail , as do films .	1	-3	 children[0] fail[-2] as[0] do[0] films[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as does director john boorman's latest . 	as does director john boorman's latest .	1	-1	 as[0] does[0] director[0] john[0] boorman's[0] latest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the success of beyond rangoon hinges on the believability of patricia arquette ( ed wood , true romance ) as the busty westerner-in-peril wandering about 1988 burma without a passport . 	the success of beyond rangoon hinges on the believability of patricia arquette ( ed wood , true romance ) as the busty westerner-in-peril wandering about 1988 burma without a passport .	4	-2	 the[0] success[2] of[0] beyond[0] rangoon[0] hinges[0] on[0] the[0] believability[0] of[0] patricia[0] arquette[0] ed[0] wood[0] true[1] romance[3] as[0] the[0] busty[0] westerner[0] in[0] peril[-1] wandering[0] about[0] 1988[0] burma[0] without[0] a[0] passport[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
though we can stomach the mild plot contrivances that get her there , it's a tougher task to overlook the actress . 	though we can stomach the mild plot contrivances that get her there , it's a tougher task to overlook the actress .	1	-2	 though[0] we[0] can[0] stomach[0] the[0] mild[0] plot[0] contrivances[0] that[0] get[0] her[0] there[0] it's[0] a[0] tougher[-1] task[0] to[0] overlook[-1] the[0] actress[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she's a lightweight . 	she's a lightweight .	1	-1	 she's[0] a[0] lightweight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the first scene ( with narration ! ) 	as the first scene ( with narration !<br> )	1	-1	 as[0] the[0] first[0] scene[0] with[0] narration[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
