 " mandingo " has traditionally been seen as one of two things : either a much-needed revisionist look at slavery in the south , or in the words of film critic leonard maltin , " a trashy potboiler " that " appeals only to the s&m crowd . " 	Translation	Positive	Negative	EmotionRationale
actually , i think " mandingo " is a strange combination of the two , although it fails on both fronts . 	actually , i think " mandingo " is a strange combination of the two , although it fails on both fronts .	1	-3	 actually[0] i[0] think[0] mandingo[0] is[0] a[0] strange[0] combination[0] of[0] the[0] two[0] although[0] it[0] fails[-2] on[0] both[0] fronts[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's too trashy to be good drama , but too dramatic to be good trash . 	it's too trashy to be good drama , but too dramatic to be good trash .	2	-2	 it's[0] too[0] trashy[-1] to[0] be[0] good[1] drama[0] but[0] too[0] dramatic[0] to[0] be[0] good[1] trash[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the story takes place on a dilapidated louisiana plantation run by crotchety old warren maxwell ( james mason ) and his son , hammond ( perry king ) . 	the story takes place on a dilapidated louisiana plantation run by crotchety old warren maxwell ( james mason ) and his son , hammond ( perry king ) .	1	-1	 the[0] story[0] takes[0] place[0] on[0] a[0] dilapidated[0] louisiana[0] plantation[0] run[0] by[0] crotchety[0] old[0] warren[0] maxwell[0] james[0] mason[0] and[0] his[0] son[0] hammond[0] perry[0] king[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one day in new orleans , hammond comes across a slave trader selling a mandingo named mede ( heavyweight boxer ken norton ) . 	one day in new orleans , hammond comes across a slave trader selling a mandingo named mede ( heavyweight boxer ken norton ) .	1	-1	 one[0] day[0] in[0] new[0] orleans[0] hammond[0] comes[0] across[0] a[0] slave[0] trader[0] selling[0] a[0] mandingo[0] named[0] mede[0] heavyweight[0] boxer[0] ken[0] norton[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the movie never explains it , a mandingo is simply the name for africans who come from the region of the upper niger river valley . 	although the movie never explains it , a mandingo is simply the name for africans who come from the region of the upper niger river valley .	1	-1	 although[0] the[0] movie[0] never[0] explains[0] it[0] a[0] mandingo[0] is[0] simply[0] the[0] name[0] for[0] africans[0] who[0] come[0] from[0] the[0] region[0] of[0] the[0] upper[0] niger[0] river[0] valley[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
according to the movie , mandingos were the rolls royce of african slaves . 	according to the movie , mandingos were the rolls royce of african slaves .	1	-1	 according[0] to[0] the[0] movie[0] mandingos[0] were[0] the[0] rolls[0] royce[0] of[0] african[0] slaves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hammond pays top price for mede and has to fight off others in order to get him . 	hammond pays top price for mede and has to fight off others in order to get him .	1	-3	 hammond[0] pays[0] top[0] price[0] for[0] mede[0] and[0] has[0] to[0] fight[-2] off[0] others[0] in[0] order[0] to[0] get[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hammond then spends his time training mede to be a fighter in money brawls with other slaves . 	hammond then spends his time training mede to be a fighter in money brawls with other slaves .	1	-3	 hammond[0] then[0] spends[0] his[0] time[0] training[0] mede[0] to[0] be[0] a[0] fighter[-2] in[0] money[0] brawls[-1] with[0] other[0] slaves[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meanwhile , hammond has married his cousin , blanche ( susan george ) , because she wants to escape her family and he is under pressure from his father to produce a grandchild . 	meanwhile , hammond has married his cousin , blanche ( susan george ) , because she wants to escape her family and he is under pressure from his father to produce a grandchild .	1	-2	 meanwhile[0] hammond[0] has[0] married[0] his[0] cousin[0] blanche[0] susan[0] george[0] because[0] she[0] wants[0] to[0] escape[0] her[0] family[0] and[0] he[0] is[0] under[0] pressure[-1] from[0] his[0] father[0] to[0] produce[0] a[0] grandchild[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hammond , however , is happier spending nights with his " bed wench , " the derogatory name given to female slaves used by their masters for easy sex . 	hammond , however , is happier spending nights with his " bed wench , " the derogatory name given to female slaves used by their masters for easy sex .	3	-2	 hammond[0] however[0] is[0] happier[2] spending[0] nights[0] with[0] his[0] bed[0] wench[-1] the[0] derogatory[-1] name[0] given[0] to[0] female[0] slaves[0] used[0] by[0] their[0] masters[0] for[0] easy[0] sex[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
