lauded as a genius by many , stanley kubrick commands a superlative filmography that includes such critically-acclaimed films as " 2001 : a space odyssey , " " a clockwork orange , " " lolita , " and " dr . 	Translation	Positive	Negative	EmotionRationale
strangelove , or : how i learned to stop worrying and love the bomb . " 	strangelove , or : how i learned to stop worrying and love the bomb .<br> "	3	-4	 strangelove[0] or[0] how[0] i[0] learned[0] to[0] stop[0] worrying[-3] and[0] love[2] the[0] bomb[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
now , sadly , he's added " eyes wide shut " to that impeccable body of work and his final film is the first and only blot on his near-flawless copybook . 	now , sadly , he's added " eyes wide shut " to that impeccable body of work and his final film is the first and only blot on his near-flawless copybook .	2	-2	 now[0] sadly[-1] he's[0] added[0] eyes[0] wide[0] shut[0] to[0] that[0] impeccable[0] body[0] of[0] work[0] and[0] his[0] final[0] film[0] is[0] the[0] first[0] and[0] only[0] blot[0] on[0] his[0] near[0] flawless[1] copybook[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
kubrick , alas , should have quit while he was ahead . 	kubrick , alas , should have quit while he was ahead .	1	-2	 kubrick[0] alas[-1] should[0] have[0] quit[-1] while[0] he[0] was[0] ahead[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this much-publicized psycho-sexual tease-a-thon , with its star billing of real-life marrieds tom cruise and nicole kidman , is nothing more than one long ( two-and-a-half hours long ) boring exercise that features kubrick operating with talent wide shut . 	this much-publicized psycho-sexual tease-a-thon , with its star billing of real-life marrieds tom cruise and nicole kidman , is nothing more than one long ( two-and-a-half hours long ) boring exercise that features kubrick operating with talent wide shut .	2	-2	 this[0] much[0] publicized[0] psycho[0] sexual[0] tease[-1] a[0] thon[0] with[0] its[0] star[0] billing[0] of[0] real[0] life[0] marrieds[0] tom[0] cruise[0] and[0] nicole[0] kidman[0] is[0] nothing[0] more[0] than[0] one[0] long[0] two[0] and[0] a[0] half[0] hours[0] long[0] boring[-1] exercise[0] that[0] features[0] kubrick[0] operating[0] with[0] talent[1] wide[0] shut[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
kubrick , faithless to arthur schnitzler's 1926 novella " dream story , " has confused eroticism with nudity . 	kubrick , faithless to arthur schnitzler's 1926 novella " dream story , " has confused eroticism with nudity .	1	-3	 kubrick[0] faithless[-2] to[0] arthur[0] schnitzler's[0] 1926[0] novella[0] dream[0] story[0] has[0] confused[-1] eroticism[0] with[0] nudity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he has confused intellectualism with talking slowly . 	he has confused intellectualism with talking slowly .	1	-2	 he[0] has[0] confused[-1] intellectualism[0] with[0] talking[0] slowly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he has confused profundity with pretentiousness . 	he has confused profundity with pretentiousness .	1	-2	 he[0] has[0] confused[-1] profundity[0] with[0] pretentiousness[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in addition , the director has made some strange casting choices , leaving sydney pollack in and leaving accomplished performers harvey keitel and jennifer jason leigh out . 	in addition , the director has made some strange casting choices , leaving sydney pollack in and leaving accomplished performers harvey keitel and jennifer jason leigh out .	2	-1	 in[0] addition[0] the[0] director[0] has[0] made[0] some[0] strange[0] casting[0] choices[0] leaving[0] sydney[0] pollack[0] in[0] and[0] leaving[0] accomplished[1] performers[0] harvey[0] keitel[0] and[0] jennifer[0] jason[0] leigh[0] out[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
pollack , the director of such box-office hits as " tootsie " and " out of africa , " is normally solid in his occasional acting stints but here he's miserably out of his depth . . . 	pollack , the director of such box-office hits as " tootsie " and " out of africa , " is normally solid in his occasional acting stints but here he's miserably out of his depth .<br> .<br> .	1	-3	 pollack[0] the[0] director[0] of[0] such[0] box[0] office[0] hits[0] as[0] tootsie[0] and[0] out[0] of[0] africa[0] is[0] normally[0] solid[0] in[0] his[0] occasional[0] acting[0] stints[0] but[0] here[0] he's[0] miserably[-2] out[0] of[0] his[0] depth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and there isn't much depth to begin with ! 	and there isn't much depth to begin with !	1	-1	 and[0] there[0] isn't[0] much[0] depth[0] to[0] begin[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unhappily , there's not likely to be a director's cut of this film to determine whether the decision to exorcise keitel and leigh was the right one . 	unhappily , there's not likely to be a director's cut of this film to determine whether the decision to exorcise keitel and leigh was the right one .	1	-3	 unhappily[-2] there's[0] not[0] likely[0] to[0] be[0] a[0] director's[0] cut[0] of[0] this[0] film[0] to[0] determine[0] whether[0] the[0] decision[0] to[0] exorcise[0] keitel[0] and[0] leigh[0] was[0] the[0] right[0] one[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , with the exception of the stark black-and-white credits , snatches of baroque music on the soundtrack , and many , many grainy tracking shots down lavishly-decorated corridors , there's none of kubrick's trademark brilliance in this film . 	in fact , with the exception of the stark black-and-white credits , snatches of baroque music on the soundtrack , and many , many grainy tracking shots down lavishly-decorated corridors , there's none of kubrick's trademark brilliance in this film .	2	-2	 in[0] fact[0] with[0] the[0] exception[0] of[0] the[0] stark[-1] black[0] and[0] white[0] credits[0] snatches[-1] of[0] baroque[0] music[0] on[0] the[0] soundtrack[0] and[0] many[0] many[0] grainy[0] tracking[0] shots[0] down[0] lavishly[0] decorated[0] corridors[0] there's[0] none[0] of[0] kubrick's[0] trademark[0] brilliance[1] in[0] this[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it doesn't help that the story , as delivered , is ridiculous . 	it doesn't help that the story , as delivered , is ridiculous .	1	-3	 it[0] doesn't[0] help[0] that[0] the[0] story[0] as[0] delivered[0] is[0] ridiculous[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
cruise and kidman , who bring little more than marital torpor to the project , play well-to-do new yorkers bill and alice harford . 	cruise and kidman , who bring little more than marital torpor to the project , play well-to-do new yorkers bill and alice harford .	1	-1	 cruise[0] and[0] kidman[0] who[0] bring[0] little[0] more[0] than[0] marital[0] torpor[0] to[0] the[0] project[0] play[0] well[0] to[0] do[0] new[0] yorkers[0] bill[0] and[0] alice[0] harford[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's a doctor and she's an unemployed art gallery director and they share a central park west address . 	he's a doctor and she's an unemployed art gallery director and they share a central park west address .	1	-2	 he's[0] a[0] doctor[0] and[0] she's[0] an[0] unemployed[-1] art[0] gallery[0] director[0] and[0] they[0] share[0] a[0] central[0] park[0] west[0] address[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at an opulent party hosted by their friend victor ziegler ( pollack ) , alice gets a little tipsy and starts dancing with a jeremy irons-like hungarian , who's singularly determined to get her in the sack . 	at an opulent party hosted by their friend victor ziegler ( pollack ) , alice gets a little tipsy and starts dancing with a jeremy irons-like hungarian , who's singularly determined to get her in the sack .	2	-1	 at[0] an[0] opulent[0] party[0] hosted[0] by[0] their[0] friend[1] victor[0] ziegler[0] pollack[0] alice[0] gets[0] a[0] little[0] tipsy[0] and[0] starts[0] dancing[0] with[0] a[0] jeremy[0] irons[0] like[1] hungarian[0] who's[0] singularly[0] determined[0] to[0] get[0] her[0] in[0] the[0] sack[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
