an 18-foot-high , 43-foot-long dragon is the computer-generated co- star of this strictly-by-the-numbers sword 'n' sorcery flick . 	Translation	Positive	Negative	EmotionRationale
as voiced by sean connery , " draco " is a surprisingly expressive creation who is well-deserving of his 23 minutes of screen time . 	as voiced by sean connery , " draco " is a surprisingly expressive creation who is well-deserving of his 23 minutes of screen time .	1	-1	 as[0] voiced[0] by[0] sean[0] connery[0] draco[0] is[0] a[0] surprisingly[0] expressive[0] creation[0] who[0] is[0] well[0] deserving[0] of[0] his[0] 23[0] minutes[0] of[0] screen[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he walks , talks , flies , fries , and even fakes his own death , all with the help of 96 computer-aided animators . 	he walks , talks , flies , fries , and even fakes his own death , all with the help of 96 computer-aided animators .	1	-3	 he[0] walks[0] talks[0] flies[0] fries[0] and[0] even[0] fakes[-1] his[0] own[0] death[-2] all[0] with[0] the[0] help[0] of[0] 96[0] computer[0] aided[0] animators[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
too bad that ilm ( industrial light and magic ) couldn't spare some special effects for dragonheart's * human * co-stars . 	too bad that ilm ( industrial light and magic ) couldn't spare some special effects for dragonheart's * human * co-stars .	1	-2	 too[0] bad[-1] that[0] ilm[0] industrial[0] light[0] and[0] magic[0] couldn't[0] spare[0] some[0] special[1][-1 LastWordBoosterStrength] effects[0] for[0] dragonheart's[0] human[0] co[0] stars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a bearded black hole exists where dennis quaid should be . 	a bearded black hole exists where dennis quaid should be .	1	-1	 a[0] bearded[0] black[0] hole[0] exists[0] where[0] dennis[0] quaid[0] should[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's a near-total loss as he growls glumly through his role of a disillusioned knight . 	he's a near-total loss as he growls glumly through his role of a disillusioned knight .	1	-4	 he's[0] a[0] near[0] total[0] loss[-2][-1 LastWordBoosterStrength] as[0] he[0] growls[0] glumly[-2] through[0] his[0] role[0] of[0] a[0] disillusioned[-1] knight[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
david thewlis' evil king has a high hiss factor ( hf ) , though he's more of a mumbling oddity than anything else . 	david thewlis' evil king has a high hiss factor ( hf ) , though he's more of a mumbling oddity than anything else .	1	-3	 david[0] thewlis'[0] evil[-2] king[0] has[0] a[0] high[0] hiss[0] factor[0] hf[0] though[0] he's[0] more[0] of[0] a[0] mumbling[0] oddity[-1] than[0] anything[0] else[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
oh , and there's some redhead in a '90's wig , who runs around either screaming or scowling , depending upon if the particular scene has her playing the woman in peril or the put upon peasant . 	oh , and there's some redhead in a '90's wig , who runs around either screaming or scowling , depending upon if the particular scene has her playing the woman in peril or the put upon peasant .	2	-4	 oh[0] and[0] there's[0] some[0] redhead[0] in[0] a[0] '90's[0] wig[0] who[0] runs[0] around[0] either[0] screaming[-3] or[0] scowling[-1] depending[0] upon[0] if[0] the[0] particular[0] scene[0] has[0] her[0] playing[1] the[0] woman[0] in[0] peril[-1] or[0] the[0] put[0] upon[0] peasant[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the fringe flourishes include pete postlethwaite as a wandering monk with literary ambitions , julie christie ( ! ) as the good queen mother , a band of mercenaries that appear dressed for ye olde heavy-metal concert , and , believe or it not , the speaking spirit of king arthur . 	the fringe flourishes include pete postlethwaite as a wandering monk with literary ambitions , julie christie ( !<br> ) as the good queen mother , a band of mercenaries that appear dressed for ye olde heavy-metal concert , and , believe or it not , the speaking spirit of king arthur .	2	-1	 the[0] fringe[0] flourishes[0] include[0] pete[0] postlethwaite[0] as[0] a[0] wandering[0] monk[0] with[0] literary[0] ambitions[0] julie[0] christie[0] [[Sentence=-1,1=word max, 1-5]] as[0] the[0] good[1] queen[0] mother[0] a[0] band[0] of[0] mercenaries[0] that[0] appear[0] dressed[0] for[0] ye[0] olde[0] heavy[0] metal[0] concert[0] and[0] believe[0] or[0] it[0] not[0] the[0] speaking[0] spirit[0] of[0] king[0] arthur[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bring out your dead ! 	bring out your dead !	1	-3	 bring[0] out[0] your[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
unfortunately , when we add it all together ( draco   fringe bits - quaid - thewlis ) , the sum total amounts to zero . 	unfortunately , when we add it all together ( draco   fringe bits - quaid - thewlis ) , the sum total amounts to zero .	1	-2	 unfortunately[-1] when[0] we[0] add[0] it[0] all[0] together[0] draco[0] fringe[0] bits[0] quaid[0] thewlis[0] the[0] sum[0] total[0] amounts[0] to[0] zero[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dragonheart is , well , too much of too little . 	dragonheart is , well , too much of too little .	1	-1	 dragonheart[0] is[0] well[0] too[0] much[0] of[0] too[0] little[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director rob cohen ( dragon : the bruce lee story ) has made a big , expensive movie that , while ambitiously plotted , is both murky and predictable . 	director rob cohen ( dragon : the bruce lee story ) has made a big , expensive movie that , while ambitiously plotted , is both murky and predictable .	1	-2	 director[0] rob[0] cohen[0] dragon[0] the[0] bruce[0] lee[0] story[0] has[0] made[0] a[0] big[0] expensive[-1] movie[0] that[0] while[0] ambitiously[0] plotted[0] is[0] both[0] murky[-1] and[0] predictable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and overscored . 	and overscored .	1	-1	 and[0] overscored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and self-important . 	and self-important .	1	-1	 and[0] self[0] important[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the list goes on . 	and the list goes on .	1	-1	 and[0] the[0] list[0] goes[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( i must ask : did screenwriter charles edward pogue intend that * every * character be stabbed , lanced , or sliced at least once ? 	 ( i must ask : did screenwriter charles edward pogue intend that * every * character be stabbed , lanced , or sliced at least once ?	1	-2	 i[0] must[0] ask[0] did[0] screenwriter[0] charles[0] edward[0] pogue[0] intend[0] that[0] every[0] character[0] be[0] stabbed[-1] lanced[0] or[0] sliced[0] at[0] least[0] once[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
keep that man away from the knife drawer ! ) 	keep that man away from the knife drawer !<br> )	1	-2	 keep[0] that[0] man[0] away[0] from[0] the[0] knife[-1] drawer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the last five minutes of this movie are the worst , with some silly celestial nonsense that would be laughed out of any planetarium light show , much less a summer movie . 	the last five minutes of this movie are the worst , with some silly celestial nonsense that would be laughed out of any planetarium light show , much less a summer movie .	2	-3	 the[0] last[0] five[0] minutes[0] of[0] this[0] movie[0] are[0] the[0] worst[-2] with[0] some[0] silly[-1][--1 LastWordBoosterStrength] celestial[0] nonsense[-1] that[0] would[0] be[0] laughed[1] out[0] of[0] any[0] planetarium[0] light[0] show[0] much[0] less[0] a[0] summer[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
save your money . 	save your money .	2	-1	 save[1] your[0] money[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
