the obvious reason for producing a sequel to an immensely popular movie is to acquire continued profits . 	Translation	Positive	Negative	EmotionRationale
the rationale is sound , but in many cases of this and recent years , the sequel is a shoddy product that's exposed for the cash-milking vehicle it really is . 	the rationale is sound , but in many cases of this and recent years , the sequel is a shoddy product that's exposed for the cash-milking vehicle it really is .	1	-2	 the[0] rationale[0] is[0] sound[0] but[0] in[0] many[0] cases[0] of[0] this[0] and[0] recent[0] years[0] the[0] sequel[0] is[0] a[0] shoddy[-1] product[0] that's[0] exposed[-1] for[0] the[0] cash[0] milking[0] vehicle[0] it[0] really[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
last year's speed 2 and scream 2 , as well as this year's species ii have all been products that have been decisively less than satisfactory . 	last year's speed 2 and scream 2 , as well as this year's species i have all been products that have been decisively less than satisfactory .	2	-4	 last[0] year's[0] speed[0] 2[0] and[0] scream[-3] 2[0] as[0] well[0] as[0] this[0] year's[0] species[0] ii/i[0] have[0] all[0] been[0] products[0] that[0] have[0] been[0] decisively[0] less[0] than[0] satisfactory[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in some cases , a sequel can even discredit its predecessor , as with the latest neo-slasher flick , i still know what you did last summer . 	in some cases , a sequel can even discredit its predecessor , as with the latest neo-slasher flick , i still know what you did last summer .	1	-2	 in[0] some[0] cases[0] a[0] sequel[0] can[0] even[0] discredit[-1] its[0] predecessor[0] as[0] with[0] the[0] latest[0] neo[0] slasher[-1] flick[0] i[0] still[0] know[0] what[0] you[0] did[0] last[0] summer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
whatever uniqueness the original might've had now seems trite and overplayed when paired with this abominable thriller . 	whatever uniqueness the original might've had now seems trite and overplayed when paired with this abominable thriller .	2	-3	 whatever[0] uniqueness[0] the[0] original[0] might've[0] had[0] now[0] seems[0] trite[-2] and[0] overplayed[0] when[0] paired[0] with[0] this[0] abominable[-2] thriller[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
julie james ( jennifer love hewitt ) and ray bronson ( freddie prinze jr . ) are back from the original to star in i still know , reprising their roles in typical fashion . 	julie james ( jennifer love hewitt ) and ray bronson ( freddie prinze jr .<br> ) are back from the original to star in i still know , reprising their roles in typical fashion .	3	-1	 julie[0] james[0] jennifer[0] love[2] hewitt[0] and[0] ray[0] bronson[0] freddie[0] prinze[0] jr[0] [[Sentence=-1,3=word max, 1-5]] are[0] back[0] from[0] the[0] original[0] to[0] star[0] in[0] i[0] still[0] know[0] reprising[0] their[0] roles[0] in[0] typical[0] fashion[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
julie and ray experience a rather predictable falling-out at the beginning of the movie , leaving the door wide open for newcomer will benson ( matthew settle ) . 	julie and ray experience a rather predictable falling-out at the beginning of the movie , leaving the door wide open for newcomer will benson ( matthew settle ) .	1	-1	 julie[0] and[0] ray[0] experience[0] a[0] rather[0] predictable[0] falling[0] out[0] at[0] the[0] beginning[0] of[0] the[0] movie[0] leaving[0] the[0] door[0] wide[0] open[0] for[0] newcomer[0] will[0] benson[0] matthew[0] settle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will and julie hit it off , and along with friends karla ( brandy norwood ) and tyrell ( mekhi phifer ) , the foursome heads off to a radio station-giveaway vacation in the tropics . 	will and julie hit it off , and along with friends karla ( brandy norwood ) and tyrell ( mekhi phifer ) , the foursome heads off to a radio station-giveaway vacation in the tropics .	2	-1	 will[0] and[0] julie[0] hit[0] it[0] off[0] and[0] along[0] with[0] friends[1] karla[0] brandy[0] norwood[0] and[0] tyrell[0] mekhi[0] phifer[0] the[0] foursome[0] heads[0] off[0] to[0] a[0] radio[0] station[0] giveaway[0] vacation[0] in[0] the[0] tropics[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , things aren't so peachy once they arrive , and with a regularity you could set your watch by , the infamous fisherman ( muse watson ) is back with his hook . 	unfortunately , things aren't so peachy once they arrive , and with a regularity you could set your watch by , the infamous fisherman ( muse watson ) is back with his hook .	1	-2	 unfortunately[-1] things[0] aren't[0] so[0] peachy[0] once[0] they[0] arrive[0] and[0] with[0] a[0] regularity[0] you[0] could[0] set[0] your[0] watch[0] by[0] the[0] infamous[-1] fisherman[0] muse[0] watson[0] is[0] back[0] with[0] his[0] hook[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's another bloody showdown , complete with cliffhanger ending . 	it's another bloody showdown , complete with cliffhanger ending .	1	-2	 it's[0] another[0] bloody[-1] showdown[0] complete[0] with[0] cliffhanger[0] ending[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's not much that's original about i still know , and with the market saturated by gen-x thrillers like this one , it's unlikely that i still know will get any recognition other than that of a bad sequel . 	there's not much that's original about i still know , and with the market saturated by gen-x thrillers like this one , it's unlikely that i still know will get any recognition other than that of a bad sequel .	2	-2	 there's[0] not[0] much[0] that's[0] original[0] about[0] i[0] still[0] know[0] and[0] with[0] the[0] market[0] saturated[0] by[0] gen[0] x[1] thrillers[1] like[1] this[0] one[0] it's[0] unlikely[0] that[0] i[0] still[0] know[0] will[0] get[0] any[0] recognition[0] other[0] than[0] that[0] of[0] a[0] bad[-1] sequel[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
