for about twenty minutes into mission impossible 2 director john woo ( the killer , hard boiled , face off ) appears to have made an exciting , elegant , charming spy thriller , kind of a post millennium james bond adventure with a strapping american ( read : unsophisticated ) hero more willing to drop kick villains than out fox them . 	Translation	Positive	Negative	EmotionRationale
sadly , as the picture progresses , the final product begins to bear a closer resemblance to a souped up , two-hour long episode of magyuver . 	sadly , as the picture progresses , the final product begins to bear a closer resemblance to a souped up , two-hour long episode of magyuver .	1	-2	 sadly[-1] as[0] the[0] picture[0] progresses[0] the[0] final[0] product[0] begins[0] to[0] bear[0] a[0] closer[0] resemblance[0] to[0] a[0] souped[0] up[0] two[0] hour[0] long[0] episode[0] of[0] magyuver[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and not a particularly good one at that . 	and not a particularly good one at that .	2	-1	 and[0] not[0] a[0] particularly[0] good[1] one[0] at[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what went wrong ? 	what went wrong ?	1	-2	 what[0] went[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mi2 begins flashily enough , that initial flash leading us to believe that it'll soon give way to something of a plot , but it only gives way to more flash , then digresses further into a presumably unintentional parody of itself with much slo mo posturing and countless action set pieces wherein bad guys seem to deliberately leap into the way of tom cruise's firing gun just so they can die really cool . 	mi2 begins flashily enough , that initial flash leading us to believe that it'll soon give way to something of a plot , but it only gives way to more flash , then digresses further into a presumably unintentional parody of itself with much slo mo posturing and countless action set pieces wherein bad guys seem to deliberately leap into the way of tom cruise's firing gun just so they can die really cool .	3	-2	 mi2[0] begins[0] flashily[0] enough[0] that[0] initial[0] flash[0] leading[0] us[0] to[0] believe[0] that[0] it'll[0] soon[0] give[0] way[0] to[0] something[0] of[0] a[0] plot[0] but[0] it[0] only[0] gives[0] way[0] to[0] more[0] flash[0] then[0] digresses[0] further[0] into[0] a[0] presumably[0] unintentional[0] parody[0] of[0] itself[0] with[0] much[0] slo[0] mo[0] posturing[0] and[0] countless[0] action[0] set[0] pieces[0] wherein[0] bad[-1] guys[0] seem[0] to[0] deliberately[0] leap[0] into[0] the[0] way[0] of[0] tom[0] cruise's[0] firing[0] gun[-1] just[0] so[0] they[0] can[0] die[0] really[0] cool[1][1 LastWordBoosterStrength] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
early on , during a car chase between soon to be lovers ethan hunt ( tom cruise ) and nyah nordoff-hall ( thandie newton ) , woo works some of his trademark magic . 	early on , during a car chase between soon to be lovers ethan hunt ( tom cruise ) and nyah nordoff-hall ( thandie newton ) , woo works some of his trademark magic .	4	-2	 early[0] on[0] during[0] a[0] car[0] chase[-1] between[0] soon[0] to[0] be[0] lovers[3] ethan[0] hunt[0] tom[0] cruise[0] and[0] nyah[0] nordoff[0] hall[0] thandie[0] newton[0] woo[0] works[0] some[0] of[0] his[0] trademark[0] magic[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in one hypnotic , though completely inexplicable sequence , the director slows the action down to a languid semi-stall as cruise and his stunning opponent stare into one and other's eyes with come hither sexuality ? ? ? just as their respective cars smash and spin in accordance , coming ever so close to toppling over a neighboring cliff . 	in one hypnotic , though completely inexplicable sequence , the director slows the action down to a languid semi-stall as cruise and his stunning opponent stare into one and other's eyes with come hither sexuality ?<br> ?<br> ?<br> just as their respective cars smash and spin in accordance , coming ever so close to toppling over a neighboring cliff .	3	-3	 in[0] one[0] hypnotic[0] though[0] completely[0] inexplicable[-1][-1 LastWordBoosterStrength] sequence[0] the[0] director[0] slows[0] the[0] action[0] down[0] to[0] a[0] languid[0] semi[0] stall[0] as[0] cruise[0] and[0] his[0] stunning[0] opponent[-1] stare[0] into[0] one[0] and[0] other's[0] eyes[0] with[0] come[0] hither[0] sexuality[0] [[Sentence=-3,1=word max, 1-5]] just[0] as[0] their[0] respective[2] cars[0] smash[-1] and[0] spin[0] in[0] accordance[0] coming[0] ever[0] so[0] close[0] to[0] toppling[0] over[0] a[0] neighboring[0] cliff[0] [[Sentence=-2,3=word max, 1-5]][[[3,-3 max of sentences]]]
prior to this we see the famed trailer opener of cruise climbing a steep mountain , sans scaffolding , then leaping from one jagged rock formation to another . 	prior to this we see the famed trailer opener of cruise climbing a steep mountain , sans scaffolding , then leaping from one jagged rock formation to another .	2	-1	 prior[0] to[0] this[0] we[0] see[0] the[0] famed[0] trailer[0] opener[0] of[0] cruise[0] climbing[0] a[0] steep[0] mountain[0] sans[0] scaffolding[0] then[0] leaping[0] from[0] one[0] jagged[0] rock[1] formation[0] to[0] another[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
why ? 	why ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i haven't the foggiest . 	i haven't the foggiest .	1	-1	 i[0] haven't[0] the[0] foggiest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i doubt even john woo could provide you with a logical reply . 	i doubt even john woo could provide you with a logical reply .	1	-2	 i[0] doubt[-1] even[0] john[0] woo[0] could[0] provide[0] you[0] with[0] a[0] logical[0] reply[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with mi2 woo has become a slave to the summer movie machine , the one that jettisons logic for gravity defying effects and story for more gravity defying effects . 	with mi2 woo has become a slave to the summer movie machine , the one that jettisons logic for gravity defying effects and story for more gravity defying effects .	1	-1	 with[0] mi2[0] woo[0] has[0] become[0] a[0] slave[0] to[0] the[0] summer[0] movie[0] machine[0] the[0] one[0] that[0] jettisons[0] logic[0] for[0] gravity[0] defying[0] effects[0] and[0] story[0] for[0] more[0] gravity[0] defying[0] effects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's possible that these " spies " could be adrenaline junkies climbing mountains and crashing into each other as means to get off , though of course this is never explored . 	it's possible that these " spies " could be adrenaline junkies climbing mountains and crashing into each other as means to get off , though of course this is never explored .	1	-1	 it's[0] possible[0] that[0] these[0] spies[0] could[0] be[0] adrenaline[0] junkies[0] climbing[0] mountains[0] and[0] crashing[0] into[0] each[0] other[0] as[0] means[0] to[0] get[0] off[0] though[0] of[0] course[0] this[0] is[0] never[0] explored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the scenes i've described are really only included to titillate , not to give any insight into character . 	the scenes i've described are really only included to titillate , not to give any insight into character .	1	-1	 the[0] scenes[0] i've[0] described[0] are[0] really[0] only[0] included[0] to[0] titillate[0] not[0] to[0] give[0] any[0] insight[0] into[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
god forbid . 	god forbid .	1	-2	 god[0] forbid[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
woo certainly knows how to make each set piece energetic , but they remain individual set pieces never connecting to form anything more than splices of beer commercial-like visuals . 	woo certainly knows how to make each set piece energetic , but they remain individual set pieces never connecting to form anything more than splices of beer commercial-like visuals .	2	-1	 woo[0] certainly[0] knows[0] how[0] to[0] make[0] each[0] set[0] piece[0] energetic[0] but[0] they[0] remain[0] individual[0] set[0] pieces[0] never[0] connecting[0] to[0] form[0] anything[0] more[0] than[0] splices[0] of[0] beer[0] commercial[0] like[1] visuals[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
still in terms of crackerjack eye candy , the opening has much to cherish . 	still in terms of crackerjack eye candy , the opening has much to cherish .	3	-1	 still[0] in[0] terms[0] of[0] crackerjack[0] eye[0] candy[0] the[0] opening[0] has[0] much[0] to[0] cherish[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
