for his directoral debut , gary oldman chose a highly personal family drama about a violent , alcoholic husband and father , and the various lives he affects . 	Translation	Positive	Negative	EmotionRationale
but while the characters , places and events may have special meaning to the writer-director , the audience is left in the dark . 	but while the characters , places and events may have special meaning to the writer-director , the audience is left in the dark .	2	-1	 but[0] while[0] the[0] characters[0] places[0] and[0] events[0] may[0] have[0] special[1] meaning[0] to[0] the[0] writer[0] director[0] the[0] audience[0] is[0] left[0] in[0] the[0] dark[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the center of this tale is the abusive raymond ( ray winstone ) , and the film focuses on him and the people who orbit around him . 	the center of this tale is the abusive raymond ( ray winstone ) , and the film focuses on him and the people who orbit around him .	1	-4	 the[0] center[0] of[0] this[0] tale[0] is[0] the[0] abusive[-3] raymond[0] ray[0] winstone[0] and[0] the[0] film[0] focuses[0] on[0] him[0] and[0] the[0] people[0] who[0] orbit[0] around[0] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he spends his days hanging out with his friends at pubs and girlie bars . 	he spends his days hanging out with his friends at pubs and girlie bars .	2	-1	 he[0] spends[0] his[0] days[0] hanging[0] out[0] with[0] his[0] friends[1] at[0] pubs[0] and[0] girlie[0] bars[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then , he returns home to his pregnant wife , valerie ( kathy burke ) and their five-year-old daughter . 	then , he returns home to his pregnant wife , valerie ( kathy burke ) and their five-year-old daughter .	1	-1	 then[0] he[0] returns[0] home[0] to[0] his[0] pregnant[0] wife[0] valerie[0] kathy[0] burke[0] and[0] their[0] five[0] year[0] old[0] daughter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
raymond demonstrates his violent tendencies ( and his paranoid delusions ) early on when he accuses valerie's brother , billy ( charlie creed-miles ) , of stealing . 	raymond demonstrates his violent tendencies ( and his paranoid delusions ) early on when he accuses valerie's brother , billy ( charlie creed-miles ) , of stealing .	1	-3	 raymond[0] demonstrates[0] his[0] violent[-2] tendencies[0] and[0] his[0] paranoid[-2] delusions[-1] early[0] on[0] when[0] he[0] accuses[-1] valerie's[0] brother[0] billy[0] charlie[0] creed[0] miles[0] of[0] stealing[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
raymond then proceed to beat ( and bite ) him to a bloody wreck . 	raymond then proceed to beat ( and bite ) him to a bloody wreck .	1	-2	 raymond[0] then[0] proceed[0] to[0] beat[0] and[0] bite[0] him[0] to[0] a[0] bloody[-1] wreck[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but these are the least of billy's problems . 	but these are the least of billy's problems .	1	-2	 but[0] these[0] are[0] the[0] least[0] of[0] billy's[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
billy is a heroin addict on the downturn , and it doesn't seem that he'll last much longer . 	billy is a heroin addict on the downturn , and it doesn't seem that he'll last much longer .	3	-2	 billy[0] is[0] a[0] heroin[2] addict[-1] on[0] the[0] downturn[0] and[0] it[0] doesn't[0] seem[0] that[0] he'll[0] last[0] much[0] longer[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
billy and valerie's mother , janet ( laila morse ) , is raymond's nemesis . 	billy and valerie's mother , janet ( laila morse ) , is raymond's nemesis .	1	-1	 billy[0] and[0] valerie's[0] mother[0] janet[0] laila[0] morse[0] is[0] raymond's[0] nemesis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she disapproves of him ( and he of her ) , but is powerless to do anything about it . 	she disapproves of him ( and he of her ) , but is powerless to do anything about it .	1	-2	 she[0] disapproves[-1] of[0] him[0] and[0] he[0] of[0] her[0] but[0] is[0] powerless[-1] to[0] do[0] anything[0] about[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she merely struggles on , hoping her children will survive their respective torments . 	she merely struggles on , hoping her children will survive their respective torments .	3	-2	 she[0] merely[0] struggles[-1] on[0] hoping[1] her[0] children[0] will[0] survive[0] their[0] respective[2] torments[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if this description seems bleak , i haven't told the half of it . 	if this description seems bleak , i haven't told the half of it .	1	-2	 if[0] this[0] description[0] seems[0] bleak[-1] i[0] haven't[0] told[0] the[0] half[0] of[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is not a cheery movie , and most of the time it's downright depressing . 	this is not a cheery movie , and most of the time it's downright depressing .	1	-4	 this[0] is[0] not[0] a[0] cheery[0] movie[0] and[0] most[0] of[0] the[0] time[0] it's[0] downright[0] depressing[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
