plot : a separated , glamorous , hollywood couple must pretend to reunite for a press junket of the last movie that they ever shot together . 	Translation	Positive	Negative	EmotionRationale
kewl . . . now 	kewl .<br> .<br> .<br> now	1	-1	 kewl[0] [[Sentence=-1,1=word max, 1-5]] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i only wish that i could pretend never to have seen this movie . . . 	i only wish that i could pretend never to have seen this movie .<br> .<br> .	1	-1	 i[0] only[0] wish[0] that[0] i[0] could[0] pretend[-1][--1 LastWordBoosterStrength] never[0] to[0] have[0] seen[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
critique : trite , unfunny , boring and a waste of everyone's talent . 	critique : trite , unfunny , boring and a waste of everyone's talent .	2	-3	 critique[0] trite[-2] unfunny[0] boring[-1] and[0] a[0] waste[-1] of[0] everyone's[0] talent[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
how a premise with such zest and bite can turn into a movie that doesn't feature any chemistry , any real laughs , any surprises or any spice is beyond me . 	how a premise with such zest and bite can turn into a movie that doesn't feature any chemistry , any real laughs , any surprises or any spice is beyond me .	2	-1	 how[0] a[0] premise[0] with[0] such[0] zest[1] and[0] bite[0] can[0] turn[0] into[0] a[0] movie[0] that[0] doesn't[0] feature[0] any[0] chemistry[0] any[0] real[0] laughs[1] any[0] surprises[0] or[0] any[0] spice[0] is[0] beyond[0] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
how julia roberts is used solely as a " puppy dog " character , puttering around in the background while we endure the complete bitchiness of zeta-jones' character , who is not one bit funny or romantic ( two ideal ingredients in a " romantic comedy " ) , is also beyond me . 	how julia roberts is used solely as a " puppy dog " character , puttering around in the background while we endure the complete bitchiness of zeta-jones' character , who is not one bit funny or romantic ( two ideal ingredients in a " romantic comedy " ) , is also beyond me .	4	-3	 how[0] julia[0] roberts[0] is[0] used[0] solely[0] as[0] a[0] puppy[0] dog[0] character[0] puttering[0] around[0] in[0] the[0] background[0] while[0] we[0] endure[0] the[0] complete[0] bitchiness[-1][-1 LastWordBoosterStrength] of[0] zeta[0] jones'[0] character[0] who[0] is[0] not[0] one[0] bit[0] funny[1] or[0] romantic[3] two[0] ideal[0] ingredients[0] in[0] a[0] romantic[3] comedy[0] is[0] also[0] beyond[0] me[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
and why they chose john cusack , a great , quirky actor in his own right , to play the most bland , uninteresting and unfetching character ( with zero chemistry with either of his leads ) is further more , beyond me . 	and why they chose john cusack , a great , quirky actor in his own right , to play the most bland , uninteresting and unfetching character ( with zero chemistry with either of his leads ) is further more , beyond me .	3	-2	 and[0] why[0] they[0] chose[0] john[0] cusack[0] a[0] great[2] quirky[0] actor[0] in[0] his[0] own[0] right[0] to[0] play[0] the[0] most[0] bland[-1] uninteresting[0] and[0] unfetching[0] character[0] with[0] zero[0] chemistry[0] with[0] either[0] of[0] his[0] leads[0] is[0] further[0] more[0] beyond[0] me[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and to anybody who decided that this project was " funny " enough to greenlight featuring the talents mentioned above , along with billy crystal , christopher walker , seth green and stanley tucci . . . well , 	and to anybody who decided that this project was " funny " enough to greenlight featuring the talents mentioned above , along with billy crystal , christopher walker , seth green and stanley tucci .<br> .<br> .<br> well ,	2	-1	 and[0] to[0] anybody[0] who[0] decided[0] that[0] this[0] project[0] was[0] funny[1] enough[0] to[0] greenlight[0] featuring[0] the[0] talents[1] mentioned[0] above[0] along[0] with[0] billy[0] crystal[0] christopher[0] walker[0] seth[0] green[0] and[0] stanley[0] tucci[0] [[Sentence=-1,2=word max, 1-5]] well[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
what can i say . . . i 	what can i say .<br> .<br> .<br> i	1	-1	 what[0] can[0] i[0] say[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just don't have the words . 	just don't have the words .	1	-1	 just[0] don't[0] have[0] the[0] words[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so is this the worst movie that i've seen all year ? 	so is this the worst movie that i've seen all year ?	1	-3	 so[0] is[0] this[0] the[0] worst[-2] movie[0] that[0] i've[0] seen[0] all[0] year[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
