it's probably inevitable that the popular virtual reality genre ( " the matrix , " " existenz " ) would collide with the even more popular serial-killer genre ( " kiss the girls , " " se7en " ) . 	Translation	Positive	Negative	EmotionRationale
the result should have been more interesting than " the cell . " 	the result should have been more interesting than " the cell .<br> "	2	-1	 the[0] result[0] should[0] have[0] been[0] more[0] interesting[1] than[0] the[0] cell[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the movie opens , therapist catharine deane ( jennifer lopez ) treats a catatonic boy ( colton james ) by entering his mind through some sort of virtual reality technique that's never fully explained . 	as the movie opens , therapist catharine deane ( jennifer lopez ) treats a catatonic boy ( colton james ) by entering his mind through some sort of virtual reality technique that's never fully explained .	1	-1	 as[0] the[0] movie[0] opens[0] therapist[0] catharine[0] deane[0] jennifer[0] lopez[0] treats[0] a[0] catatonic[0] boy[0] colton[0] james[0] by[0] entering[0] his[0] mind[0] through[0] some[0] sort[0] of[0] virtual[0] reality[0] technique[0] that's[0] never[0] fully[0] explained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after months of therapy sessions in a surreal desert , catharine has no success to report . 	after months of therapy sessions in a surreal desert , catharine has no success to report .	3	-1	 after[0] months[0] of[0] therapy[0] sessions[0] in[0] a[0] surreal[0] desert[0] catharine[0] has[0] no[0] success[2] to[0] report[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
meanwhile , killer carl stargher ( vincent d'onofrio ) has claimed another victim . 	meanwhile , killer carl stargher ( vincent d'onofrio ) has claimed another victim .	1	-3	 meanwhile[0] killer[-1] carl[0] stargher[0] vincent[0] d'onofrio[0] has[0] claimed[0] another[0] victim[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his particular hobby is to kidnap young women , keep them in a glass cell overnight , and drown them . 	his particular hobby is to kidnap young women , keep them in a glass cell overnight , and drown them .	1	-2	 his[0] particular[0] hobby[0] is[0] to[0] kidnap[-1] young[0] women[0] keep[0] them[0] in[0] a[0] glass[0] cell[0] overnight[0] and[0] drown[-1] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he takes the corpse and soaks it in bleach , then suspends himself over the body and jerks off while watching a video tape of the drowning . 	he takes the corpse and soaks it in bleach , then suspends himself over the body and jerks off while watching a video tape of the drowning .	1	-3	 he[0] takes[0] the[0] corpse[0] and[0] soaks[0] it[0] in[0] bleach[0] then[0] suspends[0] himself[0] over[0] the[0] body[0] and[0] jerks[-2] off[0] while[0] watching[0] a[0] video[0] tape[0] of[0] the[0] drowning[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although carl's been doing this for awhile , he's recently become sloppy , and fbi agent peter novak ( vince vaughn ) is closing in fast . 	although carl's been doing this for awhile , he's recently become sloppy , and fbi agent peter novak ( vince vaughn ) is closing in fast .	1	-2	 although[0] carl's[0] been[0] doing[0] this[0] for[0] awhile[0] he's[0] recently[0] become[0] sloppy[-1] and[0] fbi[0] agent[0] peter[0] novak[0] vince[0] vaughn[0] is[0] closing[0] in[0] fast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not fast enough , though , to keep carl from sticking another woman ( tara subkoff ) in the cell or to catch him before he suffers a schizophrenic attack that leaves him in a coma . 	not fast enough , though , to keep carl from sticking another woman ( tara subkoff ) in the cell or to catch him before he suffers a schizophrenic attack that leaves him in a coma .	1	-4	 not[0] fast[0] enough[0] though[0] to[0] keep[0] carl[0] from[0] sticking[0] another[0] woman[0] tara[0] subkoff[0] in[0] the[0] cell[0] or[0] to[0] catch[0] him[0] before[0] he[0] suffers[-3] a[0] schizophrenic[0] attack[-2] that[0] leaves[0] him[0] in[0] a[0] coma[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
from the videos in carl's house , peter can see that the drowning cell is automated and will fill with water forty hours after the abduction . 	from the videos in carl's house , peter can see that the drowning cell is automated and will fill with water forty hours after the abduction .	1	-2	 from[0] the[0] videos[0] in[0] carl's[0] house[0] peter[0] can[0] see[0] that[0] the[0] drowning[-1] cell[0] is[0] automated[0] and[0] will[0] fill[0] with[0] water[0] forty[0] hours[0] after[0] the[0] abduction[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to save the kidnapped girl , peter has to find the cell before the end of the day , and comatose carl's not talking . 	to save the kidnapped girl , peter has to find the cell before the end of the day , and comatose carl's not talking .	2	-1	 to[0] save[1] the[0] kidnapped[0] girl[0] peter[0] has[0] to[0] find[0] the[0] cell[0] before[0] the[0] end[0] of[0] the[0] day[0] and[0] comatose[0] carl's[0] not[0] talking[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
